game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0124,1,07:45,BOS,,CHI,,A. Dosunmu,CHI,MISS Dosunmu 3' Running Layup,Missed Shot,Running Layup Shot,33,4,3,1,2.0,0.0,v
S2223-G0124,1,07:05,BOS,,CHI,,A. Dosunmu,CHI,MISS Dosunmu 15' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-16,148,15,1,2.0,0.0,v
S2223-G0124,1,06:39,BOS,11.0,CHI,13.0,A. Dosunmu,CHI,Dosunmu 28' 3PT Jump Shot (3 PTS) (DeRozan 1 AST),Made Shot,Jump Shot,-108,254,28,1,3.0,3.0,v
S2223-G0124,1,05:24,BOS,,CHI,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0124,1,03:51,BOS,,CHI,,A. Dosunmu,CHI,SUB: Dragic FOR Dosunmu,Substitution,,0,0,0,0,,,v
S2223-G0124,2,02:00,BOS,56.0,CHI,55.0,A. Dosunmu,CHI,Dosunmu 18' Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,-121,133,18,1,2.0,2.0,v
S2223-G0124,2,01:31,BOS,,CHI,,A. Dosunmu,CHI,MISS Dosunmu 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-93,174,20,1,2.0,0.0,v
S2223-G0124,3,11:09,BOS,,CHI,,A. Dosunmu,CHI,Dosunmu Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0124,3,10:08,BOS,,CHI,,A. Dosunmu,CHI,Dosunmu REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0124,3,09:27,BOS,,CHI,,A. Dosunmu,CHI,Dosunmu S.FOUL (P1.T2) (B.Barnaky),Foul,Shooting,0,0,0,0,,,v
S2223-G0124,3,07:19,BOS,73.0,CHI,64.0,A. Dosunmu,CHI,Dosunmu 3' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,18,30,3,1,2.0,2.0,v
