game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0173,3,00:03.200000,ATL,,PHI,,A. Griffin,ATL,Griffin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0173,4,10:18,ATL,,PHI,,A. Griffin,ATL,MISS Griffin 11' Floating Jump Shot,Missed Shot,Floating Jump shot,18,106,11,1,2.0,0.0,h
S2223-G0173,4,09:01,ATL,89.0,PHI,74.0,A. Griffin,ATL,Griffin 24' 3PT Running Jump Shot (3 PTS) (Murray 4 AST),Made Shot,Running Jump Shot,-153,185,24,1,3.0,3.0,h
S2223-G0173,4,08:39,ATL,,PHI,,A. Griffin,ATL,Griffin STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0173,4,08:35,ATL,,PHI,,A. Griffin,ATL,Griffin Lost Ball Turnover (P1.T10),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0173,4,07:05,ATL,,PHI,,A. Griffin,ATL,Griffin REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0173,4,04:59,ATL,,PHI,,A. Griffin,ATL,MISS Griffin 3PT Jump Shot,Missed Shot,Jump Shot,-227,5,0,1,3.0,0.0,h
S2223-G0173,4,04:31,ATL,,PHI,,A. Griffin,ATL,Griffin P.FOUL (P1.T3) (M.Boland),Foul,Personal,0,0,0,0,,,h
S2223-G0173,4,04:27,ATL,,PHI,,A. Griffin,ATL,Griffin S.FOUL (P2.T4) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2223-G0173,4,03:50,ATL,,PHI,,A. Griffin,ATL,SUB: Hunter FOR Griffin,Substitution,,0,0,0,0,,,h
S2223-G0923,2,10:51,ATL,,WAS,,A. Griffin,ATL,MISS Griffin 25' 3PT Jump Shot,Missed Shot,Jump Shot,-184,167,25,1,3.0,0.0,h
S2223-G0923,2,09:30,ATL,,WAS,,A. Griffin,ATL,Griffin S.FOUL (P1.T1) (B.Adair),Foul,Shooting,0,0,0,0,,,h
S2223-G0923,2,08:41,ATL,,WAS,,A. Griffin,ATL,Griffin S.FOUL (P2.T2) (E.Malloy),Foul,Shooting,0,0,0,0,,,h
S2223-G0923,2,08:28,ATL,,WAS,,A. Griffin,ATL,MISS Griffin 24' 3PT Jump Shot,Missed Shot,Jump Shot,225,71,24,1,3.0,0.0,h
S2223-G0923,2,06:19,ATL,,WAS,,A. Griffin,ATL,Griffin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0923,2,04:39,ATL,43.0,WAS,45.0,A. Griffin,ATL,Griffin 6' Floating Jump Shot (2 PTS) (Young 5 AST),Made Shot,Floating Jump shot,-49,32,6,1,2.0,2.0,h
S2223-G0923,2,02:58,ATL,,WAS,,A. Griffin,ATL,SUB: Young FOR Griffin,Substitution,,0,0,0,0,,,h
S2223-G0923,3,00:47.700000,ATL,,WAS,,A. Griffin,ATL,Griffin S.FOUL (P3.PN) (B.Adair),Foul,Shooting,0,0,0,0,,,h
S2223-G0923,4,07:22,ATL,,WAS,,A. Griffin,ATL,MISS Griffin 26' 3PT Jump Shot,Missed Shot,Jump Shot,163,199,26,1,3.0,0.0,h
S2223-G0923,4,07:01,ATL,,WAS,,A. Griffin,ATL,Griffin REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0923,4,06:28,ATL,,WAS,,A. Griffin,ATL,SUB: Okongwu FOR Griffin,Substitution,,0,0,0,0,,,h
S2223-G0149,1,06:52,ATL,,MIL,,A. Griffin,ATL,Griffin REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0149,1,04:03,ATL,,MIL,,A. Griffin,ATL,MISS Griffin 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,98,50,11,1,2.0,0.0,h
S2223-G0149,2,11:26,ATL,27.0,MIL,36.0,A. Griffin,ATL,Griffin 3' Cutting Layup Shot (2 PTS) (Okongwu 1 AST),Made Shot,Cutting Layup Shot,23,24,3,1,2.0,2.0,h
S2223-G0149,2,11:26,ATL,28.0,MIL,36.0,A. Griffin,ATL,Griffin Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0149,2,11:04,ATL,,MIL,,A. Griffin,ATL,Griffin REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0149,2,10:59,ATL,31.0,MIL,36.0,A. Griffin,ATL,Griffin 25' 3PT Pullup Jump Shot (6 PTS),Made Shot,Pullup Jump shot,-31,246,25,1,3.0,3.0,h
S2223-G0149,2,08:12,ATL,,MIL,,A. Griffin,ATL,Griffin REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0149,2,08:06,ATL,,MIL,,A. Griffin,ATL,MISS Griffin 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-121,210,24,1,3.0,0.0,h
S2223-G0149,2,06:00,ATL,41.0,MIL,46.0,A. Griffin,ATL,Griffin 4' Driving Floating Jump Shot (8 PTS) (Okongwu 2 AST),Made Shot,Driving Floating Jump Shot,6,35,4,1,2.0,2.0,h
S2223-G0149,2,05:45,ATL,,MIL,,A. Griffin,ATL,SUB: Murray FOR Griffin,Substitution,,0,0,0,0,,,h
S2223-G0149,2,02:01,ATL,,MIL,,A. Griffin,ATL,Griffin STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0149,2,01:03,ATL,52.0,MIL,56.0,A. Griffin,ATL,Griffin 10' Turnaround Jump Shot (10 PTS),Made Shot,Turnaround Jump Shot,-6,101,10,1,2.0,2.0,h
S2223-G0149,3,05:57,ATL,73.0,MIL,67.0,A. Griffin,ATL,Griffin 10' Pullup Jump Shot (12 PTS) (Murray 8 AST),Made Shot,Pullup Jump shot,-40,97,10,1,2.0,2.0,h
S2223-G0149,3,05:57,ATL,74.0,MIL,67.0,A. Griffin,ATL,Griffin Free Throw 1 of 1 (13 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
