game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0057,1,11:11,DET,2.0,ATL,2.0,C. Cunningham,DET,Cunningham 9' Driving Floating Jump Shot (2 PTS) (Bogdanovic 1 AST),Made Shot,Driving Floating Jump Shot,-89,13,9,1,2.0,2.0,h
S2223-G0057,1,10:42,DET,5.0,ATL,4.0,C. Cunningham,DET,Cunningham 26' 3PT Step Back Jump Shot (5 PTS),Made Shot,Step Back Jump shot,-60,251,26,1,3.0,3.0,h
S2223-G0057,1,09:39,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 12' Step Back Jump Shot,Missed Shot,Step Back Jump shot,104,55,12,1,2.0,0.0,h
S2223-G0057,1,09:33,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 13' Jump Shot,Missed Shot,Jump Shot,125,8,13,1,2.0,0.0,h
S2223-G0057,1,07:24,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 12' Step Back Jump Shot,Missed Shot,Step Back Jump shot,55,107,12,1,2.0,0.0,h
S2223-G0057,1,04:25,DET,18.0,ATL,27.0,C. Cunningham,DET,Cunningham 2' Driving Layup (7 PTS) (Hayes 2 AST),Made Shot,Driving Layup Shot,17,16,2,1,2.0,2.0,h
S2223-G0057,1,03:36,DET,20.0,ATL,27.0,C. Cunningham,DET,Cunningham 6' Driving Layup (9 PTS),Made Shot,Driving Layup Shot,-43,47,6,1,2.0,2.0,h
S2223-G0057,1,02:14,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,1,01:57,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,1,01:45,DET,28.0,ATL,29.0,C. Cunningham,DET,Cunningham 10' Floating Jump Shot (11 PTS),Made Shot,Floating Jump shot,36,96,10,1,2.0,2.0,h
S2223-G0057,1,01:14,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 4' Layup,Missed Shot,Layup Shot,-36,18,4,1,2.0,0.0,h
S2223-G0057,1,00:01.900000,DET,32.0,ATL,36.0,C. Cunningham,DET,Cunningham 14' Pullup Jump Shot (13 PTS),Made Shot,Pullup Jump shot,-45,137,14,1,2.0,2.0,h
S2223-G0057,2,06:08,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 4' Driving Layup,Missed Shot,Driving Layup Shot,-22,29,4,1,2.0,0.0,h
S2223-G0057,2,06:00,DET,,ATL,,C. Cunningham,DET,MISS Cunningham Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0057,2,06:00,DET,44.0,ATL,46.0,C. Cunningham,DET,Cunningham Free Throw 2 of 2 (14 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0057,2,04:50,DET,50.0,ATL,48.0,C. Cunningham,DET,Cunningham 2' Driving Layup (16 PTS),Made Shot,Driving Layup Shot,11,15,2,1,2.0,2.0,h
S2223-G0057,2,03:26,DET,52.0,ATL,50.0,C. Cunningham,DET,Cunningham 19' Pullup Jump Shot (18 PTS),Made Shot,Pullup Jump shot,85,173,19,1,2.0,2.0,h
S2223-G0057,2,02:33,DET,,ATL,,C. Cunningham,DET,Cunningham Offensive Charge Foul (P1) (N.Sago),Foul,Offensive Charge,0,0,0,0,,,h
S2223-G0057,2,02:33,DET,,ATL,,C. Cunningham,DET,Cunningham Offensive Foul Turnover (P1.T5),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0057,2,01:44,DET,,ATL,,C. Cunningham,DET,Cunningham Lost Ball Turnover (P2.T7),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0057,2,01:22,DET,54.0,ATL,56.0,C. Cunningham,DET,Cunningham 21' Pullup Jump Shot (20 PTS) (Livers 1 AST),Made Shot,Pullup Jump shot,143,148,21,1,2.0,2.0,h
S2223-G0057,2,00:00.700000,DET,61.0,ATL,62.0,C. Cunningham,DET,Cunningham 18' Step Back Jump Shot (22 PTS) (Livers 2 AST),Made Shot,Step Back Jump shot,-175,-5,18,1,2.0,2.0,h
S2223-G0057,3,11:26,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 17' Jump Shot,Missed Shot,Jump Shot,76,155,17,1,2.0,0.0,h
S2223-G0057,3,10:35,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,3,10:31,DET,65.0,ATL,64.0,C. Cunningham,DET,Cunningham 2' Running Layup (24 PTS),Made Shot,Running Layup Shot,9,19,2,1,2.0,2.0,h
S2223-G0057,3,09:19,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 14' Jump Shot,Missed Shot,Jump Shot,119,71,14,1,2.0,0.0,h
S2223-G0057,3,09:06,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,3,09:04,DET,,ATL,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P3.T8),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0057,3,08:19,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 5' Floating Jump Shot,Missed Shot,Floating Jump shot,-47,-4,5,1,2.0,0.0,h
S2223-G0057,3,07:29,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,3,06:56,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 24' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,-165,179,24,1,3.0,0.0,h
S2223-G0057,3,06:47,DET,,ATL,,C. Cunningham,DET,Cunningham STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0057,3,05:55,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 25' 3PT Jump Shot,Missed Shot,Jump Shot,-140,206,25,1,3.0,0.0,h
S2223-G0057,3,05:45,DET,,ATL,,C. Cunningham,DET,Cunningham BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0057,3,05:44,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,3,05:42,DET,,ATL,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P4.T9),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0057,3,05:07,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,3,03:45,DET,,ATL,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P5.T10),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0057,3,03:22,DET,,ATL,,C. Cunningham,DET,SUB: Hayes FOR Cunningham,Substitution,,0,0,0,0,,,h
S2223-G0057,3,02:39,DET,,ATL,,C. Cunningham,DET,Cunningham P.FOUL (P2.T1) (R.Hussey),Foul,Personal,0,0,0,0,,,h
S2223-G0057,3,02:18,DET,,ATL,,C. Cunningham,DET,Cunningham Out of Bounds - Bad Pass Turnover Turnover (P6.T11),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0057,3,01:55,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,21,61,6,1,2.0,0.0,h
S2223-G0057,3,00:13.500000,DET,88.0,ATL,89.0,C. Cunningham,DET,Cunningham Free Throw 1 of 2 (25 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0057,3,00:13.500000,DET,89.0,ATL,89.0,C. Cunningham,DET,Cunningham Free Throw 2 of 2 (26 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0057,4,05:20,DET,,ATL,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P7.T14),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0057,4,04:19,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-44,172,18,1,2.0,0.0,h
S2223-G0057,4,01:53,DET,,ATL,,C. Cunningham,DET,Cunningham BLOCK (2 BLK),,,0,0,0,0,,,h
S2223-G0057,4,01:52,DET,,ATL,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2223-G0057,4,01:49,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 1' Running Layup,Missed Shot,Running Layup Shot,1,6,1,1,2.0,0.0,h
S2223-G0057,4,00:24,DET,,ATL,,C. Cunningham,DET,MISS Cunningham 1' Driving Layup,Missed Shot,Driving Layup Shot,-5,9,1,1,2.0,0.0,h
S2223-G0113,1,11:44,MIL,,DET,,C. Cunningham,DET,MISS Cunningham 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,77,107,13,1,2.0,0.0,v
S2223-G0113,1,11:34,MIL,,DET,,C. Cunningham,DET,Cunningham S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,0,0,0,0,,,v
S2223-G0113,1,09:29,MIL,,DET,,C. Cunningham,DET,MISS Cunningham 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-11,262,26,1,3.0,0.0,v
S2223-G0113,1,06:55,MIL,,DET,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0113,1,06:26,MIL,,DET,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0113,1,05:53,MIL,,DET,,C. Cunningham,DET,MISS Cunningham 3' Driving Layup,Missed Shot,Driving Layup Shot,6,25,3,1,2.0,0.0,v
S2223-G0113,1,05:51,MIL,,DET,,C. Cunningham,DET,MISS Cunningham 17' Jump Shot,Missed Shot,Jump Shot,169,-5,17,1,2.0,0.0,v
S2223-G0113,1,03:34,MIL,,DET,,C. Cunningham,DET,SUB: Hayes FOR Cunningham,Substitution,,0,0,0,0,,,v
S2223-G0113,2,11:16,MIL,,DET,,C. Cunningham,DET,MISS Cunningham 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,43,111,12,1,2.0,0.0,v
S2223-G0113,2,10:14,MIL,,DET,,C. Cunningham,DET,Cunningham Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0113,2,09:30,MIL,,DET,,C. Cunningham,DET,Cunningham REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0113,2,09:26,MIL,33.0,DET,28.0,C. Cunningham,DET,Cunningham 16' Running Pull-Up Jump Shot (2 PTS),Made Shot,Running Pull-Up Jump Shot,-33,159,16,1,2.0,2.0,v
S2223-G0113,2,09:12,MIL,,DET,,C. Cunningham,DET,Cunningham P.FOUL (P2.T2) (M.Ervin),Foul,Personal,0,0,0,0,,,v
S2223-G0113,2,07:16,MIL,,DET,,C. Cunningham,DET,MISS Cunningham 5' Driving Bank Hook Shot,Missed Shot,Driving Bank Hook Shot,31,36,5,1,2.0,0.0,v
S2223-G0113,2,06:52,MIL,,DET,,C. Cunningham,DET,MISS Cunningham 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,70,137,15,1,2.0,0.0,v
