game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0718,1,11:30,PHX,,CHA,,C. Johnson,PHX,Johnson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0718,1,10:53,PHX,3.0,CHA,2.0,C. Johnson,PHX,Johnson 24' 3PT Jump Shot (3 PTS) (Bridges 1 AST),Made Shot,Jump Shot,203,135,24,1,3.0,3.0,h
S2223-G0718,1,08:44,PHX,8.0,CHA,5.0,C. Johnson,PHX,Johnson 24' 3PT Jump Shot (6 PTS) (Bridges 2 AST),Made Shot,Jump Shot,-221,99,24,1,3.0,3.0,h
S2223-G0718,1,08:16,PHX,11.0,CHA,7.0,C. Johnson,PHX,Johnson 25' 3PT Jump Shot (9 PTS) (Paul 1 AST),Made Shot,Jump Shot,134,208,25,1,3.0,3.0,h
S2223-G0718,1,07:47,PHX,14.0,CHA,7.0,C. Johnson,PHX,Johnson 28' 3PT Jump Shot (12 PTS) (Paul 2 AST),Made Shot,Jump Shot,69,274,28,1,3.0,3.0,h
S2223-G0718,1,07:09,PHX,16.0,CHA,7.0,C. Johnson,PHX,Johnson 7' Pullup Jump Shot (14 PTS) (Paul 3 AST),Made Shot,Pullup Jump shot,-38,61,7,1,2.0,2.0,h
S2223-G0718,1,06:24,PHX,,CHA,,C. Johnson,PHX,Johnson REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0718,1,06:18,PHX,20.0,CHA,7.0,C. Johnson,PHX,Johnson 4' Turnaround Fadeaway (16 PTS) (Paul 4 AST),Made Shot,Turnaround Fadeaway shot,-5,38,4,1,2.0,2.0,h
S2223-G0718,1,05:01,PHX,,CHA,,C. Johnson,PHX,SUB: Okogie FOR Johnson,Substitution,,0,0,0,0,,,h
S2223-G0718,2,04:31,PHX,,CHA,,C. Johnson,PHX,MISS Johnson 26' 3PT Jump Shot,Missed Shot,Jump Shot,-99,242,26,1,3.0,0.0,h
S2223-G0718,2,03:24,PHX,,CHA,,C. Johnson,PHX,MISS Johnson 16' Jump Shot,Missed Shot,Jump Shot,152,63,16,1,2.0,0.0,h
S2223-G0718,2,01:20,PHX,,CHA,,C. Johnson,PHX,Johnson S.FOUL (P1.T3) (J.DeRosa),Foul,Shooting,0,0,0,0,,,h
S2223-G0718,2,00:08,PHX,58.0,CHA,47.0,C. Johnson,PHX,Johnson 3PT Jump Shot (19 PTS) (Bridges 3 AST),Made Shot,Jump Shot,228,-4,0,1,3.0,3.0,h
S2223-G0718,3,08:17,PHX,,CHA,,C. Johnson,PHX,Johnson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0718,3,08:12,PHX,71.0,CHA,55.0,C. Johnson,PHX,Johnson 1' Dunk (21 PTS) (Paul 7 AST),Made Shot,Dunk Shot,2,13,1,1,2.0,2.0,h
S2223-G0718,3,07:49,PHX,74.0,CHA,55.0,C. Johnson,PHX,Johnson 26' 3PT Jump Shot (24 PTS) (Paul 8 AST),Made Shot,Jump Shot,176,185,26,1,3.0,3.0,h
S2223-G0718,3,06:08,PHX,,CHA,,C. Johnson,PHX,Johnson P.FOUL (P2.T3) (D.Guthrie),Foul,Personal,0,0,0,0,,,h
S2223-G0718,3,06:08,PHX,,CHA,,C. Johnson,PHX,SUB: Saric FOR Johnson,Substitution,,0,0,0,0,,,h
S2223-G1164,1,10:43,BKN,,UTA,,C. Johnson,BKN,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1164,1,08:10,BKN,,UTA,,C. Johnson,BKN,Johnson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1164,1,07:35,BKN,,UTA,,C. Johnson,BKN,MISS Johnson 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,114,176,21,1,2.0,0.0,h
S2223-G1164,1,06:41,BKN,11.0,UTA,10.0,C. Johnson,BKN,Johnson 4' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,-40,1,4,1,2.0,2.0,h
S2223-G1164,1,06:05,BKN,13.0,UTA,10.0,C. Johnson,BKN,Johnson 1' Driving Dunk (4 PTS) (Claxton 1 AST),Made Shot,Driving Dunk Shot,4,8,1,1,2.0,2.0,h
S2223-G1164,1,04:35,BKN,,UTA,,C. Johnson,BKN,Johnson REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G1164,1,02:12,BKN,,UTA,,C. Johnson,BKN,SUB: Harris FOR Johnson,Substitution,,0,0,0,0,,,h
S2223-G1164,2,10:14,BKN,,UTA,,C. Johnson,BKN,MISS Johnson Free Throw Flagrant 1 of 2,Free Throw,Free Throw Flagrant 1 of 2,0,0,0,0,1.0,0.0,h
