game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0372,1,09:34,UTA,9.0,GSW,2.0,C. Sexton,UTA,Sexton 3' Reverse Layup (2 PTS),Made Shot,Reverse Layup Shot,-27,11,3,1,2.0,2.0,h
S2223-G0372,1,09:03,UTA,10.0,GSW,5.0,C. Sexton,UTA,Sexton Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,1,09:03,UTA,11.0,GSW,5.0,C. Sexton,UTA,Sexton Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,1,06:58,UTA,,GSW,,C. Sexton,UTA,MISS Sexton 4' Layup,Missed Shot,Layup Shot,33,21,4,1,2.0,0.0,h
S2223-G0372,1,06:22,UTA,,GSW,,C. Sexton,UTA,Sexton S.FOUL (P1.T2) (P.Ransom),Foul,Shooting,0,0,0,0,,,h
S2223-G0372,1,06:22,UTA,,GSW,,C. Sexton,UTA,SUB: Vanderbilt FOR Sexton,Substitution,,0,0,0,0,,,h
S2223-G0372,2,08:12,UTA,,GSW,,C. Sexton,UTA,MISS Sexton 27' 3PT Jump Shot,Missed Shot,Jump Shot,-172,209,27,1,3.0,0.0,h
S2223-G0372,2,03:55,UTA,,GSW,,C. Sexton,UTA,Sexton S.FOUL (P2.T4) (J.DeRosa),Foul,Shooting,0,0,0,0,,,h
S2223-G0372,2,03:42,UTA,53.0,GSW,56.0,C. Sexton,UTA,Sexton 15' Step Back Jump Shot (6 PTS) (Alexander-Walker 2 AST),Made Shot,Step Back Jump shot,-2,146,15,1,2.0,2.0,h
S2223-G0372,2,03:15,UTA,,GSW,,C. Sexton,UTA,Sexton Step Out of Bounds Turnover (P1.T8),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,h
S2223-G0372,2,01:49,UTA,,GSW,,C. Sexton,UTA,MISS Sexton Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0372,2,01:49,UTA,57.0,GSW,60.0,C. Sexton,UTA,Sexton Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,2,01:04,UTA,62.0,GSW,65.0,C. Sexton,UTA,Sexton 3' Driving Finger Roll Layup (9 PTS),Made Shot,Driving Finger Roll Layup Shot,-5,31,3,1,2.0,2.0,h
S2223-G0372,2,00:40.500000,UTA,63.0,GSW,67.0,C. Sexton,UTA,Sexton Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,2,00:40.500000,UTA,64.0,GSW,67.0,C. Sexton,UTA,Sexton Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,3,09:53,UTA,,GSW,,C. Sexton,UTA,MISS Sexton Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0372,3,09:53,UTA,71.0,GSW,73.0,C. Sexton,UTA,Sexton Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,3,07:35,UTA,,GSW,,C. Sexton,UTA,MISS Sexton 6' Jump Shot,Missed Shot,Jump Shot,5,55,6,1,2.0,0.0,h
S2223-G0372,3,06:52,UTA,79.0,GSW,78.0,C. Sexton,UTA,Sexton 3PT Jump Shot (15 PTS) (Clarkson 6 AST),Made Shot,Jump Shot,-228,-27,0,1,3.0,3.0,h
S2223-G0372,3,05:20,UTA,,GSW,,C. Sexton,UTA,SUB: Alexander-Walker FOR Sexton,Substitution,,0,0,0,0,,,h
S2223-G0372,4,10:39,UTA,,GSW,,C. Sexton,UTA,Sexton Bad Pass Turnover (P2.T12),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0372,4,09:09,UTA,,GSW,,C. Sexton,UTA,MISS Sexton 2' Layup,Missed Shot,Layup Shot,-17,4,2,1,2.0,0.0,h
S2223-G0372,4,08:10,UTA,109.0,GSW,100.0,C. Sexton,UTA,Sexton Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,4,08:10,UTA,110.0,GSW,100.0,C. Sexton,UTA,Sexton Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0372,4,07:41,UTA,,GSW,,C. Sexton,UTA,MISS Sexton 26' 3PT Jump Shot,Missed Shot,Jump Shot,-150,216,26,1,3.0,0.0,h
S2223-G0372,4,07:37,UTA,,GSW,,C. Sexton,UTA,SUB: Clarkson FOR Sexton,Substitution,,0,0,0,0,,,h
