game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1040,1,05:32,SAS,,DAL,,D. Barlow,SAS,Barlow REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1040,1,01:07,SAS,,DAL,,D. Barlow,SAS,MISS Barlow 3' Layup,Missed Shot,Layup Shot,16,20,3,1,2.0,0.0,h
S2223-G1040,1,00:57.400000,SAS,,DAL,,D. Barlow,SAS,Barlow BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1040,2,03:56,SAS,,DAL,,D. Barlow,SAS,Barlow REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1040,2,03:48,SAS,50.0,DAL,50.0,D. Barlow,SAS,Barlow 13' Jump Shot (2 PTS) (Wesley 1 AST),Made Shot,Jump Shot,-132,11,13,1,2.0,2.0,h
S2223-G1040,2,02:33,SAS,,DAL,,D. Barlow,SAS,Barlow Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G1040,2,02:27,SAS,,DAL,,D. Barlow,SAS,Barlow STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1040,2,02:20,SAS,55.0,DAL,56.0,D. Barlow,SAS,Barlow 3' Cutting Layup Shot (4 PTS) (Graham 3 AST),Made Shot,Cutting Layup Shot,0,29,3,1,2.0,2.0,h
S2223-G1040,2,01:25,SAS,,DAL,,D. Barlow,SAS,Barlow STEAL (2 STL),,,0,0,0,0,,,h
S2223-G1040,2,00:34.300000,SAS,,DAL,,D. Barlow,SAS,MISS Barlow 11' Jump Shot,Missed Shot,Jump Shot,-29,104,11,1,2.0,0.0,h
S2223-G1040,3,03:19,SAS,,DAL,,D. Barlow,SAS,Barlow REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G1040,3,02:37,SAS,,DAL,,D. Barlow,SAS,Barlow S.FOUL (P1.T3) (M.Ervin),Foul,Shooting,0,0,0,0,,,h
S2223-G1040,3,02:01,SAS,,DAL,,D. Barlow,SAS,Barlow REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G1040,4,11:32,SAS,,DAL,,D. Barlow,SAS,Barlow Offensive Charge Foul (P2) (S.Foster),Foul,Offensive Charge,0,0,0,0,,,h
S2223-G1040,4,11:32,SAS,,DAL,,D. Barlow,SAS,Barlow Offensive Foul Turnover (P2.T6),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G1040,4,10:28,SAS,96.0,DAL,93.0,D. Barlow,SAS,Barlow 3' Layup (6 PTS) (McDermott 2 AST),Made Shot,Layup Shot,27,15,3,1,2.0,2.0,h
S2223-G1040,4,10:11,SAS,,DAL,,D. Barlow,SAS,Barlow S.FOUL (P3.T3) (S.Foster),Foul,Shooting,0,0,0,0,,,h
S2223-G1040,4,05:34,SAS,,DAL,,D. Barlow,SAS,SUB: Branham FOR Barlow,Substitution,,0,0,0,0,,,h
S2223-G1040,4,00:01.800000,SAS,,DAL,,D. Barlow,SAS,SUB: Branham FOR Barlow,Substitution,,0,0,0,0,,,h
S2223-G0811,4,04:52,CHI,,SAS,,D. Barlow,SAS,Barlow S.FOUL (P1.PN) (M.Kallio),Foul,Shooting,0,0,0,0,,,v
S2223-G0811,4,02:27,CHI,,SAS,,D. Barlow,SAS,MISS Barlow 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-15,4,2,1,2.0,0.0,v
S2223-G0811,4,02:25,CHI,,SAS,,D. Barlow,SAS,Barlow REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0811,4,02:25,CHI,126.0,SAS,94.0,D. Barlow,SAS,Barlow Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0811,4,02:25,CHI,126.0,SAS,95.0,D. Barlow,SAS,Barlow Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0811,4,01:38,CHI,126.0,SAS,99.0,D. Barlow,SAS,Barlow 1' Cutting Layup Shot (4 PTS) (S. Johnson 3 AST),Made Shot,Cutting Layup Shot,11,8,1,1,2.0,2.0,v
S2223-G0850,1,06:19,ATL,,SAS,,D. Barlow,SAS,Barlow OFF.Foul (P1) (N.Sago),Foul,Offensive,0,0,0,0,,,v
S2223-G0850,1,06:19,ATL,,SAS,,D. Barlow,SAS,Barlow Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0850,1,05:19,ATL,23.0,SAS,17.0,D. Barlow,SAS,Barlow 1' Cutting Layup Shot (2 PTS) (Graham 1 AST),Made Shot,Cutting Layup Shot,-10,-1,1,1,2.0,2.0,v
S2223-G0850,1,03:49,ATL,,SAS,,D. Barlow,SAS,Barlow Offensive Charge Foul (P2) (P.Ransom),Foul,Offensive Charge,0,0,0,0,,,v
S2223-G0850,1,03:49,ATL,,SAS,,D. Barlow,SAS,Barlow Offensive Foul Turnover (P2.T6),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
