game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0759,2,08:09,OKC,,GSW,,D. Bazley,OKC,Bazley Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0759,2,07:55,OKC,26.0,GSW,42.0,D. Bazley,OKC,Bazley 14' Jump Shot (2 PTS) (Giddey 2 AST),Made Shot,Jump Shot,9,141,14,1,2.0,2.0,h
S2223-G0759,2,07:44,OKC,,GSW,,D. Bazley,OKC,Bazley P.FOUL (P1.T3) (N.Buchert),Foul,Personal,0,0,0,0,,,h
S2223-G0759,2,05:26,OKC,,GSW,,D. Bazley,OKC,Bazley REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0759,2,04:39,OKC,,GSW,,D. Bazley,OKC,Bazley REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0759,2,02:55,OKC,,GSW,,D. Bazley,OKC,SUB: Wiggins FOR Bazley,Substitution,,0,0,0,0,,,h
S2223-G0562,1,02:45,OKC,,BOS,,D. Bazley,OKC,MISS Bazley Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0562,1,02:45,OKC,,BOS,,D. Bazley,OKC,MISS Bazley Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0562,1,01:08,OKC,,BOS,,D. Bazley,OKC,Bazley S.FOUL (P1.T4) (M.Lindsay),Foul,Shooting,0,0,0,0,,,h
S2223-G0562,1,00:21.300000,OKC,34.0,BOS,33.0,D. Bazley,OKC,Bazley 1' Cutting Dunk Shot (2 PTS) (Jal. Williams 2 AST),Made Shot,Cutting Dunk Shot,-4,-5,1,1,2.0,2.0,h
S2223-G0562,4,03:37,OKC,143.0,BOS,110.0,D. Bazley,OKC,Bazley Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0562,4,03:37,OKC,144.0,BOS,110.0,D. Bazley,OKC,Bazley Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0562,4,03:22,OKC,,BOS,,D. Bazley,OKC,Bazley REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0562,4,02:28,OKC,,BOS,,D. Bazley,OKC,MISS Bazley 1' Driving Layup,Missed Shot,Driving Layup Shot,-4,8,1,1,2.0,0.0,h
S2223-G0562,4,01:42,OKC,,BOS,,D. Bazley,OKC,MISS Bazley 3' Driving Layup,Missed Shot,Driving Layup Shot,11,31,3,1,2.0,0.0,h
