game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0574,2,06:10,LAL,,MIA,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0574,2,04:59,LAL,,MIA,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0574,2,03:46,LAL,,MIA,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0574,2,03:45,LAL,,MIA,,D. Dedmon,MIA,Dedmon Lost Ball Turnover (P1.T6),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0574,2,03:44,LAL,,MIA,,D. Dedmon,MIA,Dedmon S.FOUL (P1.T1) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,v
S2223-G0574,2,03:18,LAL,,MIA,,D. Dedmon,MIA,Dedmon BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0574,2,03:03,LAL,,MIA,,D. Dedmon,MIA,SUB: Adebayo FOR Dedmon,Substitution,,0,0,0,0,,,v
S2223-G0574,3,04:54,LAL,,MIA,,D. Dedmon,MIA,Dedmon S.FOUL (P2.T2) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,v
S2223-G0574,3,03:02,LAL,72.0,MIA,72.0,D. Dedmon,MIA,Dedmon 7' Floating Jump Shot (2 PTS) (Oladipo 3 AST),Made Shot,Floating Jump shot,13,64,7,1,2.0,2.0,v
S2223-G0574,3,02:53,LAL,,MIA,,D. Dedmon,MIA,Dedmon S.FOUL (P3.T4) (Z.Zarba),Foul,Shooting,0,0,0,0,,,v
S2223-G0574,3,01:54,LAL,,MIA,,D. Dedmon,MIA,SUB: Adebayo FOR Dedmon,Substitution,,0,0,0,0,,,v
S2223-G0387,1,04:11,MIA,,SAS,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0387,1,03:06,MIA,,SAS,,D. Dedmon,MIA,Dedmon L.B.FOUL (P1.T1) (B.Taylor),Foul,Loose Ball,0,0,0,0,,,h
S2223-G0387,1,01:48,MIA,,SAS,,D. Dedmon,MIA,MISS Dedmon 11' Layup,Missed Shot,Layup Shot,98,40,11,1,2.0,0.0,h
S2223-G0387,1,01:44,MIA,26.0,SAS,18.0,D. Dedmon,MIA,Dedmon 4' Cutting Layup Shot (2 PTS) (Herro 2 AST),Made Shot,Cutting Layup Shot,-9,36,4,1,2.0,2.0,h
S2223-G0387,1,00:27.100000,MIA,,SAS,,D. Dedmon,MIA,Dedmon S.FOUL (P2.PN) (B.Schwab),Foul,Shooting,0,0,0,0,,,h
S2223-G0387,1,00:25.400000,MIA,,SAS,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0387,1,00:00.500000,MIA,,SAS,,D. Dedmon,MIA,Dedmon Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0387,2,03:16,MIA,,SAS,,D. Dedmon,MIA,Dedmon BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0387,2,02:56,MIA,,SAS,,D. Dedmon,MIA,Dedmon REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0387,2,02:55,MIA,,SAS,,D. Dedmon,MIA,MISS Dedmon 6' Hook Shot,Missed Shot,Hook Shot,-29,55,6,1,2.0,0.0,h
S2223-G0387,2,02:33,MIA,,SAS,,D. Dedmon,MIA,MISS Dedmon 8' Floating Jump Shot,Missed Shot,Floating Jump shot,28,73,8,1,2.0,0.0,h
S2223-G0387,2,02:02,MIA,,SAS,,D. Dedmon,MIA,MISS Dedmon 26' 3PT Jump Shot,Missed Shot,Jump Shot,39,257,26,1,3.0,0.0,h
S2223-G0387,2,01:53,MIA,,SAS,,D. Dedmon,MIA,SUB: Adebayo FOR Dedmon,Substitution,,0,0,0,0,,,h
S2223-G0387,3,02:10,MIA,,SAS,,D. Dedmon,MIA,MISS Dedmon 4' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,25,28,4,1,2.0,0.0,h
S2223-G0387,3,01:00,MIA,,SAS,,D. Dedmon,MIA,Dedmon REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0387,4,11:27,MIA,,SAS,,D. Dedmon,MIA,Dedmon REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0387,4,09:52,MIA,,SAS,,D. Dedmon,MIA,MISS Dedmon 27' 3PT Jump Shot,Missed Shot,Jump Shot,18,272,27,1,3.0,0.0,h
S2223-G0387,4,08:40,MIA,,SAS,,D. Dedmon,MIA,MISS Dedmon 26' 3PT Jump Shot,Missed Shot,Jump Shot,72,248,26,1,3.0,0.0,h
S2223-G0387,4,08:34,MIA,,SAS,,D. Dedmon,MIA,Dedmon Personal Take Foul (P3.T1) (B.Schwab),Foul,Personal Take,0,0,0,0,,,h
S2223-G0387,4,08:34,MIA,,SAS,,D. Dedmon,MIA,SUB: Adebayo FOR Dedmon,Substitution,,0,0,0,0,,,h
S2223-G0104,1,05:06,MIA,10.0,GSW,16.0,D. Dedmon,MIA,Dedmon Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0104,1,05:06,MIA,11.0,GSW,16.0,D. Dedmon,MIA,Dedmon Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0104,1,04:29,MIA,13.0,GSW,19.0,D. Dedmon,MIA,Dedmon 3' Layup (4 PTS) (Lowry 3 AST),Made Shot,Layup Shot,22,16,3,1,2.0,2.0,h
S2223-G0104,1,03:47,MIA,,GSW,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0104,1,03:17,MIA,,GSW,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0104,1,02:43,MIA,,GSW,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0104,1,01:52,MIA,,GSW,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0104,1,00:48.100000,MIA,,GSW,,D. Dedmon,MIA,MISS Dedmon 3PT Jump Shot,Missed Shot,Jump Shot,-225,50,0,1,3.0,0.0,h
S2223-G0104,1,00:40.300000,MIA,,GSW,,D. Dedmon,MIA,SUB: Adebayo FOR Dedmon,Substitution,,0,0,0,0,,,h
S2223-G0104,2,05:41,MIA,,GSW,,D. Dedmon,MIA,MISS Dedmon 25' 3PT Jump Shot,Missed Shot,Jump Shot,248,32,25,1,3.0,0.0,h
S2223-G0104,2,05:03,MIA,,GSW,,D. Dedmon,MIA,Dedmon REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
