game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0061,4,00:39.400000,CHI,,IND,,D. Terry,CHI,Terry BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0061,4,00:33.400000,CHI,,IND,,D. Terry,CHI,Jump Ball Terry vs. Mathurin: Tip to Nesmith,Jump Ball,,0,0,0,0,,,h
S2223-G0061,4,00:08.900000,CHI,,IND,,D. Terry,CHI,Terry Lost Ball Turnover (P1.T18),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0061,4,00:07.900000,CHI,,IND,,D. Terry,CHI,Terry S.FOUL (P1.PN) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2223-G1148,4,03:31,CHA,,CHI,,D. Terry,CHI,Terry STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1148,4,03:28,CHA,,CHI,,D. Terry,CHI,MISS Terry 1' Running Dunk,Missed Shot,Running Dunk Shot,7,13,1,1,2.0,0.0,v
S2223-G1148,4,02:57,CHA,,CHI,,D. Terry,CHI,Terry STEAL (2 STL),,,0,0,0,0,,,v
S2223-G1148,4,02:57,CHA,,CHI,,D. Terry,CHI,MISS Terry Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G1148,4,02:57,CHA,87.0,CHI,116.0,D. Terry,CHI,Terry Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1148,4,02:06,CHA,89.0,CHI,118.0,D. Terry,CHI,Terry 2' Driving Layup (3 PTS),Made Shot,Driving Layup Shot,12,11,2,1,2.0,2.0,v
S2223-G1148,4,00:56.700000,CHA,,CHI,,D. Terry,CHI,Terry REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1148,4,00:51.700000,CHA,,CHI,,D. Terry,CHI,Terry OFF.Foul (P1) (G.Petraitis),Foul,Offensive,0,0,0,0,,,v
S2223-G1148,4,00:51.700000,CHA,,CHI,,D. Terry,CHI,Terry Offensive Foul Turnover (P1.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0519,2,04:18,CHI,,MIL,,D. Terry,CHI,SUB: DeRozan FOR Terry,Substitution,,0,0,0,0,,,h
S2223-G0519,3,01:05,CHI,,MIL,,D. Terry,CHI,MISS Terry 1' Driving Layup,Missed Shot,Driving Layup Shot,7,6,1,1,2.0,0.0,h
S2223-G0519,3,00:05.300000,CHI,,MIL,,D. Terry,CHI,SUB: Dragic FOR Terry,Substitution,,0,0,0,0,,,h
S2223-G1037,1,02:13,CHI,26.0,SAC,15.0,D. Terry,CHI,Terry 3PT Jump Shot (3 PTS) (LaVine 3 AST),Made Shot,Jump Shot,-229,-21,0,1,3.0,3.0,h
S2223-G1037,1,00:08.200000,CHI,,SAC,,D. Terry,CHI,SUB: Dosunmu FOR Terry,Substitution,,0,0,0,0,,,h
S2223-G1037,3,03:20,CHI,,SAC,,D. Terry,CHI,Terry S.FOUL (P1.PN) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2223-G1037,3,00:04,CHI,,SAC,,D. Terry,CHI,SUB: LaVine FOR Terry,Substitution,,0,0,0,0,,,h
S2223-G0217,4,00:52.400000,NOP,,CHI,,D. Terry,CHI,MISS Terry Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0217,4,00:52.400000,NOP,124.0,CHI,107.0,D. Terry,CHI,Terry Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0796,2,06:31,CHI,,,,D. Terry,CHI,SUB: LaVine FOR Terry,Substitution,,0,0,0,0,,,h
S2223-G0796,2,02:31,CHI,,,,D. Terry,CHI,Terry S.FOUL (P1.PN) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2223-G0796,2,01:49,CHI,,,,D. Terry,CHI,Terry REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0391,4,02:35,CHI,138.0,DAL,109.0,D. Terry,CHI,Terry 1' Driving Layup (2 PTS) (Bradley 1 AST),Made Shot,Driving Layup Shot,-2,6,1,1,2.0,2.0,h
