game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0333,1,11:21,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 25' 3PT Jump Shot,Missed Shot,Jump Shot,48,247,25,1,3.0,0.0,h
S2223-G0333,1,10:42,SAS,3.0,NOP,2.0,D. Vassell,SAS,Vassell 26' 3PT Jump Shot (3 PTS) (K. Johnson 1 AST),Made Shot,Jump Shot,92,241,26,1,3.0,3.0,h
S2223-G0333,1,08:26,SAS,6.0,NOP,9.0,D. Vassell,SAS,Vassell 26' 3PT Jump Shot (6 PTS) (Jones 1 AST),Made Shot,Jump Shot,34,262,26,1,3.0,3.0,h
S2223-G0333,1,06:50,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-49,52,7,1,2.0,0.0,h
S2223-G0333,1,04:43,SAS,,NOP,,D. Vassell,SAS,SUB: Branham FOR Vassell,Substitution,,0,0,0,0,,,h
S2223-G0333,2,10:17,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,4,3,1,1,2.0,0.0,h
S2223-G0333,2,09:59,SAS,28.0,NOP,32.0,D. Vassell,SAS,Vassell Alley Oop Dunk (8 PTS) (Collins 2 AST),Made Shot,Alley Oop Dunk Shot,2,4,0,1,2.0,2.0,h
S2223-G0333,2,09:29,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-225,-10,0,1,3.0,0.0,h
S2223-G0333,2,09:24,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-195,143,24,1,3.0,0.0,h
S2223-G0333,2,08:02,SAS,,NOP,,D. Vassell,SAS,Vassell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0333,2,07:55,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 26' 3PT Jump Shot,Missed Shot,Jump Shot,-13,255,26,1,3.0,0.0,h
S2223-G0333,2,07:52,SAS,,NOP,,D. Vassell,SAS,Vassell REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0333,2,07:09,SAS,,NOP,,D. Vassell,SAS,SUB: K. Johnson FOR Vassell,Substitution,,0,0,0,0,,,h
S2223-G0333,2,04:00,SAS,,NOP,,D. Vassell,SAS,Vassell S.FOUL (P1.PN) (P.Ransom),Foul,Shooting,0,0,0,0,,,h
S2223-G0333,2,03:02,SAS,,NOP,,D. Vassell,SAS,Vassell REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0333,2,02:56,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 13' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-94,85,13,1,2.0,0.0,h
S2223-G0333,2,02:37,SAS,43.0,NOP,47.0,D. Vassell,SAS,Vassell 26' 3PT Running Jump Shot (11 PTS) (Jones 2 AST),Made Shot,Running Jump Shot,-136,220,26,1,3.0,3.0,h
S2223-G0333,2,01:30,SAS,49.0,NOP,49.0,D. Vassell,SAS,Vassell 1' Running Finger Roll Layup (13 PTS),Made Shot,Running Finger Roll Layup Shot,1,10,1,1,2.0,2.0,h
S2223-G0333,2,00:50.400000,SAS,52.0,NOP,49.0,D. Vassell,SAS,Vassell 25' 3PT Pullup Jump Shot (16 PTS) (Bates-Diop 1 AST),Made Shot,Pullup Jump shot,13,245,25,1,3.0,3.0,h
S2223-G0333,2,00:00,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,225,174,28,1,3.0,0.0,h
S2223-G0333,3,08:01,SAS,,NOP,,D. Vassell,SAS,MISS Vassell 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-103,154,19,1,2.0,0.0,h
