game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0647,4,04:43,POR,,DAL,,G. Brown III,POR,Brown III REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0647,4,04:05,POR,,DAL,,G. Brown III,POR,Brown III REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0647,4,03:16,POR,,DAL,,G. Brown III,POR,Brown III Traveling Turnover (P1.T10),Turnover,Traveling,0,0,0,0,,,h
S2223-G0647,4,02:53,POR,,DAL,,G. Brown III,POR,MISS Brown III 2' Reverse Layup,Missed Shot,Reverse Layup Shot,12,15,2,1,2.0,0.0,h
S2223-G0647,4,02:31,POR,,DAL,,G. Brown III,POR,Brown III REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0647,4,02:15,POR,134.0,DAL,113.0,G. Brown III,POR,Brown III 1' Cutting Dunk Shot (2 PTS) (Sharpe 1 AST),Made Shot,Cutting Dunk Shot,7,6,1,1,2.0,2.0,h
S2223-G0647,4,00:49.800000,POR,,DAL,,G. Brown III,POR,Brown III REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0559,4,05:31,POR,,DET,,G. Brown III,POR,MISS Brown III 26' 3PT Jump Shot,Missed Shot,Jump Shot,108,239,26,1,3.0,0.0,h
S2223-G0559,4,04:52,POR,,DET,,G. Brown III,POR,Brown III REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0559,4,04:39,POR,123.0,DET,94.0,G. Brown III,POR,Brown III Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0559,4,04:39,POR,,DET,,G. Brown III,POR,MISS Brown III Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0559,4,03:56,POR,,DET,,G. Brown III,POR,Brown III S.FOUL (P1.PN) (D.Guthrie),Foul,Shooting,0,0,0,0,,,h
