game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0309,3,02:13,DET,73.0,NYK,100.0,H. Diallo,DET,Diallo 5' Cutting Layup Shot (2 PTS) (McGruder 1 AST),Made Shot,Cutting Layup Shot,13,50,5,1,2.0,2.0,h
S2223-G0309,3,00:31.300000,DET,77.0,NYK,106.0,H. Diallo,DET,Diallo 3' Running Dunk (4 PTS),Made Shot,Running Dunk Shot,-20,22,3,1,2.0,2.0,h
S2223-G0309,3,00:01.100000,DET,,NYK,,H. Diallo,DET,MISS Diallo 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,29,132,14,1,2.0,0.0,h
S2223-G0309,4,10:34,DET,,NYK,,H. Diallo,DET,Diallo BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0309,4,10:26,DET,,NYK,,H. Diallo,DET,Diallo REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0309,4,10:26,DET,81.0,NYK,110.0,H. Diallo,DET,Diallo Tip Layup Shot (6 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2223-G0309,4,08:46,DET,,NYK,,H. Diallo,DET,MISS Diallo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0309,4,08:46,DET,,NYK,,H. Diallo,DET,MISS Diallo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0309,4,06:15,DET,92.0,NYK,121.0,H. Diallo,DET,Diallo Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0309,4,06:15,DET,,NYK,,H. Diallo,DET,MISS Diallo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0309,4,03:54,DET,,NYK,,H. Diallo,DET,Diallo Bad Pass Turnover (P1.T16),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0309,4,02:16,DET,105.0,NYK,132.0,H. Diallo,DET,Diallo 19' Pullup Jump Shot (9 PTS),Made Shot,Pullup Jump shot,120,152,19,1,2.0,2.0,h
S2223-G0309,4,01:01,DET,,NYK,,H. Diallo,DET,Diallo P.FOUL (P1.T2) (S.Twardoski),Foul,Personal,0,0,0,0,,,h
S2223-G0919,1,00:53.300000,CHA,,DET,,H. Diallo,DET,Diallo Lost Ball Turnover (P1.T2),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0919,2,10:57,CHA,,DET,,H. Diallo,DET,MISS Diallo 3' Running Layup,Missed Shot,Running Layup Shot,20,20,3,1,2.0,0.0,v
S2223-G0919,2,10:50,CHA,,DET,,H. Diallo,DET,Diallo S.FOUL (P1.T1) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2223-G0919,2,09:33,CHA,,DET,,H. Diallo,DET,MISS Diallo 26' 3PT Jump Shot,Missed Shot,Jump Shot,85,247,26,1,3.0,0.0,v
S2223-G0919,2,09:22,CHA,,DET,,H. Diallo,DET,Diallo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0919,2,09:15,CHA,45.0,DET,25.0,H. Diallo,DET,Diallo 2' Running Finger Roll Layup (2 PTS),Made Shot,Running Finger Roll Layup Shot,16,15,2,1,2.0,2.0,v
S2223-G0919,2,08:12,CHA,48.0,DET,27.0,H. Diallo,DET,Diallo 2' Driving Reverse Layup (4 PTS) (Bagley III 1 AST),Made Shot,Driving Reverse Layup Shot,17,5,2,1,2.0,2.0,v
S2223-G0919,2,07:00,CHA,,DET,,H. Diallo,DET,Diallo Transition Take Foul (P2.T4) (S.Foster),Foul                                    ,Transition Take,0,0,0,0,,,v
S2223-G0919,2,05:44,CHA,,DET,,H. Diallo,DET,MISS Diallo 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,22,20,3,1,2.0,0.0,v
S2223-G0919,2,04:27,CHA,,DET,,H. Diallo,DET,MISS Diallo 7' Driving Hook Shot,Missed Shot,Driving Hook Shot,-27,67,7,1,2.0,0.0,v
S2223-G0919,2,03:00,CHA,,DET,,H. Diallo,DET,SUB: Joseph FOR Diallo,Substitution,,0,0,0,0,,,v
S2223-G0919,3,11:42,CHA,65.0,DET,48.0,H. Diallo,DET,Diallo 1' Running Reverse Dunk Shot (6 PTS) (Hayes 6 AST),Made Shot,Running Reverse Dunk Shot,-9,0,1,1,2.0,2.0,v
S2223-G0919,3,10:55,CHA,,DET,,H. Diallo,DET,Diallo S.FOUL (P3.T1) (K.Cutler),Foul,Shooting,0,0,0,0,,,v
S2223-G0919,3,10:32,CHA,,DET,,H. Diallo,DET,Diallo P.FOUL (P4.T2) (S.Foster),Foul,Personal,0,0,0,0,,,v
S2223-G0919,3,09:26,CHA,74.0,DET,56.0,H. Diallo,DET,Diallo 5' Hook Shot (8 PTS),Made Shot,Hook Shot,2,47,5,1,2.0,2.0,v
S2223-G0919,3,07:04,CHA,79.0,DET,58.0,H. Diallo,DET,Diallo 2' Driving Layup (10 PTS),Made Shot,Driving Layup Shot,15,8,2,1,2.0,2.0,v
S2223-G0919,3,06:06,CHA,,DET,,H. Diallo,DET,MISS Diallo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0919,3,06:06,CHA,84.0,DET,62.0,H. Diallo,DET,Diallo Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0919,3,05:37,CHA,,DET,,H. Diallo,DET,MISS Diallo 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-71,43,8,1,2.0,0.0,v
S2223-G0919,3,05:27,CHA,,DET,,H. Diallo,DET,Diallo REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0919,3,05:07,CHA,84.0,DET,64.0,H. Diallo,DET,Diallo 2' Running Layup (13 PTS) (Burks 1 AST),Made Shot,Running Layup Shot,18,6,2,1,2.0,2.0,v
S2223-G0919,3,04:29,CHA,,DET,,H. Diallo,DET,SUB: Joseph FOR Diallo,Substitution,,0,0,0,0,,,v
S2223-G0919,4,11:09,CHA,,DET,,H. Diallo,DET,Diallo STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0919,4,10:05,CHA,,DET,,H. Diallo,DET,Diallo STEAL (2 STL),,,0,0,0,0,,,v
S2223-G0919,4,10:00,CHA,92.0,DET,81.0,H. Diallo,DET,Diallo 3' Running Layup (15 PTS),Made Shot,Running Layup Shot,-18,19,3,1,2.0,2.0,v
S2223-G0919,4,09:02,CHA,92.0,DET,85.0,H. Diallo,DET,Diallo 1' Running Dunk (17 PTS) (Hampton 1 AST),Made Shot,Running Dunk Shot,-4,3,1,1,2.0,2.0,v
S2223-G0919,4,08:37,CHA,,DET,,H. Diallo,DET,MISS Diallo Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0919,4,08:37,CHA,92.0,DET,86.0,H. Diallo,DET,Diallo Free Throw 2 of 2 (18 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0919,4,07:57,CHA,,DET,,H. Diallo,DET,Diallo S.FOUL (P5.T3) (S.Foster),Foul,Shooting,0,0,0,0,,,v
S2223-G0919,4,06:16,CHA,102.0,DET,93.0,H. Diallo,DET,Diallo Free Throw 1 of 2 (19 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0919,4,06:16,CHA,,DET,,H. Diallo,DET,MISS Diallo Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2223-G0919,4,05:57,CHA,,DET,,H. Diallo,DET,Diallo STEAL (3 STL),,,0,0,0,0,,,v
S2223-G0919,4,05:52,CHA,102.0,DET,95.0,H. Diallo,DET,Diallo 1' Running Dunk (21 PTS),Made Shot,Running Dunk Shot,11,5,1,1,2.0,2.0,v
S2223-G0919,4,02:17,CHA,112.0,DET,101.0,H. Diallo,DET,Diallo 11' Pullup Jump Shot (23 PTS) (Hayes 10 AST),Made Shot,Pullup Jump shot,49,99,11,1,2.0,2.0,v
S2223-G0919,4,01:51,CHA,,DET,,H. Diallo,DET,Diallo REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0743,1,03:50,DET,,HOU,,H. Diallo,DET,Diallo BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0743,1,02:56,DET,,HOU,,H. Diallo,DET,Diallo STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0743,1,02:49,DET,32.0,HOU,20.0,H. Diallo,DET,Diallo 4' Cutting Dunk Shot (2 PTS) (Ivey 2 AST),Made Shot,Cutting Dunk Shot,12,39,4,1,2.0,2.0,h
S2223-G0743,1,02:49,DET,33.0,HOU,20.0,H. Diallo,DET,Diallo Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0743,1,01:36,DET,,HOU,,H. Diallo,DET,Diallo S.FOUL (P1.PN) (M.Kogut),Foul,Shooting,0,0,0,0,,,h
S2223-G0743,1,01:21,DET,,HOU,,H. Diallo,DET,MISS Diallo 8' Layup,Missed Shot,Layup Shot,-16,81,8,1,2.0,0.0,h
