game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1220,1,08:00,NYK,,IND,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1220,1,07:39,NYK,,IND,,I. Hartenstein,NYK,Hartenstein S.FOUL (P1.T3) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2223-G1220,1,07:02,NYK,20.0,IND,16.0,I. Hartenstein,NYK,Hartenstein 2' Driving Reverse Layup (2 PTS) (Quickley 2 AST),Made Shot,Driving Reverse Layup Shot,-12,10,2,1,2.0,2.0,h
S2223-G1220,1,06:13,NYK,26.0,IND,18.0,I. Hartenstein,NYK,Hartenstein 2' Cutting Dunk Shot (4 PTS) (Quickley 3 AST),Made Shot,Cutting Dunk Shot,-1,16,2,1,2.0,2.0,h
S2223-G1220,1,02:54,NYK,,IND,,I. Hartenstein,NYK,MISS Hartenstein 12' Floating Jump Shot,Missed Shot,Floating Jump shot,-5,122,12,1,2.0,0.0,h
S2223-G1220,1,02:04,NYK,,IND,,I. Hartenstein,NYK,Hartenstein STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1220,1,01:47,NYK,,IND,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1220,2,10:58,NYK,,IND,,I. Hartenstein,NYK,Hartenstein S.FOUL (P2.T1) (D.Mosher),Foul,Shooting,0,0,0,0,,,h
S2223-G1220,2,10:58,NYK,,IND,,I. Hartenstein,NYK,SUB: Robinson FOR Hartenstein,Substitution,,0,0,0,0,,,h
S2223-G1220,3,03:10,NYK,,IND,,I. Hartenstein,NYK,MISS Hartenstein 3' Layup,Missed Shot,Layup Shot,12,22,3,1,2.0,0.0,h
S2223-G1220,3,02:23,NYK,103.0,IND,90.0,I. Hartenstein,NYK,Hartenstein 3' Hook Shot (6 PTS) (Hart 2 AST),Made Shot,Hook Shot,22,21,3,1,2.0,2.0,h
S2223-G1220,4,11:02,NYK,109.0,IND,105.0,I. Hartenstein,NYK,Hartenstein 6' Driving Floating Jump Shot (8 PTS) (Hart 3 AST),Made Shot,Driving Floating Jump Shot,11,55,6,1,2.0,2.0,h
S2223-G1220,4,10:43,NYK,,IND,,I. Hartenstein,NYK,Hartenstein Violation:Kicked Ball (D.Mosher),Violation,Kicked Ball,0,0,0,0,,,h
S2223-G1220,4,05:25,NYK,,IND,,I. Hartenstein,NYK,MISS Hartenstein 3' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-26,14,3,1,2.0,0.0,h
S2223-G1220,4,05:19,NYK,,IND,,I. Hartenstein,NYK,SUB: Robinson FOR Hartenstein,Substitution,,0,0,0,0,,,h
S2223-G0348,1,02:06,NYK,17.0,CLE,9.0,I. Hartenstein,NYK,Hartenstein 4' Hook Shot (2 PTS) (Grimes 1 AST),Made Shot,Hook Shot,-5,43,4,1,2.0,2.0,h
S2223-G0348,1,01:17,NYK,21.0,CLE,11.0,I. Hartenstein,NYK,Hartenstein 1' Cutting Layup Shot (4 PTS) (Toppin 1 AST),Made Shot,Cutting Layup Shot,-9,5,1,1,2.0,2.0,h
S2223-G0348,1,01:09,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein S.FOUL (P1.T2) (D.Taylor),Foul,Shooting,0,0,0,0,,,h
S2223-G0348,1,00:23.800000,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,1,00:22.800000,NYK,,CLE,,I. Hartenstein,NYK,MISS Hartenstein Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0348,1,00:21.600000,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,1,00:20.600000,NYK,,CLE,,I. Hartenstein,NYK,MISS Hartenstein Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0348,2,11:40,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,2,10:57,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,2,09:56,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,2,08:23,NYK,,CLE,,I. Hartenstein,NYK,SUB: Robinson FOR Hartenstein,Substitution,,0,0,0,0,,,h
S2223-G0348,3,01:47,NYK,,CLE,,I. Hartenstein,NYK,MISS Hartenstein 12' Floating Jump Shot,Missed Shot,Floating Jump shot,4,120,12,1,2.0,0.0,h
S2223-G0348,3,01:16,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,3,01:16,NYK,69.0,CLE,61.0,I. Hartenstein,NYK,Hartenstein 1' Putback Layup (6 PTS),Made Shot,Putback Layup Shot,-6,4,1,1,2.0,2.0,h
S2223-G0348,3,00:41.100000,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:5 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,3,00:40.100000,NYK,,CLE,,I. Hartenstein,NYK,MISS Hartenstein Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0348,3,00:12.800000,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein Traveling Turnover (P1.T20),Turnover,Traveling,0,0,0,0,,,h
S2223-G0348,3,00:12.800000,NYK,,CLE,,I. Hartenstein,NYK,SUB: Robinson FOR Hartenstein,Substitution,,0,0,0,0,,,h
S2223-G0348,4,10:43,NYK,74.0,CLE,66.0,I. Hartenstein,NYK,Hartenstein Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0348,4,10:43,NYK,75.0,CLE,66.0,I. Hartenstein,NYK,Hartenstein Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0348,4,09:29,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:5 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,4,07:42,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:6 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0348,4,07:42,NYK,82.0,CLE,69.0,I. Hartenstein,NYK,Hartenstein Tip Layup Shot (10 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2223-G0348,4,07:13,NYK,,CLE,,I. Hartenstein,NYK,MISS Hartenstein 2' Layup,Missed Shot,Layup Shot,-22,1,2,1,2.0,0.0,h
S2223-G0348,4,06:22,NYK,,CLE,,I. Hartenstein,NYK,Hartenstein P.FOUL (P2.T2) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2223-G0348,4,06:22,NYK,,CLE,,I. Hartenstein,NYK,SUB: Robinson FOR Hartenstein,Substitution,,0,0,0,0,,,h
S2223-G0309,1,02:45,DET,,NYK,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0309,1,01:30,DET,27.0,NYK,38.0,I. Hartenstein,NYK,Hartenstein 3' Alley Oop Layup (2 PTS) (Rose 1 AST),Made Shot,Alley Oop Layup shot,13,32,3,1,2.0,2.0,v
S2223-G0309,1,00:58.900000,DET,,NYK,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0309,2,10:27,DET,,NYK,,I. Hartenstein,NYK,Hartenstein REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0309,2,10:27,DET,,NYK,,I. Hartenstein,NYK,MISS Hartenstein Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2223-G0309,2,10:20,DET,,NYK,,I. Hartenstein,NYK,Hartenstein P.FOUL (P1.T1) (S.Twardoski),Foul,Personal,0,0,0,0,,,v
S2223-G0309,2,08:57,DET,,NYK,,I. Hartenstein,NYK,SUB: Randle FOR Hartenstein,Substitution,,0,0,0,0,,,v
S2223-G0309,3,03:14,DET,,NYK,,I. Hartenstein,NYK,Hartenstein P.FOUL (P2.PN) (S.Twardoski),Foul,Personal,0,0,0,0,,,v
S2223-G0309,3,03:00,DET,69.0,NYK,99.0,I. Hartenstein,NYK,Hartenstein 5' Driving Layup (4 PTS) (Quickley 3 AST),Made Shot,Driving Layup Shot,43,25,5,1,2.0,2.0,v
