game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0333,1,02:12,SAS,,NOP,,J. Alvarado,NOP,MISS Alvarado 26' 3PT Jump Shot,Missed Shot,Jump Shot,184,189,26,1,3.0,0.0,v
S2223-G0333,1,01:19,SAS,,NOP,,J. Alvarado,NOP,MISS Alvarado 27' 3PT Jump Shot,Missed Shot,Jump Shot,-70,257,27,1,3.0,0.0,v
S2223-G0333,1,00:42.900000,SAS,,NOP,,J. Alvarado,NOP,MISS Alvarado 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,16,130,13,1,2.0,0.0,v
S2223-G0333,2,11:02,SAS,26.0,NOP,27.0,J. Alvarado,NOP,Alvarado Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0333,2,11:02,SAS,26.0,NOP,28.0,J. Alvarado,NOP,Alvarado Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0333,2,10:11,SAS,26.0,NOP,32.0,J. Alvarado,NOP,Alvarado 1' Running Finger Roll Layup (4 PTS) (Daniels 3 AST),Made Shot,Running Finger Roll Layup Shot,-5,1,1,1,2.0,2.0,v
S2223-G0333,2,06:06,SAS,,NOP,,J. Alvarado,NOP,MISS Alvarado 26' 3PT Jump Shot,Missed Shot,Jump Shot,168,193,26,1,3.0,0.0,v
S2223-G0333,2,05:21,SAS,,NOP,,J. Alvarado,NOP,SUB: Daniels FOR Alvarado,Substitution,,0,0,0,0,,,v
S2223-G0333,3,01:29,SAS,69.0,NOP,75.0,J. Alvarado,NOP,Alvarado 24' 3PT Running Jump Shot (7 PTS) (Williamson 4 AST),Made Shot,Running Jump Shot,240,-25,24,1,3.0,3.0,v
S2223-G0333,3,00:09.600000,SAS,,NOP,,J. Alvarado,NOP,Alvarado STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0333,3,00:00.200000,SAS,,NOP,,J. Alvarado,NOP,Alvarado STEAL (2 STL),,,0,0,0,0,,,v
S2223-G0333,4,10:27,SAS,,NOP,,J. Alvarado,NOP,Alvarado REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,4,08:12,SAS,,NOP,,J. Alvarado,NOP,MISS Alvarado 26' 3PT Jump Shot,Missed Shot,Jump Shot,2,256,26,1,3.0,0.0,v
S2223-G0333,4,07:56,SAS,,NOP,,J. Alvarado,NOP,Alvarado P.FOUL (P1.T3) (A.Moyer-Gleich),Foul,Personal,0,0,0,0,,,v
S2223-G0333,4,06:50,SAS,,NOP,,J. Alvarado,NOP,MISS Alvarado 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,82,-10,8,1,2.0,0.0,v
S2223-G0333,4,06:47,SAS,,NOP,,J. Alvarado,NOP,Alvarado REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0333,4,06:46,SAS,,NOP,,J. Alvarado,NOP,MISS Alvarado 8' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,76,21,8,1,2.0,0.0,v
S2223-G0333,4,04:23,SAS,,NOP,,J. Alvarado,NOP,Alvarado P.FOUL (P2.T4) (P.Ransom),Foul,Personal,0,0,0,0,,,v
S2223-G0333,4,04:14,SAS,,NOP,,J. Alvarado,NOP,Alvarado S.FOUL (P3.PN) (J.Tiven),Foul,Shooting,0,0,0,0,,,v
