game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0256,4,00:46.900000,PHI,,BKN,,J. Champagnie,PHI,MISS Champagnie 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,81,154,17,1,2.0,0.0,h
S2223-G1216,1,00:44.700000,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 24' 3PT Jump Shot,Missed Shot,Jump Shot,-238,12,24,1,3.0,0.0,h
S2223-G1216,1,00:42.100000,BOS,,ATL,,J. Champagnie,BOS,Champagnie REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G1216,2,10:44,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 8' Floating Jump Shot,Missed Shot,Floating Jump shot,-56,54,8,1,2.0,0.0,h
S2223-G1216,2,10:43,BOS,,ATL,,J. Champagnie,BOS,Champagnie REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G1216,2,10:40,BOS,35.0,ATL,34.0,J. Champagnie,BOS,Champagnie 4' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,-26,29,4,1,2.0,2.0,h
S2223-G1216,2,09:30,BOS,40.0,ATL,39.0,J. Champagnie,BOS,Champagnie 26' 3PT Step Back Jump Shot (5 PTS) (Kornet 2 AST),Made Shot,Step Back Jump shot,131,222,26,1,3.0,3.0,h
S2223-G1216,2,07:04,BOS,,ATL,,J. Champagnie,BOS,Champagnie STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1216,2,06:59,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 4' Running Layup,Missed Shot,Running Layup Shot,-26,27,4,1,2.0,0.0,h
S2223-G1216,2,06:39,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 27' 3PT Jump Shot,Missed Shot,Jump Shot,-165,212,27,1,3.0,0.0,h
S2223-G1216,2,05:29,BOS,,ATL,,J. Champagnie,BOS,SUB: Hauser FOR Champagnie,Substitution,,0,0,0,0,,,h
S2223-G1216,3,10:37,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 4' Driving Layup,Missed Shot,Driving Layup Shot,-20,35,4,1,2.0,0.0,h
S2223-G1216,3,09:27,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 5' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,27,43,5,1,2.0,0.0,h
S2223-G1216,3,08:09,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 3PT Jump Shot,Missed Shot,Jump Shot,-223,73,0,1,3.0,0.0,h
S2223-G1216,3,08:07,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-18,14,2,1,2.0,0.0,h
S2223-G1216,3,07:10,BOS,,ATL,,J. Champagnie,BOS,Champagnie REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1216,3,04:01,BOS,,ATL,,J. Champagnie,BOS,SUB: Davison FOR Champagnie,Substitution,,0,0,0,0,,,h
S2223-G1216,4,11:24,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 27' 3PT Jump Shot,Missed Shot,Jump Shot,-212,162,27,1,3.0,0.0,h
S2223-G1216,4,11:13,BOS,,ATL,,J. Champagnie,BOS,Champagnie REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1216,4,11:06,BOS,,ATL,,J. Champagnie,BOS,MISS Champagnie 4' Running Layup,Missed Shot,Running Layup Shot,-33,25,4,1,2.0,0.0,h
S2223-G1216,4,08:47,BOS,,ATL,,J. Champagnie,BOS,SUB: Hauser FOR Champagnie,Substitution,,0,0,0,0,,,h
S2223-G1098,1,03:05,WAS,,SAS,,J. Champagnie,SAS,MISS Champagnie 25' 3PT Jump Shot,Missed Shot,Jump Shot,121,220,25,1,3.0,0.0,v
S2223-G1098,1,02:31,WAS,29.0,SAS,24.0,J. Champagnie,SAS,Champagnie 16' Pullup Jump Shot (2 PTS) (Wesley 1 AST),Made Shot,Pullup Jump shot,-23,156,16,1,2.0,2.0,v
S2223-G1098,1,01:15,WAS,,SAS,,J. Champagnie,SAS,Champagnie P.FOUL (P1.PN) (N.Buchert),Foul,Personal,0,0,0,0,,,v
S2223-G1098,2,11:53,WAS,,SAS,,J. Champagnie,SAS,Champagnie Non-Unsportsmanlike (P1.T0) (E.Lewis),Foul,Non-Unsportsmanlike Technical,0,0,0,0,,,v
S2223-G1098,2,11:22,WAS,,SAS,,J. Champagnie,SAS,Champagnie BLOCK (1 BLK),,,0,0,0,0,,,v
