game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0372,1,10:15,UTA,,GSW,,J. Clarkson,UTA,MISS Clarkson 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,64,138,15,1,2.0,0.0,h
S2223-G0372,1,08:22,UTA,,GSW,,J. Clarkson,UTA,MISS Clarkson 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-39,47,6,1,2.0,0.0,h
S2223-G0372,1,06:36,UTA,,GSW,,J. Clarkson,UTA,MISS Clarkson 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,59,24,1,3.0,0.0,h
S2223-G0372,1,06:22,UTA,,GSW,,J. Clarkson,UTA,SUB: Fontecchio FOR Clarkson,Substitution,,0,0,0,0,,,h
S2223-G0372,1,03:15,UTA,24.0,GSW,25.0,J. Clarkson,UTA,Clarkson 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,23,18,3,1,2.0,2.0,h
S2223-G0372,1,02:41,UTA,,GSW,,J. Clarkson,UTA,Clarkson Traveling Turnover (P1.T3),Turnover,Traveling,0,0,0,0,,,h
S2223-G0372,1,01:49,UTA,,GSW,,J. Clarkson,UTA,MISS Clarkson 27' 3PT Jump Shot,Missed Shot,Jump Shot,34,269,27,1,3.0,0.0,h
S2223-G0372,1,00:02.100000,UTA,,GSW,,J. Clarkson,UTA,MISS Clarkson 4' Driving Layup,Missed Shot,Driving Layup Shot,22,28,4,1,2.0,0.0,h
S2223-G0372,2,11:03,UTA,,GSW,,J. Clarkson,UTA,Clarkson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0372,2,10:26,UTA,,GSW,,J. Clarkson,UTA,MISS Clarkson 13' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-126,42,13,1,2.0,0.0,h
S2223-G0372,2,09:41,UTA,37.0,GSW,41.0,J. Clarkson,UTA,Clarkson 3' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,21,27,3,1,2.0,2.0,h
