game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0939,1,04:22,MIL,,ORL,,J. Crowder,MIL,Crowder Violation:Kicked Ball (S.Wright),Violation,Kicked Ball,0,0,0,0,,,h
S2223-G0939,2,03:37,MIL,,ORL,,J. Crowder,MIL,MISS Crowder 27' 3PT Jump Shot,Missed Shot,Jump Shot,-112,241,27,1,3.0,0.0,h
S2223-G0939,2,01:02,MIL,72.0,ORL,62.0,J. Crowder,MIL,Crowder 3PT Jump Shot (3 PTS) (G. Antetokounmpo 4 AST),Made Shot,Jump Shot,225,25,0,1,3.0,3.0,h
S2223-G0939,3,03:51,MIL,,ORL,,J. Crowder,MIL,Crowder S.FOUL (P1.PN) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2223-G0939,3,01:55,MIL,,ORL,,J. Crowder,MIL,Crowder REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0939,3,01:12,MIL,,ORL,,J. Crowder,MIL,Crowder P.FOUL (P2.PN) (S.Wright),Foul,Personal,0,0,0,0,,,h
S2223-G0939,3,00:15.300000,MIL,,ORL,,J. Crowder,MIL,Crowder P.FOUL (P3.PN) (M.Myers),Foul,Personal,0,0,0,0,,,h
S2223-G0939,4,11:45,MIL,,ORL,,J. Crowder,MIL,MISS Crowder 26' 3PT Jump Shot,Missed Shot,Jump Shot,91,242,26,1,3.0,0.0,h
S2223-G0939,4,10:49,MIL,,ORL,,J. Crowder,MIL,SUB: Allen FOR Crowder,Substitution,,0,0,0,0,,,h
S2223-G0939,4,04:51,MIL,,ORL,,J. Crowder,MIL,Crowder REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0939,4,04:33,MIL,,ORL,,J. Crowder,MIL,Crowder S.FOUL (P4.T4) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2223-G0939,4,04:17,MIL,134.0,ORL,108.0,J. Crowder,MIL,Crowder 3PT Jump Shot (6 PTS) (Green 1 AST),Made Shot,Jump Shot,228,32,0,1,3.0,3.0,h
S2223-G0939,4,03:56,MIL,,ORL,,J. Crowder,MIL,Crowder REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0939,4,03:07,MIL,,ORL,,J. Crowder,MIL,Crowder REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0939,4,02:15,MIL,,ORL,,J. Crowder,MIL,MISS Crowder 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-75,274,28,1,3.0,0.0,h
S2223-G0939,4,01:42,MIL,,ORL,,J. Crowder,MIL,MISS Crowder 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,116,235,26,1,3.0,0.0,h
S2223-G0978,1,01:46,ORL,,MIL,,J. Crowder,MIL,MISS Crowder 9' Floating Jump Shot,Missed Shot,Floating Jump shot,-91,25,9,1,2.0,0.0,v
S2223-G0978,1,00:53.800000,ORL,,MIL,,J. Crowder,MIL,Crowder REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0978,1,00:53.800000,ORL,22.0,MIL,33.0,J. Crowder,MIL,Crowder 4' Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,21,29,4,1,2.0,2.0,v
S2223-G0978,1,00:41,ORL,,MIL,,J. Crowder,MIL,Crowder REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0978,1,00:31.900000,ORL,22.0,MIL,36.0,J. Crowder,MIL,Crowder 26' 3PT Pullup Jump Shot (5 PTS) (Carter 2 AST),Made Shot,Pullup Jump shot,-191,176,26,1,3.0,3.0,v
S2223-G0978,1,00:31.900000,ORL,,MIL,,J. Crowder,MIL,Crowder T.FOUL (P0.T1) (S.Twardoski),Foul,Technical,0,0,0,0,,,v
S2223-G0978,2,11:18,ORL,,MIL,,J. Crowder,MIL,SUB: Portis FOR Crowder,Substitution,,0,0,0,0,,,v
