game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0630,1,02:22,LAL,15.0,DAL,32.0,J. Hardy,DAL,Hardy 3' Running Layup (2 PTS) (Wood 2 AST),Made Shot,Running Layup Shot,4,28,3,1,2.0,2.0,v
S2223-G0630,1,02:22,LAL,15.0,DAL,33.0,J. Hardy,DAL,Hardy Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G0630,1,01:18,LAL,,DAL,,J. Hardy,DAL,Hardy Offensive Charge Foul (P1) (S.Mehta),Foul,Offensive Charge,0,0,0,0,,,v
S2223-G0630,1,01:18,LAL,,DAL,,J. Hardy,DAL,Hardy Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0630,1,00:34.400000,LAL,,DAL,,J. Hardy,DAL,Hardy S.FOUL (P2.PN) (J.Tiven),Foul,Shooting,0,0,0,0,,,v
S2223-G0630,3,01:36,LAL,,DAL,,J. Hardy,DAL,Hardy Bad Pass Turnover (P2.T12),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0630,3,01:36,LAL,,DAL,,J. Hardy,DAL,Hardy P.FOUL (P3.PN) (T.Maddox),Foul,Personal,0,0,0,0,,,v
S2223-G0630,3,00:02.800000,LAL,,DAL,,J. Hardy,DAL,MISS Hardy 3' Running Layup,Missed Shot,Running Layup Shot,-2,30,3,1,2.0,0.0,v
S2223-G0734,2,07:37,PHX,,DAL,,J. Hardy,DAL,MISS Hardy 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,86,135,16,1,2.0,0.0,v
S2223-G0734,2,07:10,PHX,,DAL,,J. Hardy,DAL,MISS Hardy 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-38,13,4,1,2.0,0.0,v
S2223-G0734,2,04:40,PHX,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0734,2,04:19,PHX,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0734,2,03:29,PHX,,DAL,,J. Hardy,DAL,SUB: Finney-Smith FOR Hardy,Substitution,,0,0,0,0,,,v
S2223-G1040,1,11:41,SAS,0.0,DAL,1.0,J. Hardy,DAL,Hardy Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1040,1,11:41,SAS,0.0,DAL,2.0,J. Hardy,DAL,Hardy Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1040,1,11:04,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-140,100,17,1,2.0,0.0,v
S2223-G1040,1,10:56,SAS,0.0,DAL,4.0,J. Hardy,DAL,Hardy 17' Pullup Jump Shot (4 PTS) (Powell 1 AST),Made Shot,Pullup Jump shot,71,150,17,1,2.0,2.0,v
S2223-G1040,1,09:10,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-47,146,15,1,2.0,0.0,v
S2223-G1040,1,08:54,SAS,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1040,1,07:28,SAS,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1040,1,06:53,SAS,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G1040,1,06:53,SAS,10.0,DAL,12.0,J. Hardy,DAL,Hardy Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1040,1,06:53,SAS,10.0,DAL,13.0,J. Hardy,DAL,Hardy Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1040,1,04:03,SAS,,DAL,,J. Hardy,DAL,SUB: Green FOR Hardy,Substitution,,0,0,0,0,,,v
S2223-G1040,2,10:46,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 14' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-99,95,14,1,2.0,0.0,v
S2223-G1040,2,09:31,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 3' Layup,Missed Shot,Layup Shot,17,24,3,1,2.0,0.0,v
S2223-G1040,2,09:29,SAS,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G1040,2,08:41,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 26' 3PT Jump Shot,Missed Shot,Jump Shot,-138,225,26,1,3.0,0.0,v
S2223-G1040,2,08:20,SAS,,DAL,,J. Hardy,DAL,SUB: Bertans FOR Hardy,Substitution,,0,0,0,0,,,v
S2223-G1040,2,03:26,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,29,29,4,1,2.0,0.0,v
S2223-G1040,2,03:09,SAS,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G1040,2,03:09,SAS,,DAL,,J. Hardy,DAL,Hardy Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G1040,2,02:02,SAS,,DAL,,J. Hardy,DAL,Hardy REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G1040,2,01:57,SAS,,DAL,,J. Hardy,DAL,SUB: Wright IV FOR Hardy,Substitution,,0,0,0,0,,,v
S2223-G1040,3,10:38,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 3' Driving Layup,Missed Shot,Driving Layup Shot,-17,21,3,1,2.0,0.0,v
S2223-G1040,3,09:47,SAS,,DAL,,J. Hardy,DAL,Hardy Offensive Charge Foul (P1) (M.Ervin),Foul,Offensive Charge,0,0,0,0,,,v
S2223-G1040,3,09:47,SAS,,DAL,,J. Hardy,DAL,Hardy Offensive Foul Turnover (P2.T12),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G1040,3,09:11,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 24' 3PT Jump Shot,Missed Shot,Jump Shot,-237,22,24,1,3.0,0.0,v
S2223-G1040,3,07:18,SAS,,DAL,,J. Hardy,DAL,SUB: Wood FOR Hardy,Substitution,,0,0,0,0,,,v
S2223-G1040,3,01:34,SAS,90.0,DAL,85.0,J. Hardy,DAL,Hardy 27' 3PT Jump Shot (9 PTS) (Wood 2 AST),Made Shot,Jump Shot,-132,238,27,1,3.0,3.0,v
S2223-G1040,4,07:31,SAS,102.0,DAL,100.0,J. Hardy,DAL,Hardy 3' Driving Dunk (11 PTS) (Bertans 1 AST),Made Shot,Driving Dunk Shot,22,18,3,1,2.0,2.0,v
S2223-G1040,4,03:50,SAS,,DAL,,J. Hardy,DAL,MISS Hardy 4' Driving Layup,Missed Shot,Driving Layup Shot,-25,36,4,1,2.0,0.0,v
