game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1083,4,02:56,WAS,,DEN,,J. Huff,WAS,MISS Huff 28' 3PT Jump Shot,Missed Shot,Jump Shot,99,263,28,1,3.0,0.0,h
S2223-G1083,4,00:27.900000,WAS,,DEN,,J. Huff,WAS,Huff REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1083,4,00:22.600000,WAS,103.0,DEN,118.0,J. Huff,WAS,Huff Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G1083,4,00:22.600000,WAS,104.0,DEN,118.0,J. Huff,WAS,Huff Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G1191,1,04:12,ATL,22.0,WAS,20.0,J. Huff,WAS,Huff 1' Reverse Dunk (2 PTS) (Cooks 1 AST),Made Shot,Reverse Dunk Shot,6,0,1,1,2.0,2.0,v
S2223-G1191,1,02:07,ATL,,WAS,,J. Huff,WAS,Huff BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G1191,1,02:04,ATL,,WAS,,J. Huff,WAS,Huff REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,1,01:58,ATL,28.0,WAS,30.0,J. Huff,WAS,Huff 27' 3PT Jump Shot (5 PTS) (Cooks 2 AST),Made Shot,Jump Shot,-42,262,27,1,3.0,3.0,v
S2223-G1191,1,00:30.600000,ATL,,WAS,,J. Huff,WAS,Huff REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,2,11:31,ATL,,WAS,,J. Huff,WAS,Huff REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,2,11:25,ATL,33.0,WAS,34.0,J. Huff,WAS,Huff 19' Pullup Jump Shot (7 PTS) (Jackson 1 AST),Made Shot,Pullup Jump shot,-161,97,19,1,2.0,2.0,v
S2223-G1191,2,10:58,ATL,33.0,WAS,37.0,J. Huff,WAS,Huff 24' 3PT Jump Shot (10 PTS) (Davis 3 AST),Made Shot,Jump Shot,-7,244,24,1,3.0,3.0,v
S2223-G1191,2,09:04,ATL,,WAS,,J. Huff,WAS,Huff S.FOUL (P1.T1) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
S2223-G1191,2,06:45,ATL,,WAS,,J. Huff,WAS,Huff BLOCK (2 BLK),,,0,0,0,0,,,v
S2223-G1191,2,04:25,ATL,,WAS,,J. Huff,WAS,SUB: Goodwin FOR Huff,Substitution,,0,0,0,0,,,v
S2223-G1191,3,05:56,ATL,,WAS,,J. Huff,WAS,Huff BLOCK (3 BLK),,,0,0,0,0,,,v
S2223-G1191,3,04:36,ATL,89.0,WAS,79.0,J. Huff,WAS,Huff Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1191,3,04:36,ATL,89.0,WAS,80.0,J. Huff,WAS,Huff Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1191,3,04:11,ATL,,WAS,,J. Huff,WAS,Huff Bad Pass Turnover (P1.T10),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G1191,3,03:08,ATL,,WAS,,J. Huff,WAS,MISS Huff 3PT Jump Shot,Missed Shot,Jump Shot,230,-11,0,1,3.0,0.0,v
S2223-G1191,4,11:49,ATL,,WAS,,J. Huff,WAS,Huff P.FOUL (P2.T1) (C.Blair),Foul,Personal,0,0,0,0,,,v
S2223-G1191,4,11:26,ATL,,WAS,,J. Huff,WAS,Huff S.FOUL (P3.T2) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
S2223-G1191,4,11:07,ATL,107.0,WAS,92.0,J. Huff,WAS,Huff 1' Reverse Layup (14 PTS) (Nunn 3 AST),Made Shot,Reverse Layup Shot,-9,1,1,1,2.0,2.0,v
S2223-G1191,4,06:08,ATL,,WAS,,J. Huff,WAS,Huff STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1191,4,05:31,ATL,,WAS,,J. Huff,WAS,Huff S.FOUL (P4.PN) (B.Barnaky),Foul,Shooting,0,0,0,0,,,v
S2223-G1191,4,05:06,ATL,,WAS,,J. Huff,WAS,Huff REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,4,03:23,ATL,,WAS,,J. Huff,WAS,SUB: Todd FOR Huff,Substitution,,0,0,0,0,,,v
S2223-G1179,1,04:48,WAS,,MIL,,J. Huff,WAS,Huff STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1179,1,04:13,WAS,,MIL,,J. Huff,WAS,MISS Huff Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2223-G1179,1,03:16,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,1,02:52,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,1,02:37,WAS,,MIL,,J. Huff,WAS,MISS Huff 4' Driving Hook Shot,Missed Shot,Driving Hook Shot,-37,11,4,1,2.0,0.0,h
S2223-G1179,1,01:52,WAS,24.0,MIL,24.0,J. Huff,WAS,Huff 3' Reverse Layup (2 PTS) (Jackson 1 AST),Made Shot,Reverse Layup Shot,-29,9,3,1,2.0,2.0,h
S2223-G1179,1,00:24.900000,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,2,11:32,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,2,11:03,WAS,34.0,MIL,34.0,J. Huff,WAS,Huff 27' 3PT Jump Shot (5 PTS) (Nunn 2 AST),Made Shot,Jump Shot,131,241,27,1,3.0,3.0,h
S2223-G1179,2,10:11,WAS,,MIL,,J. Huff,WAS,Huff S.FOUL (P1.T2) (T.Ford),Foul,Shooting,0,0,0,0,,,h
S2223-G1179,2,10:01,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,2,09:32,WAS,41.0,MIL,42.0,J. Huff,WAS,Huff 1' Layup (7 PTS) (Nunn 3 AST),Made Shot,Layup Shot,-11,4,1,1,2.0,2.0,h
S2223-G1179,2,09:11,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,2,08:37,WAS,42.0,MIL,45.0,J. Huff,WAS,Huff Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G1179,2,08:37,WAS,43.0,MIL,45.0,J. Huff,WAS,Huff Free Throw 2 of 2 (9 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G1179,2,07:08,WAS,,MIL,,J. Huff,WAS,SUB: Gafford FOR Huff,Substitution,,0,0,0,0,,,h
S2223-G1179,2,00:14.500000,WAS,,MIL,,J. Huff,WAS,Huff S.FOUL (P2.PN) (T.Ford),Foul,Shooting,0,0,0,0,,,h
S2223-G1179,3,02:28,WAS,86.0,MIL,106.0,J. Huff,WAS,Huff 26' 3PT Jump Shot (12 PTS) (Cooks 1 AST),Made Shot,Jump Shot,121,233,26,1,3.0,3.0,h
S2223-G1179,3,01:40,WAS,,MIL,,J. Huff,WAS,Huff S.FOUL (P3.T3) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2223-G1179,3,01:05,WAS,91.0,MIL,111.0,J. Huff,WAS,Huff 28' 3PT Jump Shot (15 PTS) (Davis 3 AST),Made Shot,Jump Shot,1,277,28,1,3.0,3.0,h
S2223-G1179,3,00:02.100000,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,4,11:21,WAS,,MIL,,J. Huff,WAS,Huff S.FOUL (P4.T1) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2223-G1179,4,11:18,WAS,,MIL,,J. Huff,WAS,Huff REBOUND (Off:1 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2223-G1179,4,08:49,WAS,,MIL,,J. Huff,WAS,MISS Huff 27' 3PT Jump Shot,Missed Shot,Jump Shot,92,259,27,1,3.0,0.0,h
