game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0889,1,02:06,PHI,,MEM,,J. Konchar,MEM,Konchar S.FOUL (P1.PN) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2223-G0889,1,01:34,PHI,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0889,1,00:08.300000,PHI,,MEM,,J. Konchar,MEM,Konchar S.FOUL (P2.PN) (B.Forte),Foul,Shooting,0,0,0,0,,,v
S2223-G0889,2,11:15,PHI,24.0,MEM,39.0,J. Konchar,MEM,Konchar 3' Cutting Layup Shot (2 PTS) (Jones 2 AST),Made Shot,Cutting Layup Shot,-25,10,3,1,2.0,2.0,v
S2223-G0889,2,10:22,PHI,,MEM,,J. Konchar,MEM,Konchar S.FOUL (P3.T1) (E.Lewis),Foul,Shooting,0,0,0,0,,,v
S2223-G0889,2,09:20,PHI,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0889,2,09:20,PHI,29.0,MEM,44.0,J. Konchar,MEM,Konchar Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0889,2,09:20,PHI,,MEM,,J. Konchar,MEM,MISS Konchar Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2223-G0889,2,08:58,PHI,,MEM,,J. Konchar,MEM,Konchar REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0889,2,08:58,PHI,29.0,MEM,45.0,J. Konchar,MEM,Konchar Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0889,2,08:58,PHI,29.0,MEM,46.0,J. Konchar,MEM,Konchar Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
