game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0962,1,06:39,DAL,,PHX,,J. Okogie,PHX,Okogie S.FOUL (P1.T2) (D.Taylor),Foul,Shooting,0,0,0,0,,,v
S2223-G0962,1,05:05,DAL,14.0,PHX,21.0,J. Okogie,PHX,Okogie 2' Driving Reverse Layup (2 PTS) (Paul 4 AST),Made Shot,Driving Reverse Layup Shot,-7,15,2,1,2.0,2.0,v
S2223-G0962,1,04:01,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,230,5,0,1,3.0,0.0,v
S2223-G0962,1,03:36,DAL,,PHX,,J. Okogie,PHX,Okogie Step Out of Bounds Turnover (P1.T2),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2223-G0962,1,02:27,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-233,21,0,1,3.0,0.0,v
S2223-G0962,1,01:30,DAL,,PHX,,J. Okogie,PHX,SUB: Craig FOR Okogie,Substitution,,0,0,0,0,,,v
S2223-G0962,2,07:09,DAL,47.0,PHX,46.0,J. Okogie,PHX,Okogie 16' Jump Shot (4 PTS) (Paul 5 AST),Made Shot,Jump Shot,-161,13,16,1,2.0,2.0,v
S2223-G0962,2,06:31,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 7' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,50,53,7,1,2.0,0.0,v
S2223-G0962,2,06:20,DAL,,PHX,,J. Okogie,PHX,Okogie STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0962,2,06:17,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 2' Running Dunk,Missed Shot,Running Dunk Shot,-1,21,2,1,2.0,0.0,v
S2223-G0962,2,06:12,DAL,47.0,PHX,47.0,J. Okogie,PHX,Okogie Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0962,2,06:12,DAL,47.0,PHX,48.0,J. Okogie,PHX,Okogie Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0962,2,05:56,DAL,,PHX,,J. Okogie,PHX,Okogie STEAL (2 STL),,,0,0,0,0,,,v
S2223-G0962,2,05:15,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-227,27,0,1,3.0,0.0,v
S2223-G0962,2,03:45,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-232,23,0,1,3.0,0.0,v
S2223-G0962,2,01:07,DAL,,PHX,,J. Okogie,PHX,MISS Okogie Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0962,2,01:07,DAL,60.0,PHX,59.0,J. Okogie,PHX,Okogie Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0962,2,00:33.600000,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-232,36,0,1,3.0,0.0,v
S2223-G0962,2,00:31.600000,DAL,,PHX,,J. Okogie,PHX,SUB: D. Lee FOR Okogie,Substitution,,0,0,0,0,,,v
S2223-G0962,3,10:21,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-228,24,0,1,3.0,0.0,v
S2223-G0962,3,09:37,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,5,24,1,3.0,0.0,v
S2223-G0962,3,09:07,DAL,,PHX,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0962,3,09:07,DAL,69.0,PHX,66.0,J. Okogie,PHX,Okogie Putback Dunk (9 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,v
S2223-G0962,3,08:41,DAL,,PHX,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-232,6,0,1,3.0,0.0,v
S2223-G0962,3,08:25,DAL,,PHX,,J. Okogie,PHX,Okogie S.FOUL (P2.T3) (E.Lewis),Foul,Shooting,0,0,0,0,,,v
S2223-G0962,3,07:47,DAL,,PHX,,J. Okogie,PHX,SUB: Ross FOR Okogie,Substitution,,0,0,0,0,,,v
S2223-G0718,1,01:08,PHX,,CHA,,J. Okogie,PHX,Okogie BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0718,2,10:36,PHX,,CHA,,J. Okogie,PHX,Okogie REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0718,2,08:58,PHX,,CHA,,J. Okogie,PHX,Okogie P.FOUL (P1.T2) (D.Guthrie),Foul,Personal,0,0,0,0,,,h
S2223-G0718,2,08:23,PHX,47.0,CHA,18.0,J. Okogie,PHX,Okogie 3PT Jump Shot (3 PTS) (S. Lee 5 AST),Made Shot,Jump Shot,227,10,0,1,3.0,3.0,h
S2223-G0718,2,08:09,PHX,,CHA,,J. Okogie,PHX,MISS Okogie 3PT Jump Shot,Missed Shot,Jump Shot,-223,-10,0,1,3.0,0.0,h
S2223-G0718,2,04:51,PHX,,CHA,,J. Okogie,PHX,SUB: Craig FOR Okogie,Substitution,,0,0,0,0,,,h
S2223-G0718,4,10:00,PHX,,CHA,,J. Okogie,PHX,Okogie Bad Pass Turnover (P1.T15),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0718,4,08:35,PHX,,CHA,,J. Okogie,PHX,Okogie REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0718,4,07:28,PHX,,CHA,,J. Okogie,PHX,MISS Okogie 28' 3PT Jump Shot,Missed Shot,Jump Shot,203,196,28,1,3.0,0.0,h
S2223-G0718,4,07:24,PHX,,CHA,,J. Okogie,PHX,MISS Okogie Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0718,4,07:24,PHX,109.0,CHA,83.0,J. Okogie,PHX,Okogie Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0718,4,06:49,PHX,,CHA,,J. Okogie,PHX,MISS Okogie 2' Running Layup,Missed Shot,Running Layup Shot,-13,10,2,1,2.0,0.0,h
S2223-G0718,4,06:37,PHX,,CHA,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0718,4,06:37,PHX,,CHA,,J. Okogie,PHX,MISS Okogie Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0718,4,04:45,PHX,112.0,CHA,87.0,J. Okogie,PHX,Okogie Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0718,4,04:45,PHX,113.0,CHA,87.0,J. Okogie,PHX,Okogie Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0718,4,04:09,PHX,,CHA,,J. Okogie,PHX,Okogie REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
