game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0077,1,11:18,SAS,,CHI,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0077,1,09:39,SAS,,CHI,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0077,1,08:31,SAS,17.0,CHI,5.0,J. Sochan,SAS,Sochan 3PT Jump Shot (3 PTS) (Jones 4 AST),Made Shot,Jump Shot,-233,-1,0,1,3.0,3.0,h
S2223-G0077,1,06:41,SAS,,CHI,,J. Sochan,SAS,Sochan S.FOUL (P1.T1) (R.Hussey),Foul,Shooting,0,0,0,0,,,h
S2223-G0077,1,06:41,SAS,,CHI,,J. Sochan,SAS,SUB: Wesley FOR Sochan,Substitution,,0,0,0,0,,,h
S2223-G0077,2,10:44,SAS,38.0,CHI,33.0,J. Sochan,SAS,Sochan 1' Cutting Dunk Shot (5 PTS) (Collins 2 AST),Made Shot,Cutting Dunk Shot,-5,4,1,1,2.0,2.0,h
S2223-G0077,2,09:46,SAS,,CHI,,J. Sochan,SAS,Sochan Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0077,2,07:31,SAS,,CHI,,J. Sochan,SAS,SUB: Johnson FOR Sochan,Substitution,,0,0,0,0,,,h
S2223-G0077,2,04:23,SAS,,CHI,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0077,2,03:44,SAS,,CHI,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0077,2,03:25,SAS,,CHI,,J. Sochan,SAS,Sochan BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0077,2,03:17,SAS,,CHI,,J. Sochan,SAS,MISS Sochan 25' 3PT Jump Shot,Missed Shot,Jump Shot,-218,132,25,1,3.0,0.0,h
S2223-G0077,2,03:02,SAS,,CHI,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G0077,2,02:45,SAS,57.0,CHI,56.0,J. Sochan,SAS,Sochan 24' 3PT Jump Shot (8 PTS) (Bates-Diop 1 AST),Made Shot,Jump Shot,-235,17,24,1,3.0,3.0,h
S2223-G0077,3,10:52,SAS,,CHI,,J. Sochan,SAS,MISS Sochan 28' 3PT Jump Shot,Missed Shot,Jump Shot,87,269,28,1,3.0,0.0,h
S2223-G0077,3,10:30,SAS,64.0,CHI,62.0,J. Sochan,SAS,Sochan 3' Alley Oop Dunk (10 PTS) (Richardson 1 AST),Made Shot,Alley Oop Dunk Shot,-7,26,3,1,2.0,2.0,h
S2223-G0077,3,10:05,SAS,,CHI,,J. Sochan,SAS,MISS Sochan Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0077,3,10:05,SAS,65.0,CHI,62.0,J. Sochan,SAS,Sochan Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0077,3,09:05,SAS,,CHI,,J. Sochan,SAS,Sochan Out of Bounds - Bad Pass Turnover Turnover (P2.T12),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0077,3,07:34,SAS,,CHI,,J. Sochan,SAS,Sochan Lost Ball Turnover (P3.T13),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0077,3,07:07,SAS,,CHI,,J. Sochan,SAS,SUB: Bates-Diop FOR Sochan,Substitution,,0,0,0,0,,,h
S2223-G0077,3,00:31.500000,SAS,,CHI,,J. Sochan,SAS,MISS Sochan 5' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-39,26,5,1,2.0,0.0,h
S2223-G0077,3,00:00.900000,SAS,,CHI,,J. Sochan,SAS,Sochan STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0077,4,11:23,SAS,98.0,CHI,95.0,J. Sochan,SAS,Sochan 2' Cutting Dunk Shot (13 PTS) (Collins 3 AST),Made Shot,Cutting Dunk Shot,-5,21,2,1,2.0,2.0,h
S2223-G0077,4,10:11,SAS,,CHI,,J. Sochan,SAS,Sochan S.FOUL (P2.T3) (R.Hussey),Foul,Shooting,0,0,0,0,,,h
S2223-G0077,4,07:48,SAS,,CHI,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2223-G0077,4,06:54,SAS,,CHI,,J. Sochan,SAS,SUB: McDermott FOR Sochan,Substitution,,0,0,0,0,,,h
S2223-G0077,4,02:47,SAS,,CHI,,J. Sochan,SAS,SUB: McDermott FOR Sochan,Substitution,,0,0,0,0,,,h
S2223-G0077,4,00:17.800000,SAS,,CHI,,J. Sochan,SAS,Sochan S.FOUL (P3.PN) (P.Fraher),Foul,Shooting,0,0,0,0,,,h
S2223-G0077,4,00:17.800000,SAS,,CHI,,J. Sochan,SAS,SUB: Collins FOR Sochan,Substitution,,0,0,0,0,,,h
S2223-G0775,1,10:24,SAS,,SAC,,J. Sochan,SAS,Sochan REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0775,1,09:51,SAS,,SAC,,J. Sochan,SAS,MISS Sochan 3' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,13,23,3,1,2.0,0.0,h
