game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0827,1,03:21,HOU,,SAC,,J. Tate,HOU,Tate REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0827,1,03:11,HOU,27.0,SAC,25.0,J. Tate,HOU,Tate 4' Cutting Layup Shot (2 PTS) (Sengun 5 AST),Made Shot,Cutting Layup Shot,-27,25,4,1,2.0,2.0,h
S2223-G0827,1,02:34,HOU,,SAC,,J. Tate,HOU,MISS Tate 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-28,76,8,1,2.0,0.0,h
S2223-G0827,1,02:32,HOU,,SAC,,J. Tate,HOU,Tate REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0827,1,01:28,HOU,,SAC,,J. Tate,HOU,Tate REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0827,1,01:24,HOU,36.0,SAC,28.0,J. Tate,HOU,Tate 4' Running Layup (4 PTS),Made Shot,Running Layup Shot,-43,13,4,1,2.0,2.0,h
S2223-G0827,1,01:24,HOU,37.0,SAC,28.0,J. Tate,HOU,Tate Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0827,2,11:43,HOU,,SAC,,J. Tate,HOU,MISS Tate 3' Reverse Layup,Missed Shot,Reverse Layup Shot,-27,17,3,1,2.0,0.0,h
S2223-G0827,2,11:36,HOU,,SAC,,J. Tate,HOU,Tate P.FOUL (P1.T1) (G.Petraitis),Foul,Personal,0,0,0,0,,,h
S2223-G0827,2,10:59,HOU,,SAC,,J. Tate,HOU,Tate REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0827,2,10:23,HOU,,SAC,,J. Tate,HOU,MISS Tate 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-28,69,7,1,2.0,0.0,h
S2223-G0827,2,10:22,HOU,,SAC,,J. Tate,HOU,Tate REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0827,2,10:22,HOU,,SAC,,J. Tate,HOU,MISS Tate Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0827,2,10:22,HOU,,SAC,,J. Tate,HOU,Tate REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0827,2,10:21,HOU,39.0,SAC,34.0,J. Tate,HOU,Tate Tip Layup Shot (7 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2223-G0827,2,10:16,HOU,,SAC,,J. Tate,HOU,Tate T.FOUL (P1.T1) (R.Acosta),Foul,Technical,0,0,0,0,,,h
