game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0574,1,09:49,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson OFF.Foul (P1) (L.Wood),Foul,Offensive,0,0,0,0,,,h
S2223-G0574,1,09:49,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson Offensive Foul Turnover (P1.T1),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0574,1,06:54,LAL,,MIA,,J. Toscano-Anderson,LAL,SUB: Westbrook FOR Toscano-Anderson,Substitution,,0,0,0,0,,,h
S2223-G0574,2,06:15,LAL,,MIA,,J. Toscano-Anderson,LAL,MISS Toscano-Anderson 3PT Jump Shot,Missed Shot,Jump Shot,232,37,0,1,3.0,0.0,h
S2223-G0574,2,03:45,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0574,2,03:44,LAL,,MIA,,J. Toscano-Anderson,LAL,SUB: Brown Jr. FOR Toscano-Anderson,Substitution,,0,0,0,0,,,h
S2223-G0574,3,10:34,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0574,3,09:33,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0574,3,05:30,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0574,3,04:54,LAL,,MIA,,J. Toscano-Anderson,LAL,SUB: Christie FOR Toscano-Anderson,Substitution,,0,0,0,0,,,h
S2223-G0574,4,09:33,LAL,81.0,MIA,83.0,J. Toscano-Anderson,LAL,Toscano-Anderson 3' Reverse Layup (2 PTS) (Schroder 2 AST),Made Shot,Reverse Layup Shot,-20,20,3,1,2.0,2.0,h
S2223-G0574,4,09:17,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson S.FOUL (P2.T1) (J.Van Duyne),Foul,Shooting,0,0,0,0,,,h
S2223-G0574,4,09:04,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0574,4,06:16,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson Traveling Turnover (P2.T17),Turnover,Traveling,0,0,0,0,,,h
S2223-G0574,4,05:57,LAL,,MIA,,J. Toscano-Anderson,LAL,Toscano-Anderson S.FOUL (P3.T3) (Z.Zarba),Foul,Shooting,0,0,0,0,,,h
S2223-G0574,4,05:57,LAL,,MIA,,J. Toscano-Anderson,LAL,SUB: Westbrook FOR Toscano-Anderson,Substitution,,0,0,0,0,,,h
S2223-G0574,4,00:15.400000,LAL,,MIA,,J. Toscano-Anderson,LAL,SUB: Bryant FOR Toscano-Anderson,Substitution,,0,0,0,0,,,h
S2223-G0630,1,09:21,LAL,,DAL,,J. Toscano-Anderson,LAL,Toscano-Anderson S.FOUL (P1.T1) (J.Tiven),Foul,Shooting,0,0,0,0,,,h
S2223-G0630,1,09:02,LAL,,DAL,,J. Toscano-Anderson,LAL,Toscano-Anderson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0630,1,06:49,LAL,,DAL,,J. Toscano-Anderson,LAL,MISS Toscano-Anderson 25' 3PT Jump Shot,Missed Shot,Jump Shot,233,88,25,1,3.0,0.0,h
S2223-G0630,1,06:39,LAL,,DAL,,J. Toscano-Anderson,LAL,SUB: Westbrook FOR Toscano-Anderson,Substitution,,0,0,0,0,,,h
S2223-G0630,2,05:01,LAL,,DAL,,J. Toscano-Anderson,LAL,MISS Toscano-Anderson 4' Floating Jump Shot,Missed Shot,Floating Jump shot,1,41,4,1,2.0,0.0,h
S2223-G0630,2,03:47,LAL,44.0,DAL,48.0,J. Toscano-Anderson,LAL,Toscano-Anderson 4' Reverse Layup (2 PTS) (Westbrook 2 AST),Made Shot,Reverse Layup Shot,-16,35,4,1,2.0,2.0,h
S2223-G0630,2,03:36,LAL,,DAL,,J. Toscano-Anderson,LAL,Toscano-Anderson P.FOUL (P2.T2) (J.Tiven),Foul,Personal,0,0,0,0,,,h
S2223-G0630,2,02:45,LAL,,DAL,,J. Toscano-Anderson,LAL,SUB: James FOR Toscano-Anderson,Substitution,,0,0,0,0,,,h
S2223-G0630,2,00:40.100000,LAL,,DAL,,J. Toscano-Anderson,LAL,Toscano-Anderson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0630,3,09:20,LAL,,DAL,,J. Toscano-Anderson,LAL,MISS Toscano-Anderson 4' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-10,34,4,1,2.0,0.0,h
S2223-G0630,3,07:41,LAL,56.0,DAL,68.0,J. Toscano-Anderson,LAL,Toscano-Anderson Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0630,3,07:41,LAL,57.0,DAL,68.0,J. Toscano-Anderson,LAL,Toscano-Anderson Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0630,3,07:02,LAL,,DAL,,J. Toscano-Anderson,LAL,MISS Toscano-Anderson 4' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-11,37,4,1,2.0,0.0,h
S2223-G0630,3,04:57,LAL,,DAL,,J. Toscano-Anderson,LAL,Toscano-Anderson BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0630,3,04:54,LAL,,DAL,,J. Toscano-Anderson,LAL,Toscano-Anderson REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
