game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0667,4,00:48.400000,DEN,,POR,,J. White,DEN,White Traveling Turnover (P1.T11),Turnover,Traveling,0,0,0,0,,,h
S2223-G0344,4,00:30.700000,NOP,,DEN,,J. White,DEN,White REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0344,4,00:16.200000,NOP,121.0,DEN,106.0,J. White,DEN,White 4' Driving Layup (2 PTS) (Nnaji 1 AST),Made Shot,Driving Layup Shot,-6,36,4,1,2.0,2.0,v
S2223-G0305,4,00:43.700000,DEN,,HOU,,J. White,DEN,White S.FOUL (P1.PN) (M.Dagher),Foul,Shooting,0,0,0,0,,,h
S2223-G0305,4,00:27.500000,DEN,,HOU,,J. White,DEN,MISS White 3' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,25,5,3,1,2.0,0.0,h
S2223-G0847,4,00:46.700000,CHA,,DEN,,J. White,DEN,MISS White 25' 3PT Jump Shot,Missed Shot,Jump Shot,189,168,25,1,3.0,0.0,v
S2223-G0285,4,01:33,LAC,,DEN,,J. White,DEN,MISS White 3PT Jump Shot,Missed Shot,Jump Shot,230,41,0,1,3.0,0.0,v
S2223-G0285,4,01:05,LAC,,DEN,,J. White,DEN,MISS White 24' 3PT Jump Shot,Missed Shot,Jump Shot,235,11,24,1,3.0,0.0,v
S2223-G0285,4,00:18.100000,LAC,,DEN,,J. White,DEN,White S.FOUL (P1.PN) (G.Petraitis),Foul,Shooting,0,0,0,0,,,v
S2223-G0230,4,01:25,DAL,,DEN,,J. White,DEN,MISS White 4' Driving Layup,Missed Shot,Driving Layup Shot,-4,37,4,1,2.0,0.0,v
S2223-G0230,4,01:22,DAL,,DEN,,J. White,DEN,White REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0230,4,01:21,DAL,,DEN,,J. White,DEN,MISS White 1' Layup,Missed Shot,Layup Shot,-13,4,1,1,2.0,0.0,v
S2223-G0230,4,00:18.300000,DAL,,DEN,,J. White,DEN,White REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0820,4,02:53,DEN,139.0,,103.0,J. White,DEN,White 5' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,34,30,5,1,2.0,2.0,h
S2223-G0820,4,02:53,DEN,140.0,,103.0,J. White,DEN,White Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
