game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1036,4,04:44,MIA,,MEM,,K. Chandler,MEM,MISS Chandler Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G1036,4,04:44,MIA,126.0,MEM,101.0,K. Chandler,MEM,Chandler Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1036,4,01:19,MIA,135.0,MEM,115.0,K. Chandler,MEM,Chandler 9' Driving Floating Jump Shot (3 PTS),Made Shot,Driving Floating Jump Shot,-50,73,9,1,2.0,2.0,v
S2223-G1036,4,00:08.400000,MIA,138.0,MEM,119.0,K. Chandler,MEM,Chandler 2' Running Finger Roll Layup (5 PTS) (Konchar 4 AST),Made Shot,Running Finger Roll Layup Shot,11,13,2,1,2.0,2.0,v
S2223-G1061,4,01:54,MEM,,GSW,,K. Chandler,MEM,MISS Chandler 3' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,21,22,3,1,2.0,0.0,h
S2223-G0125,4,09:53,MEM,,CHA,,K. Chandler,MEM,MISS Chandler 3' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,22,13,3,1,2.0,0.0,h
S2223-G0125,4,08:19,MEM,,CHA,,K. Chandler,MEM,Chandler STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0125,4,07:28,MEM,,CHA,,K. Chandler,MEM,Chandler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0125,4,06:23,MEM,,CHA,,K. Chandler,MEM,Chandler STEAL (2 STL),,,0,0,0,0,,,h
S2223-G0125,4,06:18,MEM,121.0,CHA,80.0,K. Chandler,MEM,Chandler 2' Running Dunk (2 PTS) (Williams Jr. 1 AST),Made Shot,Running Dunk Shot,-1,23,2,1,2.0,2.0,h
S2223-G0125,4,06:02,MEM,,CHA,,K. Chandler,MEM,Chandler REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0125,4,05:15,MEM,,CHA,,K. Chandler,MEM,MISS Chandler 27' 3PT Jump Shot,Missed Shot,Jump Shot,83,258,27,1,3.0,0.0,h
