game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1164,1,02:34,BKN,,UTA,,K. Dunn,UTA,MISS Dunn 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-13,107,11,1,2.0,0.0,v
S2223-G1164,2,11:48,BKN,,UTA,,K. Dunn,UTA,Dunn Traveling Turnover (P1.T5),Turnover,Traveling,0,0,0,0,,,v
S2223-G1164,2,10:48,BKN,34.0,UTA,21.0,K. Dunn,UTA,Dunn 11' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,32,102,11,1,2.0,2.0,v
S2223-G1164,2,10:14,BKN,,UTA,,K. Dunn,UTA,Dunn FLAGRANT.FOUL.TYPE1 (P1.T2) (J.DeRosa),Foul,Flagrant Type 1,0,0,0,0,,,v
S2223-G1164,2,10:08,BKN,,UTA,,K. Dunn,UTA,Dunn STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1164,2,10:04,BKN,35.0,UTA,23.0,K. Dunn,UTA,Dunn 1' Running Layup (4 PTS),Made Shot,Running Layup Shot,-6,0,1,1,2.0,2.0,v
S2223-G1164,2,08:56,BKN,,UTA,,K. Dunn,UTA,SUB: Horton-Tucker FOR Dunn,Substitution,,0,0,0,0,,,v
S2223-G1164,3,04:09,BKN,76.0,UTA,59.0,K. Dunn,UTA,Dunn 3' Driving Layup (6 PTS) (Agbaji 1 AST),Made Shot,Driving Layup Shot,13,31,3,1,2.0,2.0,v
S2223-G1164,3,04:09,BKN,,UTA,,K. Dunn,UTA,MISS Dunn Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2223-G1164,3,03:20,BKN,,UTA,,K. Dunn,UTA,Dunn P.FOUL (P2.PN) (R.Mott),Foul,Personal,0,0,0,0,,,v
S2223-G1164,4,10:06,BKN,,UTA,,K. Dunn,UTA,MISS Dunn 12' Floating Jump Shot,Missed Shot,Floating Jump shot,69,93,12,1,2.0,0.0,v
S2223-G1164,4,09:11,BKN,,UTA,,K. Dunn,UTA,Dunn REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1164,4,09:07,BKN,93.0,UTA,74.0,K. Dunn,UTA,Dunn Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1164,4,09:07,BKN,93.0,UTA,75.0,K. Dunn,UTA,Dunn Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1164,4,08:48,BKN,93.0,UTA,77.0,K. Dunn,UTA,Dunn 1' Driving Reverse Layup (10 PTS),Made Shot,Driving Reverse Layup Shot,-11,3,1,1,2.0,2.0,v
S2223-G1164,4,06:07,BKN,101.0,UTA,84.0,K. Dunn,UTA,Dunn 25' 3PT Jump Shot (13 PTS) (Horton-Tucker 8 AST),Made Shot,Jump Shot,174,177,25,1,3.0,3.0,v
S2223-G1164,4,04:56,BKN,,UTA,,K. Dunn,UTA,Dunn BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G1076,1,04:51,UTA,,SAC,,K. Dunn,UTA,Dunn REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1076,1,03:55,UTA,,SAC,,K. Dunn,UTA,Dunn BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1076,1,03:52,UTA,,SAC,,K. Dunn,UTA,Jump Ball Dunn vs. Davis: Tip to Agbaji,Jump Ball,,0,0,0,0,,,h
S2223-G1076,1,03:01,UTA,,SAC,,K. Dunn,UTA,MISS Dunn 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,26,17,3,1,2.0,0.0,h
S2223-G1076,2,09:39,UTA,,SAC,,K. Dunn,UTA,Dunn P.FOUL (P1.T2) (J.Van Duyne),Foul,Personal,0,0,0,0,,,h
S2223-G1076,2,08:47,UTA,,SAC,,K. Dunn,UTA,MISS Dunn 4' Floating Jump Shot,Missed Shot,Floating Jump shot,39,18,4,1,2.0,0.0,h
S2223-G1076,2,07:22,UTA,50.0,SAC,30.0,K. Dunn,UTA,Dunn 27' 3PT Jump Shot (3 PTS) (Olynyk 4 AST),Made Shot,Jump Shot,-134,231,27,1,3.0,3.0,h
S2223-G1076,2,06:37,UTA,52.0,SAC,32.0,K. Dunn,UTA,Dunn 3' Driving Dunk (5 PTS) (Kessler 1 AST),Made Shot,Driving Dunk Shot,9,26,3,1,2.0,2.0,h
S2223-G1076,2,05:03,UTA,56.0,SAC,35.0,K. Dunn,UTA,Dunn 7' Floating Jump Shot (7 PTS) (Olynyk 5 AST),Made Shot,Floating Jump shot,-12,64,7,1,2.0,2.0,h
