game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0718,4,02:45,PHX,,CHA,,K. Jones,CHA,Jones REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0718,4,02:45,PHX,118.0,CHA,91.0,K. Jones,CHA,Jones Tip Dunk Shot (2 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,v
S2223-G0718,4,02:45,PHX,,CHA,,K. Jones,CHA,MISS Jones Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2223-G1148,3,05:17,CHA,,CHI,,K. Jones,CHA,Jones S.FOUL (P1.T3) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2223-G1148,3,05:14,CHA,,CHI,,K. Jones,CHA,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1148,4,11:45,CHA,,CHI,,K. Jones,CHA,Jones BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1148,4,11:26,CHA,,CHI,,K. Jones,CHA,MISS Jones 18' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-59,165,18,1,2.0,0.0,h
S2223-G1148,4,10:09,CHA,,CHI,,K. Jones,CHA,Jones STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1148,4,08:49,CHA,,CHI,,K. Jones,CHA,Jones REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1148,4,08:49,CHA,81.0,CHI,96.0,K. Jones,CHA,Jones Tip Dunk Shot (2 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,h
S2223-G1148,4,08:49,CHA,82.0,CHI,96.0,K. Jones,CHA,Jones Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G1148,4,00:08.700000,CHA,,CHI,,K. Jones,CHA,Jones Offensive Goaltending Turnover (P1.T22),Turnover,Offensive Goaltending,0,0,0,0,,,h
S2223-G0260,2,06:29,CHA,,PHI,,K. Jones,CHA,Jones REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0260,2,06:29,CHA,36.0,PHI,41.0,K. Jones,CHA,Jones Tip Dunk Shot (2 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,h
S2223-G0260,2,06:08,CHA,,PHI,,K. Jones,CHA,Jones S.FOUL (P1.T3) (P.Ransom),Foul,Shooting,0,0,0,0,,,h
S2223-G0260,2,04:30,CHA,,PHI,,K. Jones,CHA,Jones S.FOUL (P2.T4) (A.Smith),Foul,Shooting,0,0,0,0,,,h
S2223-G0260,2,03:56,CHA,,PHI,,K. Jones,CHA,Jones Out of Bounds - Bad Pass Turnover Turnover (P1.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0260,2,03:23,CHA,,PHI,,K. Jones,CHA,SUB: Washington FOR Jones,Substitution,,0,0,0,0,,,h
S2223-G0260,4,07:41,CHA,83.0,PHI,82.0,K. Jones,CHA,Jones 13' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,-27,126,13,1,2.0,2.0,h
S2223-G0260,4,04:46,CHA,,PHI,,K. Jones,CHA,SUB: Washington FOR Jones,Substitution,,0,0,0,0,,,h
S2223-G0364,1,00:18.100000,BKN,36.0,CHA,28.0,K. Jones,CHA,Jones 25' 3PT Jump Shot (3 PTS) (Rozier 3 AST),Made Shot,Jump Shot,148,205,25,1,3.0,3.0,v
S2223-G0364,2,10:22,BKN,,CHA,,K. Jones,CHA,Jones REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0364,2,10:22,BKN,,CHA,,K. Jones,CHA,MISS Jones Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2223-G0364,2,10:22,BKN,,CHA,,K. Jones,CHA,Jones REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0364,2,10:16,BKN,,CHA,,K. Jones,CHA,MISS Jones 2' Putback Layup,Missed Shot,Putback Layup Shot,20,-1,2,1,2.0,0.0,v
S2223-G0364,2,08:30,BKN,,CHA,,K. Jones,CHA,Jones OFF.Foul (P1) (G.Petraitis),Foul,Offensive,0,0,0,0,,,v
S2223-G0364,2,08:30,BKN,,CHA,,K. Jones,CHA,Jones Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0364,2,07:58,BKN,54.0,CHA,35.0,K. Jones,CHA,Jones 2' Driving Dunk (5 PTS) (McGowens 1 AST),Made Shot,Driving Dunk Shot,20,8,2,1,2.0,2.0,v
S2223-G0364,2,07:42,BKN,,CHA,,K. Jones,CHA,Jones REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0364,2,07:39,BKN,,CHA,,K. Jones,CHA,SUB: Maledon FOR Jones,Substitution,,0,0,0,0,,,v
S2223-G0364,4,11:51,BKN,,CHA,,K. Jones,CHA,Jones OFF.Foul (P2) (M.Myers),Foul,Offensive,0,0,0,0,,,v
S2223-G0364,4,11:51,BKN,,CHA,,K. Jones,CHA,Jones Offensive Foul Turnover (P2.T7),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0364,4,10:42,BKN,,CHA,,K. Jones,CHA,Jones Violation:Defensive Goaltending (J.Williams),Violation,Defensive Goaltending,0,0,0,0,,,v
S2223-G0364,4,10:00,BKN,,CHA,,K. Jones,CHA,Jones OFF.Foul (P3) (J.Williams),Foul,Offensive,0,0,0,0,,,v
S2223-G0364,4,10:00,BKN,,CHA,,K. Jones,CHA,Jones Offensive Foul Turnover (P3.T9),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0364,4,10:00,BKN,,CHA,,K. Jones,CHA,SUB: Plumlee FOR Jones,Substitution,,0,0,0,0,,,v
S2223-G0919,1,03:45,CHA,,DET,,K. Jones,CHA,Jones BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0919,1,02:48,CHA,,DET,,K. Jones,CHA,Jones REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0919,1,00:53.300000,CHA,,DET,,K. Jones,CHA,Jones STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0919,3,05:19,CHA,,DET,,K. Jones,CHA,Jones REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0919,3,04:35,CHA,86.0,DET,64.0,K. Jones,CHA,Jones 6' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,-18,59,6,1,2.0,2.0,h
