game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0996,4,01:29,MEM,127.0,GSW,106.0,K. Lofton Jr.,MEM,Lofton Jr. 27' 3PT Jump Shot (3 PTS) (Kennard 2 AST),Made Shot,Jump Shot,53,262,27,1,3.0,3.0,h
S2223-G0996,4,01:23,MEM,,GSW,,K. Lofton Jr.,MEM,Lofton Jr. S.FOUL (P1.PN) (B.Barnaky),Foul,Shooting,0,0,0,0,,,h
S2223-G1036,4,08:57,MIA,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. OFF.Foul (P1) (J.Goble),Foul,Offensive,0,0,0,0,,,v
S2223-G1036,4,08:57,MIA,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. Offensive Foul Turnover (P1.T15),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G1036,4,08:03,MIA,,MEM,,K. Lofton Jr.,MEM,MISS Lofton Jr. 2' Driving Layup,Missed Shot,Driving Layup Shot,17,11,2,1,2.0,0.0,v
S2223-G1036,4,06:30,MIA,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. S.FOUL (P2.T2) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2223-G1036,4,05:20,MIA,,MEM,,K. Lofton Jr.,MEM,MISS Lofton Jr. 1' Driving Layup,Missed Shot,Driving Layup Shot,-7,12,1,1,2.0,0.0,v
S2223-G1036,4,05:06,MIA,124.0,MEM,100.0,K. Lofton Jr.,MEM,Lofton Jr. 1' Driving Layup (2 PTS) (Chandler 2 AST),Made Shot,Driving Layup Shot,-10,6,1,1,2.0,2.0,v
S2223-G1036,4,03:29,MIA,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1036,4,02:55,MIA,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1036,4,02:45,MIA,131.0,MEM,110.0,K. Lofton Jr.,MEM,Lofton Jr. 26' 3PT Jump Shot (5 PTS) (Williams 1 AST),Made Shot,Jump Shot,31,262,26,1,3.0,3.0,v
S2223-G1036,4,01:39,MIA,133.0,MEM,113.0,K. Lofton Jr.,MEM,Lofton Jr. 25' 3PT Step Back Jump Shot (8 PTS) (Konchar 3 AST),Made Shot,Step Back Jump shot,102,223,25,1,3.0,3.0,v
S2223-G1036,4,01:07,MIA,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. P.FOUL (P3.PN) (J.Goble),Foul,Personal,0,0,0,0,,,v
S2223-G1036,4,00:50.100000,MIA,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1036,4,00:49.300000,MIA,136.0,MEM,117.0,K. Lofton Jr.,MEM,Lofton Jr. 2' Putback Layup (10 PTS),Made Shot,Putback Layup Shot,13,8,2,1,2.0,2.0,v
S2223-G1061,4,02:19,MEM,,GSW,,K. Lofton Jr.,MEM,MISS Lofton Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,103,234,26,1,3.0,0.0,h
S2223-G1061,4,01:40,MEM,,GSW,,K. Lofton Jr.,MEM,Lofton Jr. REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G1061,4,01:40,MEM,131.0,GSW,113.0,K. Lofton Jr.,MEM,Lofton Jr. 3' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,6,31,3,1,2.0,2.0,h
S2223-G1061,4,01:09,MEM,,GSW,,K. Lofton Jr.,MEM,MISS Lofton Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,158,204,26,1,3.0,0.0,h
S2223-G1061,4,00:17.100000,MEM,,GSW,,K. Lofton Jr.,MEM,Lofton Jr. L.B.FOUL (P1.PN) (G.Petraitis),Foul,Loose Ball,0,0,0,0,,,h
S2223-G1165,4,01:17,CHI,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. Out of Bounds - Bad Pass Turnover Turnover (P1.T17),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2223-G1165,4,00:41,CHI,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1165,4,00:27.500000,CHI,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. OFF.Foul (P1) (M.Kogut),Foul,Offensive,0,0,0,0,,,v
S2223-G1165,4,00:27.500000,CHI,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. Offensive Foul Turnover (P2.T18),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0712,4,04:15,SAC,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. P.FOUL (P1.T3) (K.Scott),Foul,Personal,0,0,0,0,,,v
S2223-G0712,4,03:29,SAC,,MEM,,K. Lofton Jr.,MEM,MISS Lofton Jr. 12' Jump Shot,Missed Shot,Jump Shot,120,5,12,1,2.0,0.0,v
S2223-G0712,4,02:02,SAC,128.0,MEM,99.0,K. Lofton Jr.,MEM,Lofton Jr. Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0712,4,02:02,SAC,128.0,MEM,100.0,K. Lofton Jr.,MEM,Lofton Jr. Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0712,4,01:35,SAC,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. Bad Pass Turnover (P1.T14),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0712,4,01:19,SAC,,MEM,,K. Lofton Jr.,MEM,MISS Lofton Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-44,254,26,1,3.0,0.0,v
S2223-G0952,4,01:36,DEN,,MEM,,K. Lofton Jr.,MEM,MISS Lofton Jr. 15' Jump Shot,Missed Shot,Jump Shot,12,153,15,1,2.0,0.0,v
S2223-G1226,1,11:02,OKC,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. P.FOUL (P1.T1) (S.Wright),Foul,Personal,0,0,0,0,,,v
S2223-G1226,1,09:41,OKC,,MEM,,K. Lofton Jr.,MEM,MISS Lofton Jr. 15' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-137,61,15,1,2.0,0.0,v
S2223-G1226,1,09:10,OKC,,MEM,,K. Lofton Jr.,MEM,MISS Lofton Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,137,206,25,1,3.0,0.0,v
S2223-G1226,1,08:47,OKC,,MEM,,K. Lofton Jr.,MEM,Lofton Jr. P.FOUL (P2.T2) (N.Buchert),Foul,Personal,0,0,0,0,,,v
S2223-G1226,1,08:47,OKC,,MEM,,K. Lofton Jr.,MEM,SUB: Gilyard FOR Lofton Jr.,Substitution,,0,0,0,0,,,v
S2223-G1226,1,01:47,OKC,17.0,MEM,16.0,K. Lofton Jr.,MEM,Lofton Jr. Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
