game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1109,1,07:59,DEN,,MIL,,K. Middleton,MIL,Middleton REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1109,1,07:13,DEN,,MIL,,K. Middleton,MIL,MISS Middleton 3PT Jump Shot,Missed Shot,Jump Shot,-233,29,0,1,3.0,0.0,v
S2223-G1109,1,05:58,DEN,19.0,MIL,19.0,K. Middleton,MIL,Middleton 20' Pullup Jump Shot (2 PTS) (G. Antetokounmpo 1 AST),Made Shot,Pullup Jump shot,-124,154,20,1,2.0,2.0,v
S2223-G1109,1,04:49,DEN,19.0,MIL,23.0,K. Middleton,MIL,Middleton 15' Turnaround Fadeaway (4 PTS),Made Shot,Turnaround Fadeaway shot,-148,29,15,1,2.0,2.0,v
S2223-G1109,1,03:59,DEN,,MIL,,K. Middleton,MIL,Middleton REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1109,1,03:32,DEN,,MIL,,K. Middleton,MIL,SUB: Connaughton FOR Middleton,Substitution,,0,0,0,0,,,v
S2223-G1109,2,11:49,DEN,,MIL,,K. Middleton,MIL,MISS Middleton 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-23,268,27,1,3.0,0.0,v
S2223-G1109,2,09:51,DEN,,MIL,,K. Middleton,MIL,Middleton REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G1109,2,07:47,DEN,,MIL,,K. Middleton,MIL,SUB: Holiday FOR Middleton,Substitution,,0,0,0,0,,,v
S2223-G1109,2,06:29,DEN,,MIL,,K. Middleton,MIL,Middleton REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G1109,2,05:46,DEN,,MIL,,K. Middleton,MIL,MISS Middleton 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,102,127,16,1,2.0,0.0,v
S2223-G1109,2,05:41,DEN,,MIL,,K. Middleton,MIL,Middleton STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1109,2,05:33,DEN,44.0,MIL,50.0,K. Middleton,MIL,Middleton 2' Driving Layup (6 PTS),Made Shot,Driving Layup Shot,21,7,2,1,2.0,2.0,v
S2223-G1109,2,05:14,DEN,,MIL,,K. Middleton,MIL,SUB: Connaughton FOR Middleton,Substitution,,0,0,0,0,,,v
S2223-G1109,2,00:00.500000,DEN,,MIL,,K. Middleton,MIL,MISS Middleton 28' 3PT Jump Shot,Missed Shot,Jump Shot,-103,260,28,1,3.0,0.0,v
S2223-G1109,3,09:19,DEN,,MIL,,K. Middleton,MIL,Middleton STEAL (2 STL),,,0,0,0,0,,,v
S2223-G1109,3,07:50,DEN,,MIL,,K. Middleton,MIL,MISS Middleton 25' 3PT Jump Shot,Missed Shot,Jump Shot,127,214,25,1,3.0,0.0,v
