game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0523,1,04:27,CHA,,OKC,,K. Oubre Jr.,CHA,MISS Oubre Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,-212,137,25,1,3.0,0.0,h
S2223-G0523,1,03:08,CHA,27.0,OKC,22.0,K. Oubre Jr.,CHA,Oubre Jr. 5' Driving Floating Jump Shot (2 PTS) (Rozier 3 AST),Made Shot,Driving Floating Jump Shot,17,47,5,1,2.0,2.0,h
S2223-G0523,1,01:51,CHA,29.0,OKC,24.0,K. Oubre Jr.,CHA,Oubre Jr. 6' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,20,60,6,1,2.0,2.0,h
S2223-G0523,2,09:54,CHA,,OKC,,K. Oubre Jr.,CHA,MISS Oubre Jr. 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,26,173,17,1,2.0,0.0,h
S2223-G0523,2,09:22,CHA,,OKC,,K. Oubre Jr.,CHA,MISS Oubre Jr. 5' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-1,54,5,1,2.0,0.0,h
S2223-G0523,2,09:05,CHA,,OKC,,K. Oubre Jr.,CHA,MISS Oubre Jr. 5' Floating Jump Shot,Missed Shot,Floating Jump shot,4,52,5,1,2.0,0.0,h
S2223-G0523,2,07:08,CHA,,OKC,,K. Oubre Jr.,CHA,MISS Oubre Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,-124,239,27,1,3.0,0.0,h
S2223-G0523,2,06:36,CHA,46.0,OKC,39.0,K. Oubre Jr.,CHA,Oubre Jr. Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0523,2,06:36,CHA,47.0,OKC,39.0,K. Oubre Jr.,CHA,Oubre Jr. Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0523,2,05:52,CHA,,OKC,,K. Oubre Jr.,CHA,MISS Oubre Jr. 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,76,48,9,1,2.0,0.0,h
