game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0309,1,12:00,DET,,NYK,,M. Bagley III,DET,Jump Ball Bagley III vs. Robinson: Tip to Brunson,Jump Ball,,0,0,0,0,,,h
S2223-G0309,1,10:55,DET,,NYK,,M. Bagley III,DET,Bagley III Traveling Turnover (P1.T1),Turnover,Traveling,0,0,0,0,,,h
S2223-G0309,1,09:52,DET,,NYK,,M. Bagley III,DET,Bagley III REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0309,1,09:11,DET,,NYK,,M. Bagley III,DET,Bagley III REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0309,1,08:23,DET,10.0,NYK,13.0,M. Bagley III,DET,Bagley III 26' 3PT Jump Shot (3 PTS) (Bogdanovic 1 AST),Made Shot,Jump Shot,102,239,26,1,3.0,3.0,h
S2223-G0309,1,07:26,DET,,NYK,,M. Bagley III,DET,Bagley III OFF.Foul (P1) (S.Foster),Foul,Offensive,0,0,0,0,,,h
S2223-G0309,1,07:26,DET,,NYK,,M. Bagley III,DET,Bagley III Offensive Foul Turnover (P2.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0309,1,07:19,DET,,NYK,,M. Bagley III,DET,Bagley III REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0309,1,06:48,DET,,NYK,,M. Bagley III,DET,Bagley III REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0309,1,06:20,DET,17.0,NYK,21.0,M. Bagley III,DET,Bagley III 3PT Jump Shot (6 PTS) (Livers 1 AST),Made Shot,Jump Shot,232,-29,0,1,3.0,3.0,h
S2223-G0309,1,05:06,DET,19.0,NYK,25.0,M. Bagley III,DET,Bagley III 3' Alley Oop Layup (8 PTS) (Hayes 1 AST),Made Shot,Alley Oop Layup shot,26,18,3,1,2.0,2.0,h
S2223-G0309,1,03:49,DET,25.0,NYK,28.0,M. Bagley III,DET,Bagley III 27' 3PT Jump Shot (11 PTS) (Bogdanovic 2 AST),Made Shot,Jump Shot,-61,262,27,1,3.0,3.0,h
S2223-G0309,1,03:22,DET,,NYK,,M. Bagley III,DET,MISS Bagley III 3' Driving Layup,Missed Shot,Driving Layup Shot,-25,15,3,1,2.0,0.0,h
S2223-G0309,1,02:48,DET,,NYK,,M. Bagley III,DET,MISS Bagley III 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-168,204,26,1,3.0,0.0,h
S2223-G0309,1,01:45,DET,,NYK,,M. Bagley III,DET,SUB: Knox II FOR Bagley III,Substitution,,0,0,0,0,,,h
S2223-G0309,2,02:15,DET,,NYK,,M. Bagley III,DET,MISS Bagley III 27' 3PT Jump Shot,Missed Shot,Jump Shot,2,270,27,1,3.0,0.0,h
S2223-G0309,2,00:03.300000,DET,,NYK,,M. Bagley III,DET,MISS Bagley III 3PT Jump Shot,Missed Shot,Jump Shot,-230,-11,0,1,3.0,0.0,h
S2223-G0309,3,10:18,DET,,NYK,,M. Bagley III,DET,Bagley III OFF.Foul (P2) (L.Holtkamp),Foul,Offensive,0,0,0,0,,,h
