game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0427,1,12:00,LAC,,PHX,,M. Brown,LAC,Jump Ball Brown vs. Biyombo: Tip to Wall,Jump Ball,,0,0,0,0,,,h
S2223-G0427,1,11:36,LAC,,PHX,,M. Brown,LAC,Brown REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,1,11:36,LAC,2.0,PHX,0.0,M. Brown,LAC,Brown 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,-1,8,1,1,2.0,2.0,h
S2223-G0427,1,11:09,LAC,,PHX,,M. Brown,LAC,Brown REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,1,09:10,LAC,,PHX,,M. Brown,LAC,Brown REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,1,06:14,LAC,8.0,PHX,11.0,M. Brown,LAC,Brown Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0427,1,06:14,LAC,,PHX,,M. Brown,LAC,MISS Brown Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0427,1,03:51,LAC,,PHX,,M. Brown,LAC,SUB: Preston FOR Brown,Substitution,,0,0,0,0,,,h
S2223-G0427,2,09:13,LAC,,PHX,,M. Brown,LAC,Brown L.B.FOUL (P1.T2) (J.Goble),Foul,Loose Ball,0,0,0,0,,,h
S2223-G0427,2,08:43,LAC,,PHX,,M. Brown,LAC,Brown REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,2,08:42,LAC,,PHX,,M. Brown,LAC,MISS Brown 1' Putback Layup,Missed Shot,Putback Layup Shot,-9,2,1,1,2.0,0.0,h
S2223-G0427,2,08:42,LAC,,PHX,,M. Brown,LAC,Brown REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,2,08:40,LAC,,PHX,,M. Brown,LAC,MISS Brown Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0427,2,08:40,LAC,,PHX,,M. Brown,LAC,Brown REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,2,08:40,LAC,,PHX,,M. Brown,LAC,MISS Brown Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0427,2,08:40,LAC,,PHX,,M. Brown,LAC,Brown REBOUND (Off:5 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,2,08:40,LAC,23.0,PHX,37.0,M. Brown,LAC,Brown 1' Putback Layup (5 PTS),Made Shot,Putback Layup Shot,-7,11,1,1,2.0,2.0,h
S2223-G0427,2,08:40,LAC,,PHX,,M. Brown,LAC,MISS Brown Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2223-G0427,2,08:05,LAC,,PHX,,M. Brown,LAC,Brown P.FOUL (P2.T3) (E.Dalen),Foul,Personal,0,0,0,0,,,h
