game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1169,4,01:16,ORL,,DET,,M. Carter-Williams,ORL,MISS Carter-Williams Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G1169,4,01:16,ORL,128.0,DET,98.0,M. Carter-Williams,ORL,Carter-Williams Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G1197,1,01:43,ORL,,CLE,,M. Carter-Williams,ORL,MISS Carter-Williams 6' Running Layup,Missed Shot,Running Layup Shot,51,38,6,1,2.0,0.0,h
S2223-G1197,2,11:21,ORL,,CLE,,M. Carter-Williams,ORL,Carter-Williams BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1197,2,09:51,ORL,,CLE,,M. Carter-Williams,ORL,SUB: Suggs FOR Carter-Williams,Substitution,,0,0,0,0,,,h
S2223-G1197,4,09:13,ORL,78.0,CLE,103.0,M. Carter-Williams,ORL,Carter-Williams 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,21,15,3,1,2.0,2.0,h
S2223-G1197,4,06:16,ORL,,CLE,,M. Carter-Williams,ORL,SUB: Harris FOR Carter-Williams,Substitution,,0,0,0,0,,,h
S2223-G1207,1,02:37,BKN,,ORL,,M. Carter-Williams,ORL,Carter-Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1207,1,00:57.400000,BKN,25.0,ORL,23.0,M. Carter-Williams,ORL,Carter-Williams 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,22,6,2,1,2.0,2.0,v
S2223-G1207,1,00:26.400000,BKN,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams 3PT Jump Shot,Missed Shot,Jump Shot,232,29,0,1,3.0,0.0,v
S2223-G1207,2,10:37,BKN,,ORL,,M. Carter-Williams,ORL,Carter-Williams S.FOUL (P1.T1) (E.Lewis),Foul,Shooting,0,0,0,0,,,v
S2223-G1207,2,10:37,BKN,,ORL,,M. Carter-Williams,ORL,SUB: K. Harris FOR Carter-Williams,Substitution,,0,0,0,0,,,v
S2223-G1207,2,05:50,BKN,,ORL,,M. Carter-Williams,ORL,Carter-Williams REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1207,2,05:47,BKN,,ORL,,M. Carter-Williams,ORL,Carter-Williams Out of Bounds - Bad Pass Turnover Turnover (P1.T11),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2223-G1207,2,04:00,BKN,,ORL,,M. Carter-Williams,ORL,SUB: Suggs FOR Carter-Williams,Substitution,,0,0,0,0,,,v
S2223-G1207,4,07:58,BKN,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-31,125,13,1,2.0,0.0,v
S2223-G1207,4,07:53,BKN,,ORL,,M. Carter-Williams,ORL,Carter-Williams REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1207,4,07:53,BKN,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams 3' Putback Layup,Missed Shot,Putback Layup Shot,-5,33,3,1,2.0,0.0,v
S2223-G1207,4,06:37,BKN,,ORL,,M. Carter-Williams,ORL,Carter-Williams REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G1207,4,06:31,BKN,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,28,125,13,1,2.0,0.0,v
S2223-G1207,4,05:29,BKN,,ORL,,M. Carter-Williams,ORL,SUB: K. Harris FOR Carter-Williams,Substitution,,0,0,0,0,,,v
S2223-G1207,4,00:57.300000,BKN,,ORL,,M. Carter-Williams,ORL,Carter-Williams REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G1207,4,00:49.200000,BKN,99.0,ORL,81.0,M. Carter-Williams,ORL,Carter-Williams Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1207,4,00:49.200000,BKN,99.0,ORL,82.0,M. Carter-Williams,ORL,Carter-Williams Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1207,4,00:23.200000,BKN,101.0,ORL,84.0,M. Carter-Williams,ORL,Carter-Williams 5' Driving Floating Jump Shot (6 PTS),Made Shot,Driving Floating Jump Shot,-20,43,5,1,2.0,2.0,v
S2223-G1219,1,02:54,MIA,,ORL,,M. Carter-Williams,ORL,Carter-Williams Offensive Charge Foul (P1) (G.Petraitis),Foul,Offensive Charge,0,0,0,0,,,v
S2223-G1219,1,02:54,MIA,,ORL,,M. Carter-Williams,ORL,Carter-Williams Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G1219,1,01:53,MIA,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams 6' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,58,17,6,1,2.0,0.0,v
S2223-G1219,1,00:46.200000,MIA,,ORL,,M. Carter-Williams,ORL,Carter-Williams Bad Pass Turnover (P2.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G1219,1,00:32.700000,MIA,23.0,ORL,24.0,M. Carter-Williams,ORL,Carter-Williams 9' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,44,74,9,1,2.0,2.0,v
S2223-G1219,1,00:32.700000,MIA,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2223-G1219,3,07:04,MIA,66.0,ORL,65.0,M. Carter-Williams,ORL,Carter-Williams 3' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,2,34,3,1,2.0,2.0,v
S2223-G1219,3,05:41,MIA,,ORL,,M. Carter-Williams,ORL,Carter-Williams STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1219,3,04:35,MIA,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams 26' 3PT Jump Shot,Missed Shot,Jump Shot,134,221,26,1,3.0,0.0,v
S2223-G1219,3,02:53,MIA,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams 7' Driving Layup,Missed Shot,Driving Layup Shot,69,16,7,1,2.0,0.0,v
S2223-G1219,3,00:35.200000,MIA,,ORL,,M. Carter-Williams,ORL,Carter-Williams S.FOUL (P2.T2) (S.Wall),Foul,Shooting,0,0,0,0,,,v
S2223-G1219,3,00:22.600000,MIA,84.0,ORL,85.0,M. Carter-Williams,ORL,Carter-Williams 27' 3PT Jump Shot (7 PTS) (Schofield 3 AST),Made Shot,Jump Shot,142,226,27,1,3.0,3.0,v
S2223-G1219,4,11:39,MIA,,ORL,,M. Carter-Williams,ORL,MISS Carter-Williams Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G1219,4,11:39,MIA,84.0,ORL,86.0,M. Carter-Williams,ORL,Carter-Williams Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
