game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0427,1,03:50,LAC,,PHX,,M. Diabate,LAC,Diabate S.FOUL (P1.T2) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2223-G0427,1,03:02,LAC,,PHX,,M. Diabate,LAC,MISS Diabate 3' Layup,Missed Shot,Layup Shot,-25,13,3,1,2.0,0.0,h
S2223-G0427,1,03:02,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,1,02:35,LAC,16.0,PHX,21.0,M. Diabate,LAC,Diabate 1' Reverse Layup (2 PTS) (Mann 2 AST),Made Shot,Reverse Layup Shot,11,8,1,1,2.0,2.0,h
S2223-G0427,1,02:35,LAC,,PHX,,M. Diabate,LAC,MISS Diabate Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,h
S2223-G0427,1,01:29,LAC,,PHX,,M. Diabate,LAC,Diabate OFF.Foul (P2) (M.Myers),Foul,Offensive,0,0,0,0,,,h
S2223-G0427,1,01:29,LAC,,PHX,,M. Diabate,LAC,Diabate Offensive Foul Turnover (P1.T4),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0427,1,01:14,LAC,,PHX,,M. Diabate,LAC,Diabate STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0427,1,00:10.600000,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,1,00:07.100000,LAC,,PHX,,M. Diabate,LAC,MISS Diabate 4' Layup,Missed Shot,Layup Shot,33,27,4,1,2.0,0.0,h
S2223-G0427,4,11:15,LAC,72.0,PHX,91.0,M. Diabate,LAC,Diabate 2' Layup (4 PTS) (Covington 1 AST),Made Shot,Layup Shot,5,24,2,1,2.0,2.0,h
S2223-G0427,4,09:58,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,4,09:33,LAC,,PHX,,M. Diabate,LAC,Diabate S.FOUL (P3.T2) (M.Myers),Foul,Shooting,0,0,0,0,,,h
S2223-G0427,4,07:29,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,4,07:28,LAC,,PHX,,M. Diabate,LAC,MISS Diabate 4' Putback Layup,Missed Shot,Putback Layup Shot,0,37,4,1,2.0,0.0,h
S2223-G0427,4,07:27,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,4,07:19,LAC,,PHX,,M. Diabate,LAC,Diabate P.FOUL (P4.PN) (J.Goble),Foul,Personal,0,0,0,0,,,h
S2223-G0427,4,06:44,LAC,,PHX,,M. Diabate,LAC,MISS Diabate 3' Layup,Missed Shot,Layup Shot,25,6,3,1,2.0,0.0,h
S2223-G0427,4,03:43,LAC,88.0,PHX,105.0,M. Diabate,LAC,Diabate 5' Layup (6 PTS) (Boston Jr. 3 AST),Made Shot,Layup Shot,25,43,5,1,2.0,2.0,h
S2223-G0427,4,03:08,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:5 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,4,03:06,LAC,,PHX,,M. Diabate,LAC,MISS Diabate 2' Putback Layup,Missed Shot,Putback Layup Shot,-13,19,2,1,2.0,0.0,h
S2223-G0427,4,02:27,LAC,90.0,PHX,107.0,M. Diabate,LAC,Diabate 2' Driving Dunk (8 PTS),Made Shot,Driving Dunk Shot,0,24,2,1,2.0,2.0,h
S2223-G0427,4,01:47,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:6 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,4,01:44,LAC,,PHX,,M. Diabate,LAC,Diabate Lost Ball Turnover (P2.T18),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0427,4,00:59.600000,LAC,,PHX,,M. Diabate,LAC,Diabate REBOUND (Off:6 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1129,4,02:28,LAC,121.0,CHI,105.0,M. Diabate,LAC,Diabate 4' Dunk (2 PTS) (Covington 1 AST),Made Shot,Dunk Shot,13,36,4,1,2.0,2.0,h
S2223-G1129,4,01:50,LAC,,CHI,,M. Diabate,LAC,Diabate STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1129,4,01:28,LAC,,CHI,,M. Diabate,LAC,Diabate BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1129,4,00:21,LAC,,CHI,,M. Diabate,LAC,MISS Diabate 7' Jump Shot,Missed Shot,Jump Shot,20,66,7,1,2.0,0.0,h
S2223-G1112,4,05:31,LAC,,NOP,,M. Diabate,LAC,MISS Diabate 7' Floating Jump Shot,Missed Shot,Floating Jump shot,-29,68,7,1,2.0,0.0,h
S2223-G1112,4,04:46,LAC,,NOP,,M. Diabate,LAC,Jump Ball Diabate vs. Ingram: Tip to Valanciunas,Jump Ball,,0,0,0,0,,,h
S2223-G1112,4,03:48,LAC,,NOP,,M. Diabate,LAC,Diabate P.FOUL (P1.T3) (M.Boland),Foul,Personal,0,0,0,0,,,h
S2223-G1112,4,03:14,LAC,,NOP,,M. Diabate,LAC,Diabate P.FOUL (P2.T4) (D.Guthrie),Foul,Personal,0,0,0,0,,,h
S2223-G1112,4,03:05,LAC,,NOP,,M. Diabate,LAC,Diabate STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1112,4,01:39,LAC,110.0,NOP,129.0,M. Diabate,LAC,Diabate 8' Hook Shot (2 PTS) (Moon 2 AST),Made Shot,Hook Shot,-44,68,8,1,2.0,2.0,h
S2223-G0754,2,10:18,CLE,,LAC,,M. Diabate,LAC,MISS Diabate 14' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-89,105,14,1,2.0,0.0,v
S2223-G0754,2,09:44,CLE,,LAC,,M. Diabate,LAC,Diabate Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0754,2,08:36,CLE,36.0,LAC,19.0,M. Diabate,LAC,Diabate 1' Running Dunk (2 PTS) (Preston 1 AST),Made Shot,Running Dunk Shot,-1,11,1,1,2.0,2.0,v
S2223-G0754,2,07:19,CLE,41.0,LAC,22.0,M. Diabate,LAC,Diabate 24' 3PT Jump Shot (5 PTS) (Boston Jr. 1 AST),Made Shot,Jump Shot,239,38,24,1,3.0,3.0,v
S2223-G0754,2,03:46,CLE,54.0,LAC,25.0,M. Diabate,LAC,Diabate Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0754,2,03:46,CLE,,LAC,,M. Diabate,LAC,MISS Diabate Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2223-G0754,2,00:43.100000,CLE,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0754,3,03:38,CLE,,LAC,,M. Diabate,LAC,MISS Diabate 3PT Jump Shot,Missed Shot,Jump Shot,222,22,0,1,3.0,0.0,v
S2223-G0754,3,01:57,CLE,,LAC,,M. Diabate,LAC,Diabate STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0754,3,01:51,CLE,84.0,LAC,54.0,M. Diabate,LAC,Diabate 1' Running Finger Roll Layup (8 PTS),Made Shot,Running Finger Roll Layup Shot,-7,6,1,1,2.0,2.0,v
S2223-G0754,3,00:35.300000,CLE,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0754,3,00:18,CLE,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:3 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0754,3,00:18,CLE,,LAC,,M. Diabate,LAC,MISS Diabate Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2223-G0754,4,09:42,CLE,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0754,4,07:34,CLE,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0754,4,07:34,CLE,95.0,LAC,74.0,M. Diabate,LAC,Diabate Tip Layup Shot (10 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
S2223-G0754,4,00:17.500000,CLE,122.0,LAC,98.0,M. Diabate,LAC,Diabate 2' Cutting Dunk Shot (12 PTS) (Boston Jr. 3 AST),Made Shot,Cutting Dunk Shot,-5,19,2,1,2.0,2.0,v
S2223-G0754,4,00:17.500000,CLE,122.0,LAC,99.0,M. Diabate,LAC,Diabate Free Throw 1 of 1 (13 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G0735,4,05:54,LAC,,SAS,,M. Diabate,LAC,MISS Diabate 3' Layup,Missed Shot,Layup Shot,-21,16,3,1,2.0,0.0,h
S2223-G0735,4,05:43,LAC,,SAS,,M. Diabate,LAC,Diabate BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0735,4,04:30,LAC,,SAS,,M. Diabate,LAC,Diabate REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0735,4,04:24,LAC,128.0,SAS,95.0,M. Diabate,LAC,Diabate 2' Dunk (2 PTS) (Covington 1 AST),Made Shot,Dunk Shot,0,17,2,1,2.0,2.0,h
S2223-G0735,4,00:55.800000,LAC,,SAS,,M. Diabate,LAC,MISS Diabate Running Jump Shot,Missed Shot,Running Jump Shot,1,4,0,1,2.0,0.0,h
S2223-G0871,4,00:57.900000,LAC,,GSW,,M. Diabate,LAC,Diabate 3 Second Violation Turnover (P1.T8),Turnover,3 Second Violation,0,0,0,0,,,h
S2223-G0745,2,09:00,ATL,,LAC,,M. Diabate,LAC,SUB: Zubac FOR Diabate,Substitution,,0,0,0,0,,,v
S2223-G0067,4,01:30,OKC,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0067,4,01:00,OKC,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0067,4,00:37.100000,OKC,,LAC,,M. Diabate,LAC,Diabate STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0067,4,00:05.600000,OKC,118.0,LAC,109.0,M. Diabate,LAC,Diabate 6' Hook Shot (2 PTS),Made Shot,Hook Shot,-40,49,6,1,2.0,2.0,v
S2223-G0067,4,00:05.600000,OKC,118.0,LAC,110.0,M. Diabate,LAC,Diabate Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G0322,1,01:34,UTA,,LAC,,M. Diabate,LAC,Diabate P.FOUL (P1.PN) (R.Mott),Foul,Personal,0,0,0,0,,,v
S2223-G0322,1,00:26,UTA,,LAC,,M. Diabate,LAC,Diabate S.FOUL (P2.PN) (E.Dalen),Foul,Shooting,0,0,0,0,,,v
S2223-G0322,2,10:59,UTA,38.0,LAC,31.0,M. Diabate,LAC,Diabate 3' Layup (2 PTS) (Wall 3 AST),Made Shot,Layup Shot,-2,25,3,1,2.0,2.0,v
S2223-G0322,2,10:29,UTA,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0322,2,10:29,UTA,,LAC,,M. Diabate,LAC,MISS Diabate Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2223-G0322,2,08:56,UTA,43.0,LAC,37.0,M. Diabate,LAC,Diabate 4' Dunk (4 PTS),Made Shot,Dunk Shot,1,41,4,1,2.0,2.0,v
S2223-G0322,2,08:35,UTA,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0322,2,08:29,UTA,,LAC,,M. Diabate,LAC,SUB: Zubac FOR Diabate,Substitution,,0,0,0,0,,,v
S2223-G0322,3,00:50.100000,UTA,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0322,4,10:15,UTA,,LAC,,M. Diabate,LAC,Diabate REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
