game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0831,1,10:22,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-4,94,9,1,2.0,0.0,h
S2223-G0831,1,09:28,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,5,73,7,1,2.0,0.0,h
S2223-G0831,1,07:41,ORL,,DEN,,M. Fultz,ORL,Fultz STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0831,1,06:42,ORL,11.0,DEN,18.0,M. Fultz,ORL,Fultz 15' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,-137,68,15,1,2.0,2.0,h
S2223-G0831,1,06:24,ORL,,DEN,,M. Fultz,ORL,Fultz STEAL (2 STL),,,0,0,0,0,,,h
S2223-G0831,1,05:54,ORL,,DEN,,M. Fultz,ORL,Fultz S.FOUL (P1.T4) (J.Goble),Foul,Shooting,0,0,0,0,,,h
S2223-G0831,1,05:49,ORL,,DEN,,M. Fultz,ORL,Fultz Violation:Kicked Ball (J.Goble),Violation,Kicked Ball,0,0,0,0,,,h
S2223-G0831,1,05:27,ORL,,DEN,,M. Fultz,ORL,Fultz Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G0831,1,05:01,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,1,03:52,ORL,,DEN,,M. Fultz,ORL,Fultz Lost Ball Turnover (P2.T2),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0831,1,03:20,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 25' 3PT Jump Shot,Missed Shot,Jump Shot,-186,172,25,1,3.0,0.0,h
S2223-G0831,1,01:58,ORL,,DEN,,M. Fultz,ORL,SUB: Houstan FOR Fultz,Substitution,,0,0,0,0,,,h
S2223-G0831,2,02:02,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,2,02:02,ORL,,DEN,,M. Fultz,ORL,MISS Fultz Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0831,2,02:02,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,2,01:57,ORL,62.0,DEN,49.0,M. Fultz,ORL,Fultz 6' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,2,62,6,1,2.0,2.0,h
S2223-G0831,3,11:25,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,3,11:21,ORL,66.0,DEN,55.0,M. Fultz,ORL,Fultz Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0831,3,11:21,ORL,67.0,DEN,55.0,M. Fultz,ORL,Fultz Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0831,3,09:39,ORL,,DEN,,M. Fultz,ORL,Fultz STEAL (3 STL),,,0,0,0,0,,,h
S2223-G0831,3,09:34,ORL,74.0,DEN,60.0,M. Fultz,ORL,Fultz 1' Running Dunk (8 PTS),Made Shot,Running Dunk Shot,7,6,1,1,2.0,2.0,h
S2223-G0831,3,07:37,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:3 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,3,07:37,ORL,,DEN,,M. Fultz,ORL,MISS Fultz Tip Dunk Shot,Missed Shot,Tip Dunk Shot,0,0,0,1,2.0,0.0,h
S2223-G0831,3,07:36,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,3,05:59,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:4 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,3,05:23,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 9' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,-87,10,9,1,2.0,0.0,h
S2223-G0831,3,02:00,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 2' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,2,17,2,1,2.0,0.0,h
S2223-G0831,3,00:02.100000,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,92,151,18,1,2.0,0.0,h
S2223-G0831,4,04:23,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 7' Driving Layup,Missed Shot,Driving Layup Shot,5,67,7,1,2.0,0.0,h
S2223-G0831,4,03:49,ORL,,DEN,,M. Fultz,ORL,Fultz REBOUND (Off:5 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0831,4,01:51,ORL,,DEN,,M. Fultz,ORL,Fultz S.FOUL (P2.T4) (E.Scott),Foul,Shooting,0,0,0,0,,,h
S2223-G0831,4,01:29,ORL,,DEN,,M. Fultz,ORL,MISS Fultz 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-54,132,14,1,2.0,0.0,h
S2223-G1133,1,11:04,MEM,2.0,ORL,2.0,M. Fultz,ORL,Fultz 14' Pullup Jump Shot (2 PTS) (Harris 1 AST),Made Shot,Pullup Jump shot,-97,104,14,1,2.0,2.0,v
S2223-G1133,1,06:42,MEM,,ORL,,M. Fultz,ORL,MISS Fultz 25' 3PT Jump Shot,Missed Shot,Jump Shot,114,222,25,1,3.0,0.0,v
S2223-G1133,1,05:45,MEM,16.0,ORL,12.0,M. Fultz,ORL,Fultz 21' Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,-184,100,21,1,2.0,2.0,v
S2223-G1133,1,02:20,MEM,,ORL,,M. Fultz,ORL,SUB: M. Wagner FOR Fultz,Substitution,,0,0,0,0,,,v
S2223-G1133,2,02:41,MEM,,ORL,,M. Fultz,ORL,MISS Fultz 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-17,158,16,1,2.0,0.0,v
S2223-G1133,2,00:30.200000,MEM,,ORL,,M. Fultz,ORL,Fultz REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1133,2,00:15.400000,MEM,59.0,ORL,44.0,M. Fultz,ORL,Fultz 3' Driving Finger Roll Layup (6 PTS),Made Shot,Driving Finger Roll Layup Shot,16,21,3,1,2.0,2.0,v
S2223-G1133,3,08:28,MEM,,ORL,,M. Fultz,ORL,Fultz S.FOUL (P1.T1) (N.Buchert),Foul,Shooting,0,0,0,0,,,v
S2223-G1133,3,07:55,MEM,,ORL,,M. Fultz,ORL,MISS Fultz 3' Driving Dunk,Missed Shot,Driving Dunk Shot,23,16,3,1,2.0,0.0,v
S2223-G1133,3,05:37,MEM,77.0,ORL,57.0,M. Fultz,ORL,Fultz 1' Driving Reverse Layup (8 PTS),Made Shot,Driving Reverse Layup Shot,-10,3,1,1,2.0,2.0,v
S2223-G1133,3,05:37,MEM,77.0,ORL,58.0,M. Fultz,ORL,Fultz Free Throw 1 of 1 (9 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G1133,3,02:09,MEM,,ORL,,M. Fultz,ORL,MISS Fultz 25' 3PT Jump Shot,Missed Shot,Jump Shot,-66,242,25,1,3.0,0.0,v
S2223-G1133,3,02:07,MEM,,ORL,,M. Fultz,ORL,SUB: F. Wagner FOR Fultz,Substitution,,0,0,0,0,,,v
S2223-G1133,4,03:10,MEM,,ORL,,M. Fultz,ORL,Fultz STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1133,4,00:39.300000,MEM,,ORL,,M. Fultz,ORL,Fultz STEAL (2 STL),,,0,0,0,0,,,v
S2223-G1133,4,00:38,MEM,105.0,ORL,100.0,M. Fultz,ORL,Fultz 1' Driving Finger Roll Layup (11 PTS),Made Shot,Driving Finger Roll Layup Shot,2,5,1,1,2.0,2.0,v
S2223-G1133,4,00:11.200000,MEM,,ORL,,M. Fultz,ORL,Fultz Personal Take Foul (P2.PN) (S.Jelks),Foul,Personal Take,0,0,0,0,,,v
S2223-G0313,1,11:13,ORL,4.0,ATL,2.0,M. Fultz,ORL,Fultz 8' Hook Shot (2 PTS),Made Shot,Hook Shot,13,77,8,1,2.0,2.0,h
S2223-G0313,1,10:03,ORL,,ATL,,M. Fultz,ORL,MISS Fultz 4' Driving Layup,Missed Shot,Driving Layup Shot,-9,37,4,1,2.0,0.0,h
S2223-G0313,1,09:48,ORL,,ATL,,M. Fultz,ORL,Fultz STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0313,1,09:04,ORL,,ATL,,M. Fultz,ORL,Fultz Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0313,1,08:29,ORL,,ATL,,M. Fultz,ORL,Fultz S.FOUL (P1.T2) (T.Ford),Foul,Shooting,0,0,0,0,,,h
S2223-G0313,1,07:39,ORL,,ATL,,M. Fultz,ORL,MISS Fultz 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,28,110,11,1,2.0,0.0,h
S2223-G0313,1,07:36,ORL,,ATL,,M. Fultz,ORL,SUB: Anthony FOR Fultz,Substitution,,0,0,0,0,,,h
