game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0036,1,02:57,SAC,,LAC,,N. Batum,LAC,Batum STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0036,1,02:43,SAC,21.0,LAC,26.0,N. Batum,LAC,Batum 25' 3PT Jump Shot (3 PTS) (George 3 AST),Made Shot,Jump Shot,107,230,25,1,3.0,3.0,v
S2223-G0036,1,01:28,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0036,1,00:29,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0036,2,11:42,SAC,,LAC,,N. Batum,LAC,Batum Bad Pass Turnover (P1.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0036,2,11:21,SAC,26.0,LAC,31.0,N. Batum,LAC,Batum 2' Cutting Layup Shot (5 PTS) (Mann 1 AST),Made Shot,Cutting Layup Shot,2,17,2,1,2.0,2.0,v
S2223-G0036,2,10:59,SAC,,LAC,,N. Batum,LAC,Batum BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0036,2,10:11,SAC,,LAC,,N. Batum,LAC,Batum P.FOUL (P1.T1) (G.Petraitis),Foul,Personal,0,0,0,0,,,v
S2223-G0036,2,10:08,SAC,,LAC,,N. Batum,LAC,Batum P.FOUL (P2.T2) (G.Petraitis),Foul,Personal,0,0,0,0,,,v
S2223-G0036,2,09:02,SAC,,LAC,,N. Batum,LAC,SUB: Zubac FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G0036,3,08:42,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0036,3,07:55,SAC,,LAC,,N. Batum,LAC,Batum STEAL (2 STL),,,0,0,0,0,,,v
S2223-G0036,3,04:57,SAC,71.0,LAC,75.0,N. Batum,LAC,Batum 3' Cutting Layup Shot (7 PTS) (Zubac 1 AST),Made Shot,Cutting Layup Shot,6,32,3,1,2.0,2.0,v
S2223-G0036,3,02:26,SAC,,LAC,,N. Batum,LAC,Batum S.FOUL (P3.T4) (G.Petraitis),Foul,Shooting,0,0,0,0,,,v
S2223-G0036,3,01:23,SAC,,LAC,,N. Batum,LAC,Batum S.FOUL (P4.PN) (G.Petraitis),Foul,Shooting,0,0,0,0,,,v
S2223-G0036,3,00:41.300000,SAC,,LAC,,N. Batum,LAC,SUB: Coffey FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G0036,4,03:27,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0036,4,01:11,SAC,,LAC,,N. Batum,LAC,Batum L.B.FOUL (P5.T3) (M.Kallio),Foul,Loose Ball,0,0,0,0,,,v
S2223-G0036,4,00:14.400000,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0427,2,11:30,LAC,,PHX,,N. Batum,LAC,MISS Batum 3PT Jump Shot,Missed Shot,Jump Shot,-233,7,0,1,3.0,0.0,h
S2223-G0427,2,10:09,LAC,21.0,PHX,33.0,N. Batum,LAC,Batum 3PT Jump Shot (3 PTS) (Boston Jr. 1 AST),Made Shot,Jump Shot,227,-15,0,1,3.0,3.0,h
S2223-G0427,2,08:40,LAC,,PHX,,N. Batum,LAC,SUB: Morris Sr. FOR Batum,Substitution,,0,0,0,0,,,h
S2223-G0427,2,06:18,LAC,,PHX,,N. Batum,LAC,Batum Bad Pass Turnover (P1.T8),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0427,2,06:14,LAC,,PHX,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0427,2,03:00,LAC,,PHX,,N. Batum,LAC,SUB: Boston Jr. FOR Batum,Substitution,,0,0,0,0,,,h
S2223-G0885,1,01:05,PHX,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0885,2,09:23,PHX,,LAC,,N. Batum,LAC,MISS Batum 3PT Jump Shot,Missed Shot,Jump Shot,-230,-1,0,1,3.0,0.0,v
S2223-G0885,2,08:38,PHX,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0885,2,08:19,PHX,,LAC,,N. Batum,LAC,Batum Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0885,2,06:32,PHX,,LAC,,N. Batum,LAC,MISS Batum 26' 3PT Jump Shot,Missed Shot,Jump Shot,-227,126,26,1,3.0,0.0,v
S2223-G0885,2,06:30,PHX,,LAC,,N. Batum,LAC,SUB: Morris Sr. FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G0885,2,02:24,PHX,50.0,LAC,52.0,N. Batum,LAC,Batum 26' 3PT Jump Shot (3 PTS) (Leonard 2 AST),Made Shot,Jump Shot,-108,239,26,1,3.0,3.0,v
S2223-G0885,2,01:19,PHX,,LAC,,N. Batum,LAC,MISS Batum 3PT Jump Shot,Missed Shot,Jump Shot,-224,8,0,1,3.0,0.0,v
S2223-G0885,4,07:00,PHX,,LAC,,N. Batum,LAC,SUB: Leonard FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G0352,2,10:30,CHA,,LAC,,N. Batum,LAC,Batum STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0352,2,09:50,CHA,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0352,2,09:45,CHA,30.0,LAC,37.0,N. Batum,LAC,Batum 26' 3PT Jump Shot (3 PTS) (George 4 AST),Made Shot,Jump Shot,-161,201,26,1,3.0,3.0,v
S2223-G0352,2,09:10,CHA,,LAC,,N. Batum,LAC,MISS Batum 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-211,154,26,1,3.0,0.0,v
S2223-G0352,2,08:24,CHA,,LAC,,N. Batum,LAC,Batum STEAL (2 STL),,,0,0,0,0,,,v
S2223-G0352,2,07:31,CHA,36.0,LAC,43.0,N. Batum,LAC,Batum 3PT Jump Shot (6 PTS) (Wall 5 AST),Made Shot,Jump Shot,-230,10,0,1,3.0,3.0,v
S2223-G0352,2,05:46,CHA,,LAC,,N. Batum,LAC,MISS Batum Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,0,0,0,0,1.0,0.0,v
S2223-G0352,2,05:46,CHA,40.0,LAC,50.0,N. Batum,LAC,Batum Free Throw 2 of 3 (7 PTS),Free Throw,Free Throw 2 of 3,0,0,0,0,1.0,1.0,v
S2223-G0352,2,05:46,CHA,,LAC,,N. Batum,LAC,MISS Batum Free Throw 3 of 3,Free Throw,Free Throw 3 of 3,0,0,0,0,1.0,0.0,v
S2223-G0352,2,05:24,CHA,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0352,2,05:18,CHA,,LAC,,N. Batum,LAC,SUB: Zubac FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G0352,3,00:00.300000,CHA,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0352,4,11:24,CHA,90.0,LAC,91.0,N. Batum,LAC,Batum 3PT Jump Shot (10 PTS) (Mann 1 AST),Made Shot,Jump Shot,229,22,0,1,3.0,3.0,v
S2223-G0352,4,10:56,CHA,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0352,4,07:43,CHA,96.0,LAC,104.0,N. Batum,LAC,Batum 25' 3PT Jump Shot (13 PTS) (Kennard 2 AST),Made Shot,Jump Shot,-147,203,25,1,3.0,3.0,v
S2223-G0352,4,07:25,CHA,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2223-G0352,4,05:53,CHA,,LAC,,N. Batum,LAC,MISS Batum 27' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,59,263,27,1,3.0,0.0,v
S2223-G0352,4,05:24,CHA,,LAC,,N. Batum,LAC,SUB: Jackson FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G1056,1,01:34,LAC,,ORL,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1056,1,00:38,LAC,29.0,ORL,29.0,N. Batum,LAC,Batum 3PT Jump Shot (3 PTS) (Plumlee 1 AST),Made Shot,Jump Shot,224,9,0,1,3.0,3.0,h
S2223-G1056,2,07:09,LAC,,ORL,,N. Batum,LAC,SUB: Morris Sr. FOR Batum,Substitution,,0,0,0,0,,,h
S2223-G1056,3,01:40,LAC,,ORL,,N. Batum,LAC,Batum L.B.FOUL (P1.PN) (S.Foster),Foul,Loose Ball,0,0,0,0,,,h
S2223-G1056,3,00:26.700000,LAC,,ORL,,N. Batum,LAC,MISS Batum Running Layup,Missed Shot,Running Layup Shot,4,2,0,1,2.0,0.0,h
S2223-G1056,4,11:57,LAC,,ORL,,N. Batum,LAC,Batum P.FOUL (P2.T1) (S.Twardoski),Foul,Personal,0,0,0,0,,,h
S2223-G1056,4,10:07,LAC,,ORL,,N. Batum,LAC,MISS Batum 26' 3PT Jump Shot,Missed Shot,Jump Shot,-164,206,26,1,3.0,0.0,h
S2223-G1056,4,07:54,LAC,,ORL,,N. Batum,LAC,Batum REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1056,4,06:22,LAC,,ORL,,N. Batum,LAC,MISS Batum 25' 3PT Jump Shot,Missed Shot,Jump Shot,-186,165,25,1,3.0,0.0,h
S2223-G1056,4,06:05,LAC,,ORL,,N. Batum,LAC,SUB: Gordon FOR Batum,Substitution,,0,0,0,0,,,h
S2223-G0954,1,11:01,SAC,,LAC,,N. Batum,LAC,MISS Batum 25' 3PT Jump Shot,Missed Shot,Jump Shot,-183,169,25,1,3.0,0.0,v
S2223-G0954,1,07:06,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0954,1,05:32,SAC,,LAC,,N. Batum,LAC,Batum L.B.FOUL (P1.T3) (M.Ervin),Foul,Loose Ball,0,0,0,0,,,v
S2223-G0954,1,03:59,SAC,,LAC,,N. Batum,LAC,SUB: Covington FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G0954,1,01:22,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0954,2,11:33,SAC,37.0,LAC,35.0,N. Batum,LAC,Batum 3PT Jump Shot (3 PTS) (Hyland 2 AST),Made Shot,Jump Shot,-227,8,0,1,3.0,3.0,v
S2223-G0954,2,07:47,SAC,,LAC,,N. Batum,LAC,SUB: Gordon FOR Batum,Substitution,,0,0,0,0,,,v
S2223-G0954,2,01:40,SAC,64.0,LAC,58.0,N. Batum,LAC,Batum 1' Cutting Finger Roll Layup Shot (5 PTS) (Westbrook 7 AST),Made Shot,Cutting Finger Roll Layup Shot,11,5,1,1,2.0,2.0,v
S2223-G0954,2,00:04,SAC,,LAC,,N. Batum,LAC,Batum REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
