game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1021,4,08:40,ATL,,MIN,,N. Knight,MIN,Knight REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1021,4,08:19,ATL,,MIN,,N. Knight,MIN,SUB: McDaniels FOR Knight,Substitution,,0,0,0,0,,,v
S2223-G1021,4,01:19,ATL,,MIN,,N. Knight,MIN,Knight S.FOUL (P1.PN) (S.Foster),Foul,Shooting,0,0,0,0,,,v
S2223-G0407,4,01:37,POR,,MIN,,N. Knight,MIN,Knight Lost Ball Turnover (P1.T10),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0407,4,00:58,POR,130.0,MIN,108.0,N. Knight,MIN,Knight 4' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,2,42,4,1,2.0,2.0,v
S2223-G0407,4,00:24.500000,POR,133.0,MIN,112.0,N. Knight,MIN,Knight 1' Running Dunk (4 PTS),Made Shot,Running Dunk Shot,-6,-5,1,1,2.0,2.0,v
S2223-G0041,4,01:50,OKC,,MIN,,N. Knight,MIN,Knight REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0041,4,01:06,OKC,,MIN,,N. Knight,MIN,Knight S.FOUL (P1.PN) (S.Twardoski),Foul,Shooting,0,0,0,0,,,v
S2223-G0041,4,01:05,OKC,,MIN,,N. Knight,MIN,Knight REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0153,4,01:38,MIN,,NYK,,N. Knight,MIN,Knight REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0806,2,00:09.700000,MIN,,DEN,,N. Knight,MIN,Knight S.FOUL (P1.PN) (T.Ford),Foul,Shooting,0,0,0,0,,,h
S2223-G0806,3,05:35,MIN,,DEN,,N. Knight,MIN,MISS Knight 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-44,44,6,1,2.0,0.0,h
S2223-G0806,3,04:29,MIN,,DEN,,N. Knight,MIN,Knight Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0806,3,04:07,MIN,85.0,DEN,61.0,N. Knight,MIN,Knight 2' Cutting Dunk Shot (2 PTS) (Prince 2 AST),Made Shot,Cutting Dunk Shot,1,16,2,1,2.0,2.0,h
S2223-G0806,3,02:30,MIN,,DEN,,N. Knight,MIN,Knight S.FOUL (P2.PN) (T.Ford),Foul,Shooting,0,0,0,0,,,h
S2223-G0806,3,01:38,MIN,,DEN,,N. Knight,MIN,Knight REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0806,4,11:28,MIN,,DEN,,N. Knight,MIN,Knight Traveling Turnover (P2.T10),Turnover,Traveling,0,0,0,0,,,h
S2223-G0806,4,10:38,MIN,95.0,DEN,73.0,N. Knight,MIN,Knight Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0806,4,10:38,MIN,,DEN,,N. Knight,MIN,MISS Knight Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0806,4,10:19,MIN,96.0,DEN,73.0,N. Knight,MIN,Knight Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0806,4,10:19,MIN,97.0,DEN,73.0,N. Knight,MIN,Knight Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0806,4,09:41,MIN,,DEN,,N. Knight,MIN,SUB: Gobert FOR Knight,Substitution,,0,0,0,0,,,h
S2223-G0806,4,03:59,MIN,,DEN,,N. Knight,MIN,Knight STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0806,4,03:47,MIN,119.0,DEN,87.0,N. Knight,MIN,Knight Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0806,4,03:47,MIN,,DEN,,N. Knight,MIN,MISS Knight Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0806,4,03:19,MIN,,DEN,,N. Knight,MIN,Knight REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0806,4,03:19,MIN,,DEN,,N. Knight,MIN,MISS Knight Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,h
S2223-G0806,4,03:18,MIN,,DEN,,N. Knight,MIN,Knight REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0806,4,03:18,MIN,121.0,DEN,87.0,N. Knight,MIN,Knight Tip Layup Shot (8 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2223-G0806,4,01:18,MIN,,DEN,,N. Knight,MIN,Knight Lost Ball Turnover (P3.T11),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0806,4,00:29,MIN,,DEN,,N. Knight,MIN,MISS Knight 4' Driving Layup,Missed Shot,Driving Layup Shot,1,44,4,1,2.0,0.0,h
S2223-G0587,4,00:01,MIN,,LAC,,N. Knight,MIN,Knight Lost Ball Turnover (P1.T20),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0790,1,02:57,MIN,,ORL,,N. Knight,MIN,Knight REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0790,1,02:11,MIN,,ORL,,N. Knight,MIN,Knight S.FOUL (P1.T3) (J.Orr),Foul,Shooting,0,0,0,0,,,h
S2223-G0790,1,00:18.200000,MIN,33.0,ORL,27.0,N. Knight,MIN,Knight Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0790,1,00:18.200000,MIN,34.0,ORL,27.0,N. Knight,MIN,Knight Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0790,3,11:05,MIN,,ORL,,N. Knight,MIN,MISS Knight 6' Driving Dunk,Missed Shot,Driving Dunk Shot,-54,16,6,1,2.0,0.0,h
S2223-G0790,3,08:22,MIN,,ORL,,N. Knight,MIN,Knight REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0790,3,07:12,MIN,,ORL,,N. Knight,MIN,Knight BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0790,3,07:01,MIN,,ORL,,N. Knight,MIN,MISS Knight 3PT Jump Shot,Missed Shot,Jump Shot,-234,0,0,1,3.0,0.0,h
S2223-G0790,3,06:22,MIN,,ORL,,N. Knight,MIN,SUB: Ryan FOR Knight,Substitution,,0,0,0,0,,,h
S2223-G0790,3,00:03.400000,MIN,,ORL,,N. Knight,MIN,Knight S.FOUL (P2.PN) (J.Williams),Foul,Shooting,0,0,0,0,,,h
S2223-G0456,1,03:12,MIN,,DAL,,N. Knight,MIN,Knight S.FOUL (P1.T3) (N.Buchert),Foul,Shooting,0,0,0,0,,,h
S2223-G0456,1,02:51,MIN,,DAL,,N. Knight,MIN,Knight P.FOUL (P2.T4) (M.Dagher),Foul,Personal,0,0,0,0,,,h
S2223-G0456,1,02:00,MIN,,DAL,,N. Knight,MIN,Knight OFF.Foul (P3) (R.Mott),Foul,Offensive,0,0,0,0,,,h
S2223-G0456,1,02:00,MIN,,DAL,,N. Knight,MIN,Knight Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0456,1,02:00,MIN,,DAL,,N. Knight,MIN,SUB: Garza FOR Knight,Substitution,,0,0,0,0,,,h
S2223-G0456,3,03:21,MIN,,DAL,,N. Knight,MIN,MISS Knight 1' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,6,8,1,1,2.0,0.0,h
S2223-G0456,3,02:49,MIN,,DAL,,N. Knight,MIN,MISS Knight 24' 3PT Jump Shot,Missed Shot,Jump Shot,237,-10,24,1,3.0,0.0,h
S2223-G0456,3,02:46,MIN,,DAL,,N. Knight,MIN,Knight REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0456,3,02:45,MIN,83.0,DAL,67.0,N. Knight,MIN,Knight 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,0,11,1,1,2.0,2.0,h
S2223-G0456,3,02:01,MIN,,DAL,,N. Knight,MIN,Knight REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0533,1,01:28,MIL,,MIN,,N. Knight,MIN,Knight BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0533,1,01:25,MIL,,MIN,,N. Knight,MIN,Knight P.FOUL (P1.T4) (Z.Zarba),Foul,Personal,0,0,0,0,,,v
S2223-G0533,1,00:28.500000,MIL,,MIN,,N. Knight,MIN,Knight S.FOUL (P2.PN) (J.Butler),Foul,Shooting,0,0,0,0,,,v
S2223-G0724,1,01:59,NOP,,MIN,,N. Knight,MIN,Knight S.FOUL (P1.T4) (J.Goble),Foul,Shooting,0,0,0,0,,,v
S2223-G0724,1,01:19,NOP,28.0,MIN,24.0,N. Knight,MIN,Knight 1' Running Dunk (2 PTS) (Edwards 2 AST),Made Shot,Running Dunk Shot,-1,5,1,1,2.0,2.0,v
S2223-G0724,1,00:58.800000,NOP,,MIN,,N. Knight,MIN,Knight S.FOUL (P2.PN) (P.Ransom),Foul,Shooting,0,0,0,0,,,v
S2223-G0676,3,09:37,DEN,,MIN,,N. Knight,MIN,Knight REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0676,3,09:26,DEN,,MIN,,N. Knight,MIN,MISS Knight 27' 3PT Jump Shot,Missed Shot,Jump Shot,-20,272,27,1,3.0,0.0,v
S2223-G0676,3,09:21,DEN,,MIN,,N. Knight,MIN,Knight P.FOUL (P1.T3) (C.Kirkland),Foul,Personal,0,0,0,0,,,v
S2223-G0676,3,09:16,DEN,,MIN,,N. Knight,MIN,Knight P.FOUL (P2.T4) (S.Corbin),Foul,Personal,0,0,0,0,,,v
S2223-G0676,3,08:19,DEN,,MIN,,N. Knight,MIN,Knight S.FOUL (P3.PN) (S.Corbin),Foul,Shooting,0,0,0,0,,,v
S2223-G0676,3,06:51,DEN,68.0,MIN,74.0,N. Knight,MIN,Knight 4' Running Layup (2 PTS) (Russell 4 AST),Made Shot,Running Layup Shot,31,25,4,1,2.0,2.0,v
S2223-G0676,3,06:51,DEN,,MIN,,N. Knight,MIN,MISS Knight Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,0.0,v
S2223-G0676,3,06:30,DEN,,MIN,,N. Knight,MIN,Knight OFF.Foul (P4) (S.Corbin),Foul,Offensive,0,0,0,0,,,v
S2223-G0676,3,06:30,DEN,,MIN,,N. Knight,MIN,Knight Offensive Foul Turnover (P1.T15),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0676,3,06:30,DEN,,MIN,,N. Knight,MIN,SUB: Garza FOR Knight,Substitution,,0,0,0,0,,,v
