game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0981,1,05:27,HOU,,BKN,,N. Noel,BKN,Noel S.FOUL (P1.T1) (B.Schwab),Foul,Shooting,0,0,0,0,,,v
S2223-G0981,1,04:11,HOU,,BKN,,N. Noel,BKN,Noel Out of Bounds Lost Ball Turnover (P1.T3),Turnover,Out of Bounds Lost Ball Turnover,0,0,0,0,,,v
S2223-G0981,1,03:19,HOU,,BKN,,N. Noel,BKN,Noel REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0981,1,00:39.100000,HOU,29.0,BKN,24.0,N. Noel,BKN,Noel 11' Floating Jump Shot (2 PTS) (Finney-Smith 1 AST),Made Shot,Floating Jump shot,1,108,11,1,2.0,2.0,v
S2223-G0981,1,00:29,HOU,,BKN,,N. Noel,BKN,SUB: Johnson FOR Noel,Substitution,,0,0,0,0,,,v
S2223-G0981,2,04:34,HOU,,BKN,,N. Noel,BKN,Noel OFF.Foul (P2) (N.Buchert),Foul,Offensive,0,0,0,0,,,v
S2223-G0981,2,04:34,HOU,,BKN,,N. Noel,BKN,Noel Offensive Foul Turnover (P2.T5),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0981,2,04:19,HOU,,BKN,,N. Noel,BKN,Noel STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0981,2,03:38,HOU,,BKN,,N. Noel,BKN,Noel REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0981,2,02:53,HOU,,BKN,,N. Noel,BKN,SUB: Johnson FOR Noel,Substitution,,0,0,0,0,,,v
S2223-G0981,2,01:26,HOU,,BKN,,N. Noel,BKN,Noel S.FOUL (P3.PN) (B.Schwab),Foul,Shooting,0,0,0,0,,,v
S2223-G0981,3,04:30,HOU,,BKN,,N. Noel,BKN,Noel S.FOUL (P4.PN) (B.Schwab),Foul,Shooting,0,0,0,0,,,v
S2223-G0981,3,02:23,HOU,,BKN,,N. Noel,BKN,Noel S.FOUL (P5.PN) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2223-G0981,3,02:23,HOU,,BKN,,N. Noel,BKN,SUB: Curry FOR Noel,Substitution,,0,0,0,0,,,v
S2223-G0981,4,01:15,HOU,,BKN,,N. Noel,BKN,Noel Bad Pass Turnover (P3.T11),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0981,4,00:12.700000,HOU,,BKN,,N. Noel,BKN,Noel REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0283,2,01:23,PHX,,DET,,N. Noel,DET,MISS Noel 8' Floating Jump Shot,Missed Shot,Floating Jump shot,36,67,8,1,2.0,0.0,v
S2223-G0283,2,00:40.200000,PHX,,DET,,N. Noel,DET,Noel REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0283,2,00:03.300000,PHX,,DET,,N. Noel,DET,Noel P.FOUL (P1.PN) (T.Maddox),Foul,Personal,0,0,0,0,,,v
S2223-G0515,2,00:33.200000,DET,,ORL,,N. Noel,DET,MISS Noel Free Throw Flagrant 1 of 2,Free Throw,Free Throw Flagrant 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0515,2,00:33.200000,DET,64.0,ORL,45.0,N. Noel,DET,Noel Free Throw Flagrant 2 of 2 (1 PTS),Free Throw,Free Throw Flagrant 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0515,2,00:09.700000,DET,,ORL,,N. Noel,DET,Noel STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0113,1,03:34,MIL,,DET,,N. Noel,DET,Noel S.FOUL (P1.T3) (A.Smith),Foul,Shooting,0,0,0,0,,,v
