game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0562,4,04:00,OKC,,BOS,,N. Vonleh,BOS,Vonleh REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0562,4,03:37,OKC,,BOS,,N. Vonleh,BOS,Vonleh S.FOUL (P1.T3) (M.Lindsay),Foul,Shooting,0,0,0,0,,,v
S2223-G0201,2,09:03,BOS,,OKC,,N. Vonleh,BOS,Vonleh OFF.Foul (P1) (A.Nagy),Foul,Offensive,0,0,0,0,,,h
S2223-G0201,2,09:03,BOS,,OKC,,N. Vonleh,BOS,Vonleh Offensive Foul Turnover (P1.T4),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0201,2,08:12,BOS,,OKC,,N. Vonleh,BOS,Vonleh S.FOUL (P2.T4) (A.Nagy),Foul,Shooting,0,0,0,0,,,h
S2223-G0201,2,08:12,BOS,,OKC,,N. Vonleh,BOS,SUB: Williams FOR Vonleh,Substitution,,0,0,0,0,,,h
S2223-G0186,3,06:41,DET,69.0,BOS,69.0,N. Vonleh,BOS,Vonleh Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0186,3,06:41,DET,69.0,BOS,70.0,N. Vonleh,BOS,Vonleh Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0186,3,05:46,DET,,BOS,,N. Vonleh,BOS,Vonleh L.B.FOUL (P1.T3) (M.Kogut),Foul,Loose Ball,0,0,0,0,,,v
S2223-G0186,3,05:19,DET,,BOS,,N. Vonleh,BOS,Vonleh REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0186,3,04:54,DET,,BOS,,N. Vonleh,BOS,Vonleh Violation:Kicked Ball (S.Wright),Violation,Kicked Ball,0,0,0,0,,,v
