game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1164,1,09:58,BKN,,UTA,,O. Agbaji,UTA,MISS Agbaji 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-232,2,0,1,3.0,0.0,v
S2223-G1164,1,08:39,BKN,,UTA,,O. Agbaji,UTA,Agbaji Violation:Kicked Ball (R.Mott),Violation,Kicked Ball,0,0,0,0,,,v
S2223-G1164,1,05:50,BKN,13.0,UTA,12.0,O. Agbaji,UTA,Agbaji 11' Turnaround Fadeaway (2 PTS) (Horton-Tucker 2 AST),Made Shot,Turnaround Fadeaway shot,-4,109,11,1,2.0,2.0,v
S2223-G1164,1,04:15,BKN,,UTA,,O. Agbaji,UTA,SUB: Azubuike FOR Agbaji,Substitution,,0,0,0,0,,,v
S2223-G1164,2,09:45,BKN,35.0,UTA,24.0,O. Agbaji,UTA,Agbaji Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1164,2,09:45,BKN,35.0,UTA,25.0,O. Agbaji,UTA,Agbaji Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1164,2,08:23,BKN,,UTA,,O. Agbaji,UTA,MISS Agbaji 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,9,181,18,1,2.0,0.0,v
S2223-G1164,2,04:13,BKN,,UTA,,O. Agbaji,UTA,MISS Agbaji 1' Running Finger Roll Layup,Missed Shot,Running Finger Roll Layup Shot,0,10,1,1,2.0,0.0,v
S2223-G1164,2,04:10,BKN,,UTA,,O. Agbaji,UTA,SUB: Dunn FOR Agbaji,Substitution,,0,0,0,0,,,v
S2223-G1164,3,11:48,BKN,,UTA,,O. Agbaji,UTA,MISS Agbaji 3PT Jump Shot,Missed Shot,Jump Shot,234,0,0,1,3.0,0.0,v
S2223-G1164,3,09:18,BKN,,UTA,,O. Agbaji,UTA,Agbaji REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G1164,3,09:10,BKN,,UTA,,O. Agbaji,UTA,Agbaji S.FOUL (P1.T2) (M.Boland),Foul,Shooting,0,0,0,0,,,v
S2223-G1164,3,08:09,BKN,,UTA,,O. Agbaji,UTA,Agbaji REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G1164,3,08:05,BKN,65.0,UTA,55.0,O. Agbaji,UTA,Agbaji 3PT Jump Shot (7 PTS),Made Shot,Jump Shot,232,16,0,1,3.0,3.0,v
S2223-G1164,3,06:06,BKN,,UTA,,O. Agbaji,UTA,MISS Agbaji 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-82,234,25,1,3.0,0.0,v
S2223-G1164,3,04:34,BKN,74.0,UTA,57.0,O. Agbaji,UTA,Agbaji 2' Driving Layup (9 PTS) (Toscano-Anderson 1 AST),Made Shot,Driving Layup Shot,6,21,2,1,2.0,2.0,v
S2223-G1164,3,03:28,BKN,76.0,UTA,60.0,O. Agbaji,UTA,Agbaji Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1164,3,03:28,BKN,76.0,UTA,61.0,O. Agbaji,UTA,Agbaji Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1164,3,03:13,BKN,,UTA,,O. Agbaji,UTA,MISS Agbaji 26' 3PT Jump Shot,Missed Shot,Jump Shot,39,255,26,1,3.0,0.0,v
S2223-G1164,3,02:40,BKN,80.0,UTA,63.0,O. Agbaji,UTA,Agbaji 4' Driving Layup (13 PTS),Made Shot,Driving Layup Shot,36,-4,4,1,2.0,2.0,v
S2223-G1164,3,01:55,BKN,,UTA,,O. Agbaji,UTA,SUB: Markkanen FOR Agbaji,Substitution,,0,0,0,0,,,v
S2223-G1164,4,10:37,BKN,,UTA,,O. Agbaji,UTA,MISS Agbaji 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-157,195,25,1,3.0,0.0,v
S2223-G1164,4,09:35,BKN,93.0,UTA,72.0,O. Agbaji,UTA,Agbaji 2' Driving Layup (15 PTS) (Samanic 1 AST),Made Shot,Driving Layup Shot,11,17,2,1,2.0,2.0,v
S2223-G1164,4,09:35,BKN,93.0,UTA,73.0,O. Agbaji,UTA,Agbaji Free Throw 1 of 1 (16 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G1164,4,09:07,BKN,,UTA,,O. Agbaji,UTA,SUB: Horton-Tucker FOR Agbaji,Substitution,,0,0,0,0,,,v
S2223-G1164,4,00:11.600000,BKN,110.0,UTA,108.0,O. Agbaji,UTA,Agbaji 25' 3PT Turnaround Jump Shot (19 PTS) (Olynyk 5 AST),Made Shot,Turnaround Jump Shot,-195,153,25,1,3.0,3.0,v
S2223-G1076,1,11:23,UTA,,SAC,,O. Agbaji,UTA,Agbaji REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1076,1,10:27,UTA,5.0,SAC,2.0,O. Agbaji,UTA,Agbaji 24' 3PT Jump Shot (3 PTS) (Horton-Tucker 1 AST),Made Shot,Jump Shot,-240,22,24,1,3.0,3.0,h
S2223-G1076,1,09:02,UTA,,SAC,,O. Agbaji,UTA,Agbaji REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1076,1,08:43,UTA,,SAC,,O. Agbaji,UTA,Agbaji S.FOUL (P1.T2) (S.Foster),Foul,Shooting,0,0,0,0,,,h
S2223-G1076,1,07:48,UTA,19.0,SAC,13.0,O. Agbaji,UTA,Agbaji 2' Cutting Dunk Shot (5 PTS) (Olynyk 3 AST),Made Shot,Cutting Dunk Shot,7,23,2,1,2.0,2.0,h
S2223-G1076,1,05:38,UTA,,SAC,,O. Agbaji,UTA,Agbaji REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G1076,1,04:09,UTA,32.0,SAC,16.0,O. Agbaji,UTA,Agbaji 26' 3PT Jump Shot (8 PTS) (Gay 1 AST),Made Shot,Jump Shot,17,263,26,1,3.0,3.0,h
S2223-G1076,1,02:15,UTA,,SAC,,O. Agbaji,UTA,Agbaji BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1076,1,01:43,UTA,,SAC,,O. Agbaji,UTA,SUB: Horton-Tucker FOR Agbaji,Substitution,,0,0,0,0,,,h
S2223-G1076,2,04:15,UTA,,SAC,,O. Agbaji,UTA,MISS Agbaji 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-16,280,28,1,3.0,0.0,h
S2223-G1076,2,02:33,UTA,,SAC,,O. Agbaji,UTA,Agbaji Out of Bounds - Bad Pass Turnover Turnover (P1.T5),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2223-G1076,2,01:20,UTA,,SAC,,O. Agbaji,UTA,Agbaji S.FOUL (P2.PN) (J.Orr),Foul,Shooting,0,0,0,0,,,h
S2223-G1076,2,01:02,UTA,,SAC,,O. Agbaji,UTA,MISS Agbaji 6' Driving Layup,Missed Shot,Driving Layup Shot,-45,34,6,1,2.0,0.0,h
S2223-G1076,2,00:34.400000,UTA,68.0,SAC,52.0,O. Agbaji,UTA,Agbaji 3PT Jump Shot (11 PTS) (Dunn 6 AST),Made Shot,Jump Shot,225,15,0,1,3.0,3.0,h
S2223-G1076,3,11:26,UTA,,SAC,,O. Agbaji,UTA,MISS Agbaji 25' 3PT Jump Shot,Missed Shot,Jump Shot,-173,179,25,1,3.0,0.0,h
S2223-G1076,3,10:03,UTA,,SAC,,O. Agbaji,UTA,MISS Agbaji 3PT Jump Shot,Missed Shot,Jump Shot,-225,-26,0,1,3.0,0.0,h
