game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0574,1,05:15,LAL,,MIA,,O. Robinson,MIA,Robinson STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0574,1,02:02,LAL,,MIA,,O. Robinson,MIA,Robinson Lost Ball Turnover (P1.T3),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0574,1,02:02,LAL,,MIA,,O. Robinson,MIA,Robinson L.B.FOUL (P1.T3) (Z.Zarba),Foul,Loose Ball,0,0,0,0,,,v
S2223-G0574,1,02:02,LAL,,MIA,,O. Robinson,MIA,SUB: Herro FOR Robinson,Substitution,,0,0,0,0,,,v
S2223-G0535,1,00:59.400000,DEN,23.0,MIA,18.0,O. Robinson,MIA,O. Robinson Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0535,1,00:59.400000,DEN,23.0,MIA,19.0,O. Robinson,MIA,O. Robinson Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0535,1,00:09.700000,DEN,,MIA,,O. Robinson,MIA,O. Robinson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0535,2,11:17,DEN,,MIA,,O. Robinson,MIA,O. Robinson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0535,2,09:32,DEN,,MIA,,O. Robinson,MIA,MISS O. Robinson 6' Floating Jump Shot,Missed Shot,Floating Jump shot,-34,51,6,1,2.0,0.0,v
S2223-G0535,2,09:01,DEN,34.0,MIA,31.0,O. Robinson,MIA,O. Robinson Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0535,2,09:01,DEN,34.0,MIA,32.0,O. Robinson,MIA,O. Robinson Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0535,2,07:59,DEN,,MIA,,O. Robinson,MIA,O. Robinson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0535,2,07:58,DEN,35.0,MIA,36.0,O. Robinson,MIA,O. Robinson 5' Turnaround Hook Shot (6 PTS),Made Shot,Turnaround Hook Shot,-47,27,5,1,2.0,2.0,v
S2223-G0535,2,07:30,DEN,,MIA,,O. Robinson,MIA,SUB: Adebayo FOR O. Robinson,Substitution,,0,0,0,0,,,v
S2223-G0535,3,03:52,DEN,,MIA,,O. Robinson,MIA,MISS O. Robinson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0535,3,03:52,DEN,77.0,MIA,84.0,O. Robinson,MIA,O. Robinson Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0535,3,03:21,DEN,,MIA,,O. Robinson,MIA,O. Robinson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0535,3,02:56,DEN,,MIA,,O. Robinson,MIA,O. Robinson S.FOUL (P1.T3) (T.Maddox),Foul,Shooting,0,0,0,0,,,v
S2223-G0535,3,02:35,DEN,,MIA,,O. Robinson,MIA,O. Robinson P.FOUL (P2.T4) (J.Goldenberg),Foul,Personal,0,0,0,0,,,v
S2223-G0535,3,01:29,DEN,,MIA,,O. Robinson,MIA,O. Robinson REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0535,3,01:28,DEN,83.0,MIA,88.0,O. Robinson,MIA,O. Robinson 3' Putback Layup (9 PTS),Made Shot,Putback Layup Shot,23,10,3,1,2.0,2.0,v
S2223-G0535,3,00:28.800000,DEN,85.0,MIA,90.0,O. Robinson,MIA,O. Robinson 1' Dunk (11 PTS) (Vincent 1 AST),Made Shot,Dunk Shot,-2,8,1,1,2.0,2.0,v
S2223-G0535,4,10:02,DEN,,MIA,,O. Robinson,MIA,O. Robinson BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0535,4,08:06,DEN,95.0,MIA,102.0,O. Robinson,MIA,O. Robinson 3' Layup (13 PTS),Made Shot,Layup Shot,26,20,3,1,2.0,2.0,v
S2223-G0535,4,07:15,DEN,,MIA,,O. Robinson,MIA,SUB: Adebayo FOR O. Robinson,Substitution,,0,0,0,0,,,v
S2223-G0714,1,03:10,MIA,,BOS,,O. Robinson,MIA,Robinson P.FOUL (P1.PN) (K.Lane),Foul,Personal,0,0,0,0,,,h
S2223-G0714,1,02:47,MIA,,BOS,,O. Robinson,MIA,MISS Robinson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0714,1,02:47,MIA,21.0,BOS,24.0,O. Robinson,MIA,Robinson Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0714,1,02:20,MIA,,BOS,,O. Robinson,MIA,Robinson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0714,1,01:51,MIA,,BOS,,O. Robinson,MIA,Robinson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0714,1,01:19,MIA,,BOS,,O. Robinson,MIA,SUB: Highsmith FOR Robinson,Substitution,,0,0,0,0,,,h
S2223-G0714,2,05:06,MIA,,BOS,,O. Robinson,MIA,Robinson REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0714,2,05:06,MIA,46.0,BOS,45.0,O. Robinson,MIA,Robinson 2' Putback Layup (3 PTS),Made Shot,Putback Layup Shot,-12,11,2,1,2.0,2.0,h
S2223-G0714,2,04:43,MIA,,BOS,,O. Robinson,MIA,Robinson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0714,2,04:15,MIA,,BOS,,O. Robinson,MIA,Robinson BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0714,2,03:08,MIA,,BOS,,O. Robinson,MIA,Robinson REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0714,2,02:41,MIA,47.0,BOS,47.0,O. Robinson,MIA,Robinson Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0714,2,02:41,MIA,48.0,BOS,47.0,O. Robinson,MIA,Robinson Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0714,2,02:25,MIA,,BOS,,O. Robinson,MIA,SUB: Adebayo FOR Robinson,Substitution,,0,0,0,0,,,h
S2223-G0714,3,00:03.200000,MIA,,BOS,,O. Robinson,MIA,SUB: Adebayo FOR Robinson,Substitution,,0,0,0,0,,,h
S2223-G0738,1,04:49,MIA,,ORL,,O. Robinson,MIA,Robinson Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0738,1,03:42,MIA,,ORL,,O. Robinson,MIA,Robinson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0738,1,02:09,MIA,,ORL,,O. Robinson,MIA,SUB: Strus FOR Robinson,Substitution,,0,0,0,0,,,h
S2223-G0738,2,04:01,MIA,,ORL,,O. Robinson,MIA,Robinson BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0738,2,03:22,MIA,,ORL,,O. Robinson,MIA,SUB: Adebayo FOR Robinson,Substitution,,0,0,0,0,,,h
S2223-G0738,2,01:20,MIA,,ORL,,O. Robinson,MIA,Robinson REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
