game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1220,1,10:51,NYK,4.0,IND,2.0,O. Toppin,NYK,Toppin 8' Driving Floating Jump Shot (2 PTS) (Quickley 1 AST),Made Shot,Driving Floating Jump Shot,-40,74,8,1,2.0,2.0,h
S2223-G1220,1,10:51,NYK,5.0,IND,2.0,O. Toppin,NYK,Toppin Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G1220,1,09:12,NYK,,IND,,O. Toppin,NYK,Toppin REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1220,1,07:37,NYK,,IND,,O. Toppin,NYK,Toppin REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1220,1,05:34,NYK,,IND,,O. Toppin,NYK,Toppin STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1220,1,05:31,NYK,28.0,IND,18.0,O. Toppin,NYK,Toppin 2' Running Layup (5 PTS),Made Shot,Running Layup Shot,-17,1,2,1,2.0,2.0,h
S2223-G1220,1,04:53,NYK,,IND,,O. Toppin,NYK,MISS Toppin 26' 3PT Jump Shot,Missed Shot,Jump Shot,186,176,26,1,3.0,0.0,h
S2223-G1220,1,04:14,NYK,30.0,IND,21.0,O. Toppin,NYK,Toppin 2' Driving Layup (7 PTS),Made Shot,Driving Layup Shot,-18,2,2,1,2.0,2.0,h
S2223-G1220,1,03:43,NYK,32.0,IND,24.0,O. Toppin,NYK,Toppin 1' Cutting Dunk Shot (9 PTS) (Hartenstein 2 AST),Made Shot,Cutting Dunk Shot,7,6,1,1,2.0,2.0,h
S2223-G1220,1,03:08,NYK,,IND,,O. Toppin,NYK,Toppin REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G1220,1,02:45,NYK,,IND,,O. Toppin,NYK,Toppin REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G1220,1,02:39,NYK,,IND,,O. Toppin,NYK,MISS Toppin 1' Running Layup,Missed Shot,Running Layup Shot,-11,-8,1,1,2.0,0.0,h
S2223-G1220,1,02:01,NYK,38.0,IND,29.0,O. Toppin,NYK,Toppin Running Dunk (11 PTS) (Hartenstein 3 AST),Made Shot,Running Dunk Shot,-1,0,0,1,2.0,2.0,h
