game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0470,2,07:00,BKN,64.0,GSW,31.0,P. Baldwin Jr.,GSW,Baldwin Jr. 2' Cutting Layup Shot (2 PTS) (Looney 1 AST),Made Shot,Cutting Layup Shot,16,-4,2,1,2.0,2.0,v
S2223-G0470,2,05:14,BKN,,GSW,,P. Baldwin Jr.,GSW,Baldwin Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0470,2,04:26,BKN,70.0,GSW,41.0,P. Baldwin Jr.,GSW,Baldwin Jr. 3PT Jump Shot (5 PTS) (Moody 1 AST),Made Shot,Jump Shot,-230,-17,0,1,3.0,3.0,v
S2223-G0470,3,01:31,BKN,106.0,GSW,73.0,P. Baldwin Jr.,GSW,Baldwin Jr. 26' 3PT Jump Shot (8 PTS) (Jerome 3 AST),Made Shot,Jump Shot,-146,218,26,1,3.0,3.0,v
S2223-G0470,3,01:07,BKN,106.0,GSW,76.0,P. Baldwin Jr.,GSW,Baldwin Jr. 26' 3PT Jump Shot (11 PTS) (Jerome 4 AST),Made Shot,Jump Shot,-186,188,26,1,3.0,3.0,v
S2223-G0470,4,10:57,BKN,112.0,GSW,87.0,P. Baldwin Jr.,GSW,Baldwin Jr. 26' 3PT Jump Shot (14 PTS) (Lamb 4 AST),Made Shot,Jump Shot,129,223,26,1,3.0,3.0,v
S2223-G0470,4,10:09,BKN,114.0,GSW,93.0,P. Baldwin Jr.,GSW,Baldwin Jr. 26' 3PT Jump Shot (17 PTS) (Jerome 5 AST),Made Shot,Jump Shot,108,241,26,1,3.0,3.0,v
S2223-G0470,4,08:50,BKN,,GSW,,P. Baldwin Jr.,GSW,MISS Baldwin Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,-130,236,27,1,3.0,0.0,v
S2223-G0470,4,06:29,BKN,,GSW,,P. Baldwin Jr.,GSW,Baldwin Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0470,4,06:17,BKN,,GSW,,P. Baldwin Jr.,GSW,MISS Baldwin Jr. 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,-45,36,6,1,2.0,0.0,v
S2223-G0470,4,04:48,BKN,,GSW,,P. Baldwin Jr.,GSW,MISS Baldwin Jr. 27' 3PT Jump Shot,Missed Shot,Jump Shot,161,211,27,1,3.0,0.0,v
S2223-G0470,4,01:26,BKN,,GSW,,P. Baldwin Jr.,GSW,Baldwin Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0470,4,00:53.600000,BKN,,GSW,,P. Baldwin Jr.,GSW,MISS Baldwin Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,-197,164,26,1,3.0,0.0,v
S2223-G0558,2,11:41,GSW,,ATL,,P. Baldwin Jr.,GSW,Baldwin Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0558,2,11:22,GSW,,ATL,,P. Baldwin Jr.,GSW,MISS Baldwin Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,137,207,25,1,3.0,0.0,h
S2223-G0558,2,10:50,GSW,,ATL,,P. Baldwin Jr.,GSW,MISS Baldwin Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,125,220,25,1,3.0,0.0,h
S2223-G0558,2,10:39,GSW,,ATL,,P. Baldwin Jr.,GSW,Baldwin Jr. S.FOUL (P1.T1) (J.Butler),Foul,Shooting,0,0,0,0,,,h
S2223-G0558,2,10:04,GSW,43.0,ATL,30.0,P. Baldwin Jr.,GSW,Baldwin Jr. 3PT Jump Shot (3 PTS) (Green 4 AST),Made Shot,Jump Shot,-232,28,0,1,3.0,3.0,h
S2223-G0558,2,09:37,GSW,45.0,ATL,30.0,P. Baldwin Jr.,GSW,Baldwin Jr. 4' Driving Finger Roll Layup (5 PTS) (Green 5 AST),Made Shot,Driving Finger Roll Layup Shot,0,37,4,1,2.0,2.0,h
S2223-G0558,2,08:32,GSW,49.0,ATL,32.0,P. Baldwin Jr.,GSW,Baldwin Jr. 25' 3PT Pullup Jump Shot (8 PTS) (Poole 2 AST),Made Shot,Pullup Jump shot,115,225,25,1,3.0,3.0,h
S2223-G0558,2,08:00,GSW,,ATL,,P. Baldwin Jr.,GSW,Baldwin Jr. OFF.Foul (P2) (J.Butler),Foul,Offensive,0,0,0,0,,,h
