game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0866,4,10:15,GSW,,WAS,,Q. Jackson,WAS,Jackson P.FOUL (P1.T1) (J.Goldenberg),Foul,Personal,0,0,0,0,,,v
S2223-G0866,4,09:20,GSW,108.0,WAS,101.0,Q. Jackson,WAS,Jackson 5' Driving Layup (2 PTS) (Avdija 3 AST),Made Shot,Driving Layup Shot,51,4,5,1,2.0,2.0,v
S2223-G0866,4,09:05,GSW,,WAS,,Q. Jackson,WAS,SUB: Beal FOR Jackson,Substitution,,0,0,0,0,,,v
S2223-G1168,1,00:26.600000,NYK,,WAS,,Q. Jackson,WAS,MISS Jackson 3PT Jump Shot,Missed Shot,Jump Shot,229,38,0,1,3.0,0.0,v
S2223-G1168,2,11:37,NYK,,WAS,,Q. Jackson,WAS,Jackson P.FOUL (P1.T1) (S.Foster),Foul,Personal,0,0,0,0,,,v
S2223-G1168,2,09:28,NYK,,WAS,,Q. Jackson,WAS,Jackson BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G1168,2,06:39,NYK,41.0,WAS,50.0,Q. Jackson,WAS,Jackson 1' Driving Layup (2 PTS) (Avdija 3 AST),Made Shot,Driving Layup Shot,-7,8,1,1,2.0,2.0,v
S2223-G1168,2,06:30,NYK,,WAS,,Q. Jackson,WAS,Jackson S.FOUL (P2.T4) (S.Foster),Foul,Shooting,0,0,0,0,,,v
S2223-G1168,2,06:30,NYK,,WAS,,Q. Jackson,WAS,SUB: Davis FOR Jackson,Substitution,,0,0,0,0,,,v
S2223-G1168,4,06:57,NYK,,WAS,,Q. Jackson,WAS,Jackson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1168,4,06:55,NYK,101.0,WAS,89.0,Q. Jackson,WAS,Jackson Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1168,4,06:55,NYK,101.0,WAS,90.0,Q. Jackson,WAS,Jackson Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1168,4,05:57,NYK,,WAS,,Q. Jackson,WAS,MISS Jackson 25' 3PT Jump Shot,Missed Shot,Jump Shot,-118,221,25,1,3.0,0.0,v
S2223-G1168,4,05:12,NYK,,WAS,,Q. Jackson,WAS,MISS Jackson 2' Driving Layup,Missed Shot,Driving Layup Shot,16,10,2,1,2.0,0.0,v
S2223-G1168,4,05:00,NYK,,WAS,,Q. Jackson,WAS,SUB: Avdija FOR Jackson,Substitution,,0,0,0,0,,,v
S2223-G1083,4,03:02,WAS,,DEN,,Q. Jackson,WAS,Jackson STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1083,4,01:59,WAS,,DEN,,Q. Jackson,WAS,MISS Jackson 27' 3PT Jump Shot,Missed Shot,Jump Shot,9,271,27,1,3.0,0.0,h
S2223-G1083,4,01:46,WAS,98.0,DEN,116.0,Q. Jackson,WAS,Jackson 8' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,65,41,8,1,2.0,2.0,h
S2223-G1083,4,01:22,WAS,,DEN,,Q. Jackson,WAS,MISS Jackson 1' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,11,8,1,1,2.0,0.0,h
S2223-G1191,1,01:07,ATL,,WAS,,Q. Jackson,WAS,Jackson Out of Bounds - Bad Pass Turnover Turnover (P1.T3),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2223-G1191,1,00:03.500000,ATL,,WAS,,Q. Jackson,WAS,MISS Jackson 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-164,190,25,1,3.0,0.0,v
S2223-G1191,2,09:19,ATL,39.0,WAS,42.0,Q. Jackson,WAS,Jackson 2' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,20,4,2,1,2.0,2.0,v
S2223-G1191,2,09:19,ATL,39.0,WAS,43.0,Q. Jackson,WAS,Jackson Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G1191,2,07:13,ATL,,WAS,,Q. Jackson,WAS,MISS Jackson 27' 3PT Jump Shot,Missed Shot,Jump Shot,53,268,27,1,3.0,0.0,v
S2223-G1191,2,04:50,ATL,,WAS,,Q. Jackson,WAS,MISS Jackson 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,-6,1,1,2.0,0.0,v
S2223-G1191,2,03:56,ATL,,WAS,,Q. Jackson,WAS,SUB: Gill FOR Jackson,Substitution,,0,0,0,0,,,v
S2223-G1191,2,00:30,ATL,,WAS,,Q. Jackson,WAS,Jackson S.FOUL (P1.PN) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
S2223-G1191,4,10:41,ATL,109.0,WAS,94.0,Q. Jackson,WAS,Jackson Driving Layup (5 PTS),Made Shot,Driving Layup Shot,-2,-1,0,1,2.0,2.0,v
