game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0962,1,09:04,DAL,,PHX,,R. Bullock,DAL,MISS Bullock 26' 3PT Jump Shot,Missed Shot,Jump Shot,197,176,26,1,3.0,0.0,h
S2223-G0962,1,08:09,DAL,,PHX,,R. Bullock,DAL,MISS Bullock 25' 3PT Jump Shot,Missed Shot,Jump Shot,143,211,25,1,3.0,0.0,h
S2223-G0962,1,07:42,DAL,,PHX,,R. Bullock,DAL,Bullock REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0962,1,07:31,DAL,10.0,PHX,13.0,R. Bullock,DAL,Bullock 25' 3PT Jump Shot (3 PTS) (Irving 2 AST),Made Shot,Jump Shot,-126,215,25,1,3.0,3.0,h
S2223-G0962,1,03:50,DAL,,PHX,,R. Bullock,DAL,MISS Bullock 26' 3PT Jump Shot,Missed Shot,Jump Shot,196,173,26,1,3.0,0.0,h
S2223-G0962,1,03:10,DAL,16.0,PHX,23.0,R. Bullock,DAL,Bullock 21' Pullup Jump Shot (5 PTS) (Doncic 1 AST),Made Shot,Pullup Jump shot,211,16,21,1,2.0,2.0,h
S2223-G0962,1,02:39,DAL,,PHX,,R. Bullock,DAL,SUB: Ntilikina FOR Bullock,Substitution,,0,0,0,0,,,h
S2223-G0962,2,05:35,DAL,49.0,PHX,50.0,R. Bullock,DAL,Bullock 3' Driving Layup (7 PTS) (Doncic 2 AST),Made Shot,Driving Layup Shot,5,27,3,1,2.0,2.0,h
S2223-G0962,2,03:25,DAL,,PHX,,R. Bullock,DAL,MISS Bullock 3PT Jump Shot,Missed Shot,Jump Shot,-229,-1,0,1,3.0,0.0,h
S2223-G0962,2,01:17,DAL,,PHX,,R. Bullock,DAL,MISS Bullock 3PT Jump Shot,Missed Shot,Jump Shot,222,43,0,1,3.0,0.0,h
S2223-G0962,3,09:33,DAL,,PHX,,R. Bullock,DAL,Bullock REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0962,3,07:08,DAL,77.0,PHX,70.0,R. Bullock,DAL,Bullock 3PT Jump Shot (10 PTS) (Irving 5 AST),Made Shot,Jump Shot,-225,44,0,1,3.0,3.0,h
S2223-G0962,3,05:24,DAL,,PHX,,R. Bullock,DAL,Bullock P.FOUL (P1.PN) (E.Lewis),Foul,Personal,0,0,0,0,,,h
S2223-G0962,3,04:28,DAL,,PHX,,R. Bullock,DAL,MISS Bullock 26' 3PT Jump Shot,Missed Shot,Jump Shot,190,178,26,1,3.0,0.0,h
S2223-G0962,3,01:25,DAL,,PHX,,R. Bullock,DAL,SUB: Ntilikina FOR Bullock,Substitution,,0,0,0,0,,,h
