game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0108,1,05:13,PHI,,WAS,,R. Hachimura,WAS,Hachimura P.FOUL (P1.T4) (D.Richardson),Foul,Personal,0,0,0,0,,,v
S2223-G0108,1,04:38,PHI,,WAS,,R. Hachimura,WAS,Hachimura BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0108,1,04:19,PHI,,WAS,,R. Hachimura,WAS,Hachimura REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0108,1,03:41,PHI,,WAS,,R. Hachimura,WAS,MISS Hachimura 26' 3PT Jump Shot,Missed Shot,Jump Shot,-197,173,26,1,3.0,0.0,v
S2223-G0108,1,03:20,PHI,,WAS,,R. Hachimura,WAS,Hachimura REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0108,1,03:13,PHI,18.0,WAS,20.0,R. Hachimura,WAS,Hachimura 2' Cutting Layup Shot (2 PTS) (Barton 1 AST),Made Shot,Cutting Layup Shot,15,-3,2,1,2.0,2.0,v
S2223-G0108,1,01:38,PHI,,WAS,,R. Hachimura,WAS,MISS Hachimura 12' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-78,88,12,1,2.0,0.0,v
S2223-G0108,1,00:52.100000,PHI,,WAS,,R. Hachimura,WAS,Hachimura REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0108,1,00:11.700000,PHI,,WAS,,R. Hachimura,WAS,MISS Hachimura 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-125,79,15,1,2.0,0.0,v
S2223-G0108,2,10:29,PHI,,WAS,,R. Hachimura,WAS,Hachimura REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0108,2,10:29,PHI,32.0,WAS,37.0,R. Hachimura,WAS,Hachimura Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,v
