game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0036,1,03:35,SAC,,LAC,,R. Holmes,SAC,SUB: Barnes FOR Holmes,Substitution,,0,0,0,0,,,h
S2223-G0036,2,04:51,SAC,,LAC,,R. Holmes,SAC,Holmes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0036,2,04:08,SAC,,LAC,,R. Holmes,SAC,Holmes S.FOUL (P1.PN) (G.Petraitis),Foul,Shooting,0,0,0,0,,,h
S2223-G0036,2,04:08,SAC,,LAC,,R. Holmes,SAC,SUB: Sabonis FOR Holmes,Substitution,,0,0,0,0,,,h
S2223-G0036,3,01:08,SAC,,LAC,,R. Holmes,SAC,Holmes S.FOUL (P2.T4) (M.Kallio),Foul,Shooting,0,0,0,0,,,h
S2223-G0036,3,00:28.200000,SAC,,LAC,,R. Holmes,SAC,Holmes REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0036,3,00:26.900000,SAC,,LAC,,R. Holmes,SAC,MISS Holmes 3' Hook Shot,Missed Shot,Hook Shot,2,31,3,1,2.0,0.0,h
S2223-G0036,4,05:59,SAC,,LAC,,R. Holmes,SAC,Holmes REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0036,4,05:59,SAC,93.0,LAC,103.0,R. Holmes,SAC,Holmes Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2223-G0036,4,04:43,SAC,,LAC,,R. Holmes,SAC,SUB: Sabonis FOR Holmes,Substitution,,0,0,0,0,,,h
S2223-G0132,1,00:27.700000,ORL,,SAC,,R. Holmes,SAC,Holmes REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0132,1,00:08,ORL,,SAC,,R. Holmes,SAC,Holmes REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0132,2,11:34,ORL,,SAC,,R. Holmes,SAC,Holmes P.FOUL (P1.T1) (L.Wood),Foul,Personal,0,0,0,0,,,v
S2223-G0132,2,10:58,ORL,35.0,SAC,27.0,R. Holmes,SAC,Holmes 1' Cutting Dunk Shot (2 PTS) (Davis 1 AST),Made Shot,Cutting Dunk Shot,7,7,1,1,2.0,2.0,v
S2223-G0132,2,10:13,ORL,,SAC,,R. Holmes,SAC,Holmes REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0132,2,10:11,ORL,,SAC,,R. Holmes,SAC,MISS Holmes 3' Hook Shot,Missed Shot,Hook Shot,-22,22,3,1,2.0,0.0,v
S2223-G0132,2,09:17,ORL,,SAC,,R. Holmes,SAC,SUB: Sabonis FOR Holmes,Substitution,,0,0,0,0,,,v
S2223-G0807,4,09:21,NOP,,SAC,,R. Holmes,SAC,Holmes S.FOUL (P1.T2) (S.Corbin),Foul,Shooting,0,0,0,0,,,v
S2223-G0807,4,07:41,NOP,116.0,SAC,87.0,R. Holmes,SAC,Holmes 5' Cutting Layup Shot (2 PTS) (Ellis 2 AST),Made Shot,Cutting Layup Shot,-26,42,5,1,2.0,2.0,v
S2223-G0807,4,07:18,NOP,,SAC,,R. Holmes,SAC,Holmes BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0807,4,06:06,NOP,,SAC,,R. Holmes,SAC,MISS Holmes 15' Jump Shot,Missed Shot,Jump Shot,-6,154,15,1,2.0,0.0,v
S2223-G0807,4,03:31,NOP,,SAC,,R. Holmes,SAC,Holmes REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0807,4,03:15,NOP,,SAC,,R. Holmes,SAC,Holmes S.FOUL (P2.T4) (N.Green),Foul,Shooting,0,0,0,0,,,v
