game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0889,1,02:48,PHI,,MEM,,S. Aldama,MEM,MISS Aldama 3PT Jump Shot,Missed Shot,Jump Shot,-227,43,0,1,3.0,0.0,v
S2223-G0889,1,02:29,PHI,,MEM,,S. Aldama,MEM,MISS Aldama 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-240,0,24,1,3.0,0.0,v
S2223-G0889,1,00:29,PHI,21.0,MEM,35.0,S. Aldama,MEM,Aldama 6' Driving Floating Jump Shot (2 PTS) (Bane 2 AST),Made Shot,Driving Floating Jump Shot,31,55,6,1,2.0,2.0,v
S2223-G0889,2,05:58,PHI,37.0,MEM,53.0,S. Aldama,MEM,Aldama Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0889,2,05:58,PHI,,MEM,,S. Aldama,MEM,MISS Aldama Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2223-G0889,2,03:28,PHI,,MEM,,S. Aldama,MEM,MISS Aldama Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0889,2,03:28,PHI,37.0,MEM,54.0,S. Aldama,MEM,Aldama Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0889,2,02:50,PHI,,MEM,,S. Aldama,MEM,SUB: Jackson Jr. FOR Aldama,Substitution,,0,0,0,0,,,v
S2223-G0889,3,05:08,PHI,,MEM,,S. Aldama,MEM,Aldama S.FOUL (P1.PN) (E.Lewis),Foul,Shooting,0,0,0,0,,,v
S2223-G0889,3,04:29,PHI,,MEM,,S. Aldama,MEM,Aldama BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0889,3,04:18,PHI,62.0,MEM,73.0,S. Aldama,MEM,Aldama 2' Alley Oop Layup (6 PTS) (Morant 3 AST),Made Shot,Alley Oop Layup shot,6,17,2,1,2.0,2.0,v
S2223-G0889,3,03:58,PHI,,MEM,,S. Aldama,MEM,MISS Aldama 27' 3PT Jump Shot,Missed Shot,Jump Shot,-163,221,27,1,3.0,0.0,v
S2223-G0889,3,03:52,PHI,,MEM,,S. Aldama,MEM,Aldama S.FOUL (P2.PN) (B.Forte),Foul,Shooting,0,0,0,0,,,v
S2223-G0889,3,01:59,PHI,,MEM,,S. Aldama,MEM,SUB: Clarke FOR Aldama,Substitution,,0,0,0,0,,,v
S2223-G0889,4,07:29,PHI,,MEM,,S. Aldama,MEM,Aldama S.FOUL (P3.T2) (E.Lewis),Foul,Shooting,0,0,0,0,,,v
S2223-G0889,4,05:51,PHI,,MEM,,S. Aldama,MEM,Aldama L.B.FOUL (P4.T4) (E.Lewis),Foul,Loose Ball,0,0,0,0,,,v
S2223-G0889,4,05:16,PHI,,MEM,,S. Aldama,MEM,Aldama S.FOUL (P5.PN) (E.Lewis),Foul,Shooting,0,0,0,0,,,v
S2223-G0889,4,05:16,PHI,,MEM,,S. Aldama,MEM,SUB: Jackson Jr. FOR Aldama,Substitution,,0,0,0,0,,,v
S2223-G1133,1,03:41,MEM,,ORL,,S. Aldama,MEM,Aldama S.FOUL (P1.T2) (S.Jelks),Foul,Shooting,0,0,0,0,,,h
S2223-G1133,1,03:12,MEM,,ORL,,S. Aldama,MEM,Aldama STEAL (1 STL),,,0,0,0,0,,,h
S2223-G1133,1,01:26,MEM,26.0,ORL,15.0,S. Aldama,MEM,Aldama Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G1133,1,01:26,MEM,27.0,ORL,15.0,S. Aldama,MEM,Aldama Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G1133,1,01:07,MEM,,ORL,,S. Aldama,MEM,Aldama STEAL (2 STL),,,0,0,0,0,,,h
S2223-G1133,2,08:12,MEM,,ORL,,S. Aldama,MEM,Aldama REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1133,2,07:03,MEM,,ORL,,S. Aldama,MEM,Aldama Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G1133,2,06:03,MEM,42.0,ORL,23.0,S. Aldama,MEM,Aldama 24' 3PT Jump Shot (5 PTS) (Roddy 1 AST),Made Shot,Jump Shot,-232,75,24,1,3.0,3.0,h
S2223-G1133,2,04:27,MEM,,ORL,,S. Aldama,MEM,MISS Aldama 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,-22,-4,2,1,2.0,0.0,h
S2223-G1133,2,04:24,MEM,,ORL,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1133,2,04:24,MEM,44.0,ORL,28.0,S. Aldama,MEM,Aldama Tip Dunk Shot (7 PTS),Made Shot,Tip Dunk Shot,0,0,0,1,2.0,2.0,h
S2223-G1133,2,02:39,MEM,,ORL,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1133,2,02:37,MEM,,ORL,,S. Aldama,MEM,Aldama Lost Ball Turnover (P2.T5),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G1133,2,02:12,MEM,,ORL,,S. Aldama,MEM,SUB: Bane FOR Aldama,Substitution,,0,0,0,0,,,h
S2223-G1133,3,02:36,MEM,,ORL,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G1133,3,01:16,MEM,86.0,ORL,69.0,S. Aldama,MEM,Aldama Cutting Dunk Shot (9 PTS) (Bane 4 AST),Made Shot,Cutting Dunk Shot,2,1,0,1,2.0,2.0,h
S2223-G1133,3,00:17.100000,MEM,,ORL,,S. Aldama,MEM,SUB: Tillman FOR Aldama,Substitution,,0,0,0,0,,,h
S2223-G1133,4,07:14,MEM,,ORL,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G1133,4,06:30,MEM,,ORL,,S. Aldama,MEM,Aldama BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1133,4,05:17,MEM,,ORL,,S. Aldama,MEM,MISS Aldama 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,6,4,1,1,2.0,0.0,h
S2223-G1133,4,03:41,MEM,,ORL,,S. Aldama,MEM,Aldama L.B.FOUL (P2.T3) (S.Jelks),Foul,Loose Ball,0,0,0,0,,,h
S2223-G1133,4,03:41,MEM,,ORL,,S. Aldama,MEM,SUB: Jackson Jr. FOR Aldama,Substitution,,0,0,0,0,,,h
S2223-G0169,1,09:43,SAS,,MEM,,S. Aldama,MEM,Aldama REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0169,1,09:43,SAS,5.0,MEM,7.0,S. Aldama,MEM,Aldama Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,v
