game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1197,2,11:15,ORL,,CLE,,S. Merrill,CLE,MISS Merrill 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-153,230,28,1,3.0,0.0,v
S2223-G1197,2,09:56,ORL,,CLE,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1197,2,09:52,ORL,44.0,CLE,40.0,S. Merrill,CLE,Merrill 26' 3PT Running Jump Shot (3 PTS) (Wade 2 AST),Made Shot,Running Jump Shot,227,132,26,1,3.0,3.0,v
S2223-G1197,2,07:48,ORL,,CLE,,S. Merrill,CLE,MISS Merrill 26' 3PT Jump Shot,Missed Shot,Jump Shot,161,210,26,1,3.0,0.0,v
S2223-G1197,2,07:14,ORL,,CLE,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1197,2,05:41,ORL,,CLE,,S. Merrill,CLE,MISS Merrill 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-163,205,26,1,3.0,0.0,v
S2223-G1197,2,05:27,ORL,,CLE,,S. Merrill,CLE,SUB: Stevens FOR Merrill,Substitution,,0,0,0,0,,,v
S2223-G1197,3,02:18,ORL,,CLE,,S. Merrill,CLE,Merrill STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1197,3,00:30.700000,ORL,,CLE,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G1197,4,07:01,ORL,81.0,CLE,108.0,S. Merrill,CLE,Merrill 26' 3PT Pullup Jump Shot (6 PTS) (Green 2 AST),Made Shot,Pullup Jump shot,-176,187,26,1,3.0,3.0,v
S2223-G1197,4,05:37,ORL,,CLE,,S. Merrill,CLE,MISS Merrill 3PT Jump Shot,Missed Shot,Jump Shot,227,3,0,1,3.0,0.0,v
S2223-G1197,4,04:51,ORL,,CLE,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G1027,4,02:44,CHA,,CLE,,S. Merrill,CLE,MISS Merrill 28' 3PT Jump Shot,Missed Shot,Jump Shot,-154,233,28,1,3.0,0.0,v
S2223-G1027,4,01:53,CHA,,CLE,,S. Merrill,CLE,Merrill P.FOUL (P1.PN) (J.DeRosa),Foul,Personal,0,0,0,0,,,v
S2223-G1117,4,01:37,CLE,,HOU,,S. Merrill,CLE,MISS Merrill 25' 3PT Jump Shot,Missed Shot,Jump Shot,-103,231,25,1,3.0,0.0,h
S2223-G1117,4,00:57.400000,CLE,,HOU,,S. Merrill,CLE,Merrill P.FOUL (P1.T4) (D.Taylor),Foul,Personal,0,0,0,0,,,h
S2223-G1117,4,00:48.200000,CLE,,HOU,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1218,2,07:43,CLE,,CHA,,S. Merrill,CLE,Merrill REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1218,2,07:27,CLE,37.0,CHA,28.0,S. Merrill,CLE,Merrill 18' Pullup Jump Shot (2 PTS) (Lopez 2 AST),Made Shot,Pullup Jump shot,61,172,18,1,2.0,2.0,h
S2223-G1218,2,04:22,CLE,,CHA,,S. Merrill,CLE,Merrill STEAL (1 STL),,,0,0,0,0,,,h
