game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0827,1,05:58,HOU,,SAC,,T. Davis,SAC,Davis S.FOUL (P1.T1) (R.Acosta),Foul,Shooting,0,0,0,0,,,v
S2223-G0827,1,04:24,HOU,23.0,SAC,22.0,T. Davis,SAC,Davis 26' 3PT Jump Shot (3 PTS) (Mitchell 1 AST),Made Shot,Jump Shot,200,172,26,1,3.0,3.0,v
S2223-G0827,1,03:22,HOU,,SAC,,T. Davis,SAC,MISS Davis 4' Driving Layup,Missed Shot,Driving Layup Shot,-33,22,4,1,2.0,0.0,v
S2223-G0827,1,01:38,HOU,,SAC,,T. Davis,SAC,SUB: Mitchell FOR Davis,Substitution,,0,0,0,0,,,v
S2223-G0827,3,05:01,HOU,,SAC,,T. Davis,SAC,Davis STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0827,3,04:57,HOU,82.0,SAC,82.0,T. Davis,SAC,Davis 4' Running Layup (5 PTS) (Fox 6 AST),Made Shot,Running Layup Shot,23,27,4,1,2.0,2.0,v
S2223-G0827,3,00:46.500000,HOU,,SAC,,T. Davis,SAC,MISS Davis 3PT Jump Shot,Missed Shot,Jump Shot,-229,27,0,1,3.0,0.0,v
S2223-G0827,3,00:41.100000,HOU,,SAC,,T. Davis,SAC,MISS Davis 4' Layup,Missed Shot,Layup Shot,36,15,4,1,2.0,0.0,v
S2223-G0827,4,10:56,HOU,99.0,SAC,101.0,T. Davis,SAC,Davis 4' Cutting Layup Shot (7 PTS) (Fox 7 AST),Made Shot,Cutting Layup Shot,38,21,4,1,2.0,2.0,v
S2223-G0827,4,09:51,HOU,104.0,SAC,104.0,T. Davis,SAC,Davis 26' 3PT Jump Shot (10 PTS) (Fox 8 AST),Made Shot,Jump Shot,213,151,26,1,3.0,3.0,v
S2223-G0827,4,08:33,HOU,,SAC,,T. Davis,SAC,SUB: Sabonis FOR Davis,Substitution,,0,0,0,0,,,v
S2223-G0870,1,04:57,PHX,17.0,SAC,19.0,T. Davis,SAC,Davis 24' 3PT Running Pull-Up Jump Shot (3 PTS) (Sabonis 1 AST),Made Shot,Running Pull-Up Jump Shot,-235,22,24,1,3.0,3.0,v
S2223-G0870,1,04:30,PHX,,SAC,,T. Davis,SAC,Davis REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0870,1,03:25,PHX,,SAC,,T. Davis,SAC,MISS Davis 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,71,282,29,1,3.0,0.0,v
S2223-G0870,1,03:09,PHX,,SAC,,T. Davis,SAC,Davis REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0870,1,00:17.100000,PHX,27.0,SAC,29.0,T. Davis,SAC,Davis 25' 3PT Step Back Jump Shot (6 PTS) (Fox 3 AST),Made Shot,Step Back Jump shot,-161,194,25,1,3.0,3.0,v
S2223-G0870,2,11:23,PHX,,SAC,,T. Davis,SAC,MISS Davis 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,0,5,1,1,2.0,0.0,v
S2223-G0870,2,10:27,PHX,,SAC,,T. Davis,SAC,MISS Davis Running Layup,Missed Shot,Running Layup Shot,-2,3,0,1,2.0,0.0,v
S2223-G0870,2,09:00,PHX,,SAC,,T. Davis,SAC,SUB: Huerter FOR Davis,Substitution,,0,0,0,0,,,v
S2223-G0870,2,03:33,PHX,,SAC,,T. Davis,SAC,Davis S.FOUL (P1.T3) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
S2223-G0870,2,02:56,PHX,,SAC,,T. Davis,SAC,Davis S.FOUL (P2.T4) (J.Goldenberg),Foul,Shooting,0,0,0,0,,,v
S2223-G0870,2,02:16,PHX,,SAC,,T. Davis,SAC,Davis S.FOUL (P3.PN) (E.Malloy),Foul,Shooting,0,0,0,0,,,v
S2223-G0870,2,02:16,PHX,,SAC,,T. Davis,SAC,SUB: Murray FOR Davis,Substitution,,0,0,0,0,,,v
