game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0923,1,03:12,ATL,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0923,1,03:00,ATL,19.0,WAS,25.0,T. Gibson,WAS,Gibson 19' Jump Shot (2 PTS) (Wright 3 AST),Made Shot,Jump Shot,94,162,19,1,2.0,2.0,v
S2223-G0923,1,02:43,ATL,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0923,1,00:53.300000,ATL,,WAS,,T. Gibson,WAS,MISS Gibson 3PT Jump Shot,Missed Shot,Jump Shot,-234,-5,0,1,3.0,0.0,v
S2223-G0923,2,11:09,ATL,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0923,2,10:18,ATL,,WAS,,T. Gibson,WAS,Gibson Step Out of Bounds Turnover (P1.T5),Turnover,Step Out of Bounds Turnover,0,0,0,0,,,v
S2223-G0923,2,09:30,ATL,,WAS,,T. Gibson,WAS,MISS Gibson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0923,2,09:30,ATL,28.0,WAS,32.0,T. Gibson,WAS,Gibson Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0923,2,08:41,ATL,,WAS,,T. Gibson,WAS,SUB: Gafford FOR Gibson,Substitution,,0,0,0,0,,,v
S2223-G0923,3,04:23,ATL,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0923,3,04:14,ATL,78.0,WAS,73.0,T. Gibson,WAS,Gibson 1' Cutting Layup Shot (5 PTS) (Beal 5 AST),Made Shot,Cutting Layup Shot,-5,6,1,1,2.0,2.0,v
S2223-G0923,3,00:59.100000,ATL,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0923,3,00:05.700000,ATL,,WAS,,T. Gibson,WAS,MISS Gibson 25' 3PT Jump Shot,Missed Shot,Jump Shot,-38,247,25,1,3.0,0.0,v
S2223-G0923,4,11:15,ATL,,WAS,,T. Gibson,WAS,SUB: Gafford FOR Gibson,Substitution,,0,0,0,0,,,v
S2223-G0722,2,07:33,HOU,,WAS,,T. Gibson,WAS,Gibson P.FOUL (P1.T4) (J.Butler),Foul,Personal,0,0,0,0,,,v
S2223-G0722,2,07:11,HOU,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0722,2,07:11,HOU,46.0,WAS,34.0,T. Gibson,WAS,Gibson Putback Dunk (2 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,v
S2223-G0722,2,04:22,HOU,,WAS,,T. Gibson,WAS,SUB: Gafford FOR Gibson,Substitution,,0,0,0,0,,,v
S2223-G0722,3,04:02,HOU,,WAS,,T. Gibson,WAS,Gibson P.FOUL (P2.T3) (B.Schwab),Foul,Personal,0,0,0,0,,,v
S2223-G0722,3,02:55,HOU,,WAS,,T. Gibson,WAS,Gibson STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0722,3,01:25,HOU,,WAS,,T. Gibson,WAS,MISS Gibson 4' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-28,24,4,1,2.0,0.0,v
S2223-G0722,3,00:38.500000,HOU,,WAS,,T. Gibson,WAS,Gibson L.B.FOUL (P3.PN) (S.Foster),Foul,Loose Ball,0,0,0,0,,,v
S2223-G1168,1,02:39,NYK,,WAS,,T. Gibson,WAS,Gibson Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G1168,1,00:01.900000,NYK,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1168,2,11:12,NYK,,WAS,,T. Gibson,WAS,MISS Gibson 5' Layup,Missed Shot,Layup Shot,-7,52,5,1,2.0,0.0,v
S2223-G1168,2,10:45,NYK,36.0,WAS,34.0,T. Gibson,WAS,Gibson 3PT Jump Shot (3 PTS) (Avdija 1 AST),Made Shot,Jump Shot,221,-9,0,1,3.0,3.0,v
S2223-G1168,2,10:11,NYK,36.0,WAS,37.0,T. Gibson,WAS,Gibson 3PT Jump Shot (6 PTS) (Jackson 1 AST),Made Shot,Jump Shot,-233,1,0,1,3.0,3.0,v
S2223-G1168,2,09:49,NYK,,WAS,,T. Gibson,WAS,Gibson Bad Pass Turnover (P2.T5),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G1168,2,09:33,NYK,,WAS,,T. Gibson,WAS,MISS Gibson 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,233,12,0,1,3.0,0.0,v
S2223-G1168,2,08:41,NYK,,WAS,,T. Gibson,WAS,MISS Gibson 2' Layup,Missed Shot,Layup Shot,16,0,2,1,2.0,0.0,v
S2223-G1168,2,08:39,NYK,,WAS,,T. Gibson,WAS,SUB: Kispert FOR Gibson,Substitution,,0,0,0,0,,,v
S2223-G1168,3,02:43,NYK,77.0,WAS,75.0,T. Gibson,WAS,Gibson 25' 3PT Jump Shot (9 PTS) (Davis 2 AST),Made Shot,Jump Shot,-202,150,25,1,3.0,3.0,v
S2223-G1168,3,02:24,NYK,,WAS,,T. Gibson,WAS,Gibson S.FOUL (P1.T2) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2223-G1168,3,01:48,NYK,,WAS,,T. Gibson,WAS,MISS Gibson 15' Jump Shot,Missed Shot,Jump Shot,-142,32,15,1,2.0,0.0,v
S2223-G1168,3,01:12,NYK,84.0,WAS,78.0,T. Gibson,WAS,Gibson Free Throw 1 of 2 (10 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1168,3,01:12,NYK,84.0,WAS,79.0,T. Gibson,WAS,Gibson Free Throw 2 of 2 (11 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G1168,3,00:40.900000,NYK,,WAS,,T. Gibson,WAS,Gibson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
