game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0866,1,01:26,GSW,,WAS,,T. Jerome,GSW,MISS Jerome 10' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,76,57,10,1,2.0,0.0,h
S2223-G0866,2,06:36,GSW,,WAS,,T. Jerome,GSW,SUB: Wiggins FOR Jerome,Substitution,,0,0,0,0,,,h
S2223-G0866,2,04:22,GSW,55.0,WAS,59.0,T. Jerome,GSW,Jerome 7' Driving Floating Jump Shot (2 PTS) (Wiggins 3 AST),Made Shot,Driving Floating Jump Shot,2,74,7,1,2.0,2.0,h
S2223-G0866,2,04:22,GSW,56.0,WAS,59.0,T. Jerome,GSW,Jerome Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0866,2,03:56,GSW,,WAS,,T. Jerome,GSW,Jerome REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0866,2,03:54,GSW,58.0,WAS,59.0,T. Jerome,GSW,Jerome Putback Layup (5 PTS),Made Shot,Putback Layup Shot,0,0,0,1,2.0,2.0,h
S2223-G0866,2,02:48,GSW,63.0,WAS,62.0,T. Jerome,GSW,Jerome 13' Floating Jump Shot (7 PTS),Made Shot,Floating Jump shot,51,117,13,1,2.0,2.0,h
S2223-G0866,2,00:25.500000,GSW,,WAS,,T. Jerome,GSW,Jerome REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0866,3,02:23,GSW,101.0,WAS,86.0,T. Jerome,GSW,Jerome 3' Driving Layup (9 PTS) (Kuminga 2 AST),Made Shot,Driving Layup Shot,22,25,3,1,2.0,2.0,h
S2223-G0866,3,00:03.400000,GSW,,WAS,,T. Jerome,GSW,Jerome Bad Pass Turnover (P1.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0470,1,03:37,BKN,,GSW,,T. Jerome,GSW,Jerome Out of Bounds - Bad Pass Turnover Turnover (P1.T7),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2223-G0470,1,01:15,BKN,,GSW,,T. Jerome,GSW,MISS Jerome 2' Driving Layup,Missed Shot,Driving Layup Shot,16,-1,2,1,2.0,0.0,v
S2223-G0470,2,11:07,BKN,48.0,GSW,20.0,T. Jerome,GSW,Jerome Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
