game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0827,1,01:24,HOU,,SAC,,T. Lyles,SAC,Lyles S.FOUL (P1.T2) (G.Petraitis),Foul,Shooting,0,0,0,0,,,v
S2223-G0827,1,00:23.600000,HOU,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0827,2,11:42,HOU,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0827,2,10:22,HOU,,SAC,,T. Lyles,SAC,Lyles BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0827,2,09:31,HOU,,SAC,,T. Lyles,SAC,MISS Lyles 3PT Jump Shot,Missed Shot,Jump Shot,-228,8,0,1,3.0,0.0,v
S2223-G0827,2,09:07,HOU,,SAC,,T. Lyles,SAC,SUB: Mitchell FOR Lyles,Substitution,,0,0,0,0,,,v
S2223-G0827,3,02:46,HOU,,SAC,,T. Lyles,SAC,Lyles P.FOUL (P2.PN) (G.Petraitis),Foul,Personal,0,0,0,0,,,v
S2223-G0827,4,11:47,HOU,,SAC,,T. Lyles,SAC,MISS Lyles 27' 3PT Jump Shot,Missed Shot,Jump Shot,-183,197,27,1,3.0,0.0,v
S2223-G0827,4,08:33,HOU,,SAC,,T. Lyles,SAC,SUB: Murray FOR Lyles,Substitution,,0,0,0,0,,,v
S2223-G0827,4,00:01.200000,HOU,,SAC,,T. Lyles,SAC,SUB: Sabonis FOR Lyles,Substitution,,0,0,0,0,,,v
S2223-G0870,1,03:08,PHX,,SAC,,T. Lyles,SAC,Lyles OFF.Foul (P1) (C.Blair),Foul,Offensive,0,0,0,0,,,v
S2223-G0870,1,03:08,PHX,,SAC,,T. Lyles,SAC,Lyles Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2223-G0870,1,01:35,PHX,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0870,1,00:59.700000,PHX,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0870,1,00:03.400000,PHX,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0870,2,11:34,PHX,,SAC,,T. Lyles,SAC,Lyles REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0870,2,10:43,PHX,29.0,SAC,31.0,T. Lyles,SAC,Lyles Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G0870,2,10:43,PHX,29.0,SAC,32.0,T. Lyles,SAC,Lyles Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0870,2,09:48,PHX,,SAC,,T. Lyles,SAC,MISS Lyles 8' Driving Layup,Missed Shot,Driving Layup Shot,76,-1,8,1,2.0,0.0,v
