game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0061,1,01:49,CHI,,IND,,T. McConnell,IND,McConnell BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0061,1,00:00,CHI,,IND,,T. McConnell,IND,MISS McConnell 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,48,58,8,1,2.0,0.0,v
S2223-G0061,2,10:04,CHI,,IND,,T. McConnell,IND,MISS McConnell 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,27,139,14,1,2.0,0.0,v
S2223-G0061,2,08:13,CHI,,IND,,T. McConnell,IND,MISS McConnell 3' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,7,25,3,1,2.0,0.0,v
S2223-G0061,2,07:48,CHI,,IND,,T. McConnell,IND,MISS McConnell 4' Driving Layup,Missed Shot,Driving Layup Shot,38,4,4,1,2.0,0.0,v
S2223-G0061,2,06:17,CHI,,IND,,T. McConnell,IND,SUB: Hield FOR McConnell,Substitution,,0,0,0,0,,,v
S2223-G0061,4,10:42,CHI,,IND,,T. McConnell,IND,MISS McConnell 2' Driving Layup,Missed Shot,Driving Layup Shot,23,3,2,1,2.0,0.0,v
S2223-G0061,4,09:35,CHI,,IND,,T. McConnell,IND,SUB: Smith FOR McConnell,Substitution,,0,0,0,0,,,v
S2223-G0431,2,10:09,CLE,,IND,,T. McConnell,IND,McConnell P.FOUL (P1.T2) (J.Schroeder),Foul,Personal,0,0,0,0,,,v
S2223-G0431,2,09:28,CLE,,IND,,T. McConnell,IND,McConnell S.FOUL (P2.T3) (E.Lewis),Foul,Shooting,0,0,0,0,,,v
S2223-G0431,2,07:51,CLE,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0431,2,06:57,CLE,,IND,,T. McConnell,IND,McConnell REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
