game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0688,4,05:24,DEN,,IND,,T. Queen,IND,MISS Queen 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,65,256,26,1,3.0,0.0,v
S2223-G0688,4,03:41,DEN,,IND,,T. Queen,IND,MISS Queen 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,234,107,26,1,3.0,0.0,v
S2223-G0688,4,03:32,DEN,,IND,,T. Queen,IND,MISS Queen 10' Finger Roll Layup,Missed Shot,Finger Roll Layup Shot,5,100,10,1,2.0,0.0,v
S2223-G0688,4,03:31,DEN,,IND,,T. Queen,IND,Queen REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0688,4,03:31,DEN,,IND,,T. Queen,IND,MISS Queen 2' Tip Layup Shot,Missed Shot,Tip Layup Shot,16,6,2,1,2.0,0.0,v
S2223-G0688,4,02:27,DEN,,IND,,T. Queen,IND,MISS Queen 3' Cutting Dunk Shot,Missed Shot,Cutting Dunk Shot,5,25,3,1,2.0,0.0,v
S2223-G0688,4,00:26.500000,DEN,134.0,IND,111.0,T. Queen,IND,Queen 27' 3PT Pullup Jump Shot (3 PTS) (Jackson 1 AST),Made Shot,Pullup Jump shot,-72,257,27,1,3.0,3.0,v
S2223-G0359,2,11:07,GSW,,IND,,T. Queen,IND,MISS Queen 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,176,226,29,1,3.0,0.0,v
S2223-G0359,2,09:26,GSW,,IND,,T. Queen,IND,Queen REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0359,2,08:01,GSW,,IND,,T. Queen,IND,Queen S.FOUL (P1.T1) (K.Lane),Foul,Shooting,0,0,0,0,,,v
S2223-G0359,2,07:47,GSW,,IND,,T. Queen,IND,SUB: Nembhard FOR Queen,Substitution,,0,0,0,0,,,v
