game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1109,4,02:10,DEN,,MIL,,V. Cancar,DEN,Cancar REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0535,1,00:41.600000,DEN,,MIA,,V. Cancar,DEN,SUB: Gordon FOR Cancar,Substitution,,0,0,0,0,,,h
S2223-G0535,2,06:25,DEN,42.0,MIA,40.0,V. Cancar,DEN,Cancar 4' Turnaround Hook Shot (2 PTS) (Hyland 2 AST),Made Shot,Turnaround Hook Shot,25,34,4,1,2.0,2.0,h
S2223-G0535,2,05:50,DEN,45.0,MIA,42.0,V. Cancar,DEN,Cancar 3PT Jump Shot (5 PTS) (Porter Jr. 2 AST),Made Shot,Jump Shot,233,7,0,1,3.0,3.0,h
S2223-G0535,2,05:01,DEN,49.0,MIA,44.0,V. Cancar,DEN,Cancar 1' Running Dunk (7 PTS) (Porter Jr. 3 AST),Made Shot,Running Dunk Shot,0,5,1,1,2.0,2.0,h
S2223-G0535,2,04:39,DEN,,MIA,,V. Cancar,DEN,Cancar S.FOUL (P1.T4) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2223-G0535,2,03:44,DEN,,MIA,,V. Cancar,DEN,SUB: Gordon FOR Cancar,Substitution,,0,0,0,0,,,h
S2223-G0535,3,04:20,DEN,,MIA,,V. Cancar,DEN,Cancar S.FOUL (P2.PN) (T.Maddox),Foul,Shooting,0,0,0,0,,,h
S2223-G0535,3,04:07,DEN,77.0,MIA,83.0,V. Cancar,DEN,Cancar 3PT Jump Shot (10 PTS) (Jokic 9 AST),Made Shot,Jump Shot,-232,-13,0,1,3.0,3.0,h
S2223-G0535,3,01:54,DEN,81.0,MIA,86.0,V. Cancar,DEN,Cancar Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0535,3,01:54,DEN,83.0,MIA,86.0,V. Cancar,DEN,Cancar Free Throw 2 of 2 (12 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0535,4,11:14,DEN,88.0,MIA,93.0,V. Cancar,DEN,Cancar 3PT Jump Shot (15 PTS) (Hyland 3 AST),Made Shot,Jump Shot,-228,8,0,1,3.0,3.0,h
S2223-G0535,4,10:50,DEN,,MIA,,V. Cancar,DEN,Cancar STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0535,4,06:10,DEN,,MIA,,V. Cancar,DEN,SUB: Caldwell-Pope FOR Cancar,Substitution,,0,0,0,0,,,h
S2223-G0535,4,00:14.200000,DEN,,MIA,,V. Cancar,DEN,SUB: Hyland FOR Cancar,Substitution,,0,0,0,0,,,h
S2223-G0831,1,00:49.500000,ORL,,DEN,,V. Cancar,DEN,Cancar Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0831,2,10:16,ORL,36.0,DEN,30.0,V. Cancar,DEN,Cancar 27' 3PT Jump Shot (3 PTS) (Smith 2 AST),Made Shot,Jump Shot,-150,226,27,1,3.0,3.0,v
S2223-G0831,2,09:52,ORL,,DEN,,V. Cancar,DEN,MISS Cancar 8' Driving Layup,Missed Shot,Driving Layup Shot,15,81,8,1,2.0,0.0,v
S2223-G0831,2,08:42,ORL,,DEN,,V. Cancar,DEN,MISS Cancar 27' 3PT Jump Shot,Missed Shot,Jump Shot,145,223,27,1,3.0,0.0,v
S2223-G0831,2,08:26,ORL,,DEN,,V. Cancar,DEN,SUB: Jokic FOR Cancar,Substitution,,0,0,0,0,,,v
S2223-G0831,2,00:20.400000,ORL,,DEN,,V. Cancar,DEN,SUB: Porter Jr. FOR Cancar,Substitution,,0,0,0,0,,,v
S2223-G0831,4,10:23,ORL,,DEN,,V. Cancar,DEN,Cancar REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0831,4,07:26,ORL,,DEN,,V. Cancar,DEN,Cancar BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0831,4,07:26,ORL,,DEN,,V. Cancar,DEN,SUB: Gordon FOR Cancar,Substitution,,0,0,0,0,,,v
S2223-G0667,2,08:00,DEN,,POR,,V. Cancar,DEN,SUB: Gordon FOR Cancar,Substitution,,0,0,0,0,,,h
S2223-G0667,3,03:02,DEN,,POR,,V. Cancar,DEN,Cancar Lost Ball Turnover (P1.T7),Turnover,Lost Ball,0,0,0,0,,,h
