game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1168,4,03:29,NYK,,WAS,,X. Cooks,WAS,Cooks REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1168,4,01:07,NYK,,WAS,,X. Cooks,WAS,Cooks BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G1168,4,00:57.700000,NYK,,WAS,,X. Cooks,WAS,Cooks S.FOUL (P1.T4) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2223-G1083,4,01:52,WAS,,DEN,,X. Cooks,WAS,Cooks REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G1191,1,04:39,ATL,,WAS,,X. Cooks,WAS,MISS Cooks 1' Driving Layup,Missed Shot,Driving Layup Shot,5,13,1,1,2.0,0.0,v
S2223-G1191,1,01:37,ATL,,WAS,,X. Cooks,WAS,Cooks REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,1,01:23,ATL,,WAS,,X. Cooks,WAS,Cooks REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,1,01:23,ATL,,WAS,,X. Cooks,WAS,MISS Cooks Tip Layup Shot,Missed Shot,Tip Layup Shot,0,0,0,1,2.0,0.0,v
S2223-G1191,1,01:20,ATL,,WAS,,X. Cooks,WAS,Cooks P.FOUL (P1.T2) (C.Blair),Foul,Personal,0,0,0,0,,,v
S2223-G1191,2,11:48,ATL,,WAS,,X. Cooks,WAS,MISS Cooks 1' Driving Layup,Missed Shot,Driving Layup Shot,6,11,1,1,2.0,0.0,v
S2223-G1191,2,08:40,ATL,,WAS,,X. Cooks,WAS,Cooks FLAGRANT.FOUL.TYPE1 (P2.T2) (C.Blair),Foul,Flagrant Type 1,0,0,0,0,,,v
S2223-G1191,2,08:40,ATL,,WAS,,X. Cooks,WAS,SUB: Kispert FOR Cooks,Substitution,,0,0,0,0,,,v
S2223-G1191,4,08:17,ATL,,WAS,,X. Cooks,WAS,Cooks STEAL (1 STL),,,0,0,0,0,,,v
S2223-G1191,4,07:22,ATL,117.0,WAS,100.0,X. Cooks,WAS,Cooks 1' Layup (2 PTS) (Nunn 4 AST),Made Shot,Layup Shot,-5,3,1,1,2.0,2.0,v
S2223-G1191,4,05:10,ATL,,WAS,,X. Cooks,WAS,Cooks REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,4,05:02,ATL,124.0,WAS,106.0,X. Cooks,WAS,Cooks 1' Alley Oop Dunk (4 PTS) (Kispert 1 AST),Made Shot,Alley Oop Dunk Shot,1,5,1,1,2.0,2.0,v
S2223-G1191,4,04:39,ATL,,WAS,,X. Cooks,WAS,Cooks REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,4,04:14,ATL,,WAS,,X. Cooks,WAS,Cooks L.B.FOUL (P3.PN) (C.Blair),Foul,Loose Ball,0,0,0,0,,,v
S2223-G1191,4,02:59,ATL,,WAS,,X. Cooks,WAS,Cooks REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G1191,4,02:54,ATL,,WAS,,X. Cooks,WAS,Cooks Lost Ball Turnover (P1.T14),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G1191,4,02:03,ATL,,WAS,,X. Cooks,WAS,Cooks BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G1191,4,01:58,ATL,132.0,WAS,113.0,X. Cooks,WAS,Cooks Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
