game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0470,1,03:24,BKN,36.0,GSW,12.0,Y. Watanabe,BKN,Watanabe 3PT Jump Shot (3 PTS) (Durant 3 AST),Made Shot,Jump Shot,-229,5,0,1,3.0,3.0,h
S2223-G0470,1,00:30.200000,BKN,,GSW,,Y. Watanabe,BKN,Watanabe REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0470,2,11:07,BKN,,GSW,,Y. Watanabe,BKN,Watanabe S.FOUL (P1.T1) (A.Smith),Foul,Shooting,0,0,0,0,,,h
S2223-G0470,2,10:32,BKN,53.0,GSW,21.0,Y. Watanabe,BKN,Watanabe 2' Cutting Dunk Shot (5 PTS) (Simmons 7 AST),Made Shot,Cutting Dunk Shot,18,5,2,1,2.0,2.0,h
S2223-G0470,2,10:18,BKN,,GSW,,Y. Watanabe,BKN,Watanabe S.FOUL (P2.T2) (J.Goble),Foul,Shooting,0,0,0,0,,,h
S2223-G0470,2,09:17,BKN,59.0,GSW,27.0,Y. Watanabe,BKN,Watanabe 3PT Jump Shot (8 PTS) (Warren 2 AST),Made Shot,Jump Shot,-229,-5,0,1,3.0,3.0,h
S2223-G0470,2,08:25,BKN,,GSW,,Y. Watanabe,BKN,MISS Watanabe 3PT Jump Shot,Missed Shot,Jump Shot,-228,-17,0,1,3.0,0.0,h
S2223-G0470,2,06:15,BKN,,GSW,,Y. Watanabe,BKN,SUB: Claxton FOR Watanabe,Substitution,,0,0,0,0,,,h
S2223-G0470,2,03:12,BKN,,GSW,,Y. Watanabe,BKN,MISS Watanabe 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,-12,5,1,1,2.0,0.0,h
S2223-G0470,2,02:59,BKN,,GSW,,Y. Watanabe,BKN,SUB: Thomas FOR Watanabe,Substitution,,0,0,0,0,,,h
S2223-G0470,3,04:24,BKN,,GSW,,Y. Watanabe,BKN,Watanabe REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0470,3,00:52.800000,BKN,,GSW,,Y. Watanabe,BKN,SUB: Morris FOR Watanabe,Substitution,,0,0,0,0,,,h
S2223-G0470,4,09:55,BKN,,GSW,,Y. Watanabe,BKN,SUB: Claxton FOR Watanabe,Substitution,,0,0,0,0,,,h
S2223-G0098,1,04:26,BKN,20.0,IND,14.0,Y. Watanabe,BKN,Watanabe 2' Driving Layup (2 PTS) (O'Neale 2 AST),Made Shot,Driving Layup Shot,-18,10,2,1,2.0,2.0,h
S2223-G0098,1,04:07,BKN,,IND,,Y. Watanabe,BKN,MISS Watanabe 27' 3PT Jump Shot,Missed Shot,Jump Shot,-214,157,27,1,3.0,0.0,h
S2223-G0098,1,03:55,BKN,,IND,,Y. Watanabe,BKN,Watanabe Offensive Charge Foul (P1) (B.Taylor),Foul,Offensive Charge,0,0,0,0,,,h
S2223-G0098,1,03:55,BKN,,IND,,Y. Watanabe,BKN,Watanabe Offensive Foul Turnover (P1.T3),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2223-G0098,1,02:05,BKN,,IND,,Y. Watanabe,BKN,SUB: Durant FOR Watanabe,Substitution,,0,0,0,0,,,h
S2223-G0098,2,07:10,BKN,,IND,,Y. Watanabe,BKN,Watanabe REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
