game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G1109,1,00:01.400000,DEN,,MIL,,Z. Nnaji,DEN,Nnaji REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G1109,1,00:00.100000,DEN,,MIL,,Z. Nnaji,DEN,MISS Nnaji 44' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,26,438,44,1,3.0,0.0,h
S2223-G1109,2,11:26,DEN,39.0,MIL,38.0,Z. Nnaji,DEN,Nnaji 1' Cutting Dunk Shot (2 PTS) (Murray 3 AST),Made Shot,Cutting Dunk Shot,2,6,1,1,2.0,2.0,h
S2223-G1109,2,10:15,DEN,,MIL,,Z. Nnaji,DEN,Nnaji REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G1109,2,08:46,DEN,,MIL,,Z. Nnaji,DEN,Nnaji S.FOUL (P1.T2) (J.Schroeder),Foul,Shooting,0,0,0,0,,,h
S2223-G1109,2,07:47,DEN,,MIL,,Z. Nnaji,DEN,SUB: Gordon FOR Nnaji,Substitution,,0,0,0,0,,,h
S2223-G1109,3,01:35,DEN,94.0,MIL,83.0,Z. Nnaji,DEN,Nnaji Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G1109,3,01:35,DEN,,MIL,,Z. Nnaji,DEN,MISS Nnaji Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G1109,3,01:23,DEN,,MIL,,Z. Nnaji,DEN,Nnaji P.FOUL (P2.T2) (S.Wright),Foul,Personal,0,0,0,0,,,h
S2223-G1109,3,00:26.300000,DEN,,MIL,,Z. Nnaji,DEN,Nnaji REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G1109,4,11:35,DEN,,MIL,,Z. Nnaji,DEN,Nnaji BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G1109,4,11:33,DEN,,MIL,,Z. Nnaji,DEN,Nnaji REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G1109,4,11:19,DEN,101.0,MIL,85.0,Z. Nnaji,DEN,Nnaji 4' Layup (5 PTS),Made Shot,Layup Shot,-36,15,4,1,2.0,2.0,h
S2223-G1109,4,10:33,DEN,,MIL,,Z. Nnaji,DEN,Nnaji REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
